Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,545,1120
Aaron_Sorkin_,533,1105
Abdel_Nasser_Assidi_,371,839
Abdoulaye_Wade_,588,1175
Abdullah_,206,513
Abdullah_Gul_,281,665
Abdullah_al-Attiyah_,1,1
Abdullatif_Sener_,982,1525
Abel_Pacheco_,1004,1538
Abid_Hamid_Mahmud_Al-Tikriti_,847,1434
Adam_Sandler_,1058,1564
Adam_Scott_,1164,1609
Adel_Al-Jubeir_,578,1164
Adolfo_Aguilar_Zinser_,965,1511
Adolfo_Rodriguez_Saa_,1222,1632
Adrian_McPherson_,1053,1560
Adrian_Nastase_,16,46
Adrien_Brody_,382,860
Ahmad_Masood_,969,1515
Ahmed_Chalabi_,390,874
Ahmet_Necdet_Sezer_,930,1482
Ai_Sugiyama_,571,1155
Aicha_El_Ouafi_,102,275
Aitor_Gonzalez_,1156,1604
Akbar_Hashemi_Rafsanjani_,512,1077
Akhmed_Zakayev_,196,491
Al_Davis_,160,412
Al_Gore_,772,1371
Al_Pacino_,170,439
Al_Sharpton_,413,918
Alan_Ball_,702,1303
Alan_Greenspan_,976,1519
Alan_Mulally_,163,420
Alastair_Campbell_,919,1476
Albert_Costa_,1434,1669
Alberto_Fujimori_,263,632
Alberto_Ruiz_Gallardon_,291,686
Albrecht_Mentz_,898,1461
Aldo_Paredes_,450,982
Alec_Baldwin_,99,266
Alejandro_Atchugarry_,63,181
Alejandro_Avila_,373,842
Alejandro_Toledo_,152,393
Aleksander_Kwasniewski_,621,1216
Alex_Barros_,351,804
Alex_Penelas_,307,722
Alex_Sink_,132,349
Alexander_Downer_,163,421
Alexander_Losyukov_,435,959
Alexander_Rumyantsev_,278,657
Alexandra_Stevenson_,227,565
Alexandra_Vodjanikova_,316,740
Ali_Abbas_,357,814
Ali_Khamenei_,896,1459
Ali_Naimi_,416,924
Alice_Fisher_,218,543
Alicia_Silverstone_,374,844
Alimzhan_Tokhtakhounov_,110,296
Alison_Lohman_,297,700
Allen_Iverson_,1095,1581
Allison_Janney_,404,901
Allyson_Felix_,891,1455
Alvaro_Noboa_,389,873
Alvaro_Silva_Calderon_,637,1228
Alvaro_Uribe_,162,417
Amanda_Beard_,430,951
Amanda_Bynes_,700,1300
Amanda_Coetzer_,989,1529
Amber_Tamblyn_,348,797
Amelia_Vega_,250,606
Amelie_Mauresmo_,719,1320
Amer_al-Saadi_,167,432
Amram_Mitzna_,477,1031
Ana_Guevara_,186,471
Ana_Palacio_,2,4
Anastasia_Myskina_,1495,1673
Anders_Ebbeson_,761,1359
Anders_Fogh_Rasmussen_,768,1367
Andre_Agassi_,766,1364
Andrei_Mikhnevich_,615,1204
Andrew_Bunner_,404,902
Andrew_Cuomo_,166,429
Andrew_Niccol_,905,1467
Andrew_Weissmann_,129,341
Andy_Hebb_,367,831
Andy_Roddick_,578,1165
Angela_Bassett_,424,939
Angela_Lansbury_,2,5
Angela_Merkel_,46,133
Angelina_Jolie_,130,343
Angelo_Reyes_,542,1116
Anibal_Ibarra_,124,326
Ann_Veneman_,579,1167
Anna_Kournikova_,537,1109
Anna_Nicole_Smith_,282,667
Anne_Krueger_,22,63
