Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,255,650
Aaron_Sorkin_,1068,1586
Abdel_Nasser_Assidi_,915,1498
Abdoulaye_Wade_,670,1317
Abdullah_,1071,1589
Abdullah_Gul_,271,682
Abdullah_al-Attiyah_,1215,1640
Abdullatif_Sener_,845,1462
Abel_Pacheco_,426,977
Abid_Hamid_Mahmud_Al-Tikriti_,879,1481
Adam_Sandler_,367,866
Adam_Scott_,712,1350
Adel_Al-Jubeir_,184,488
Adolfo_Aguilar_Zinser_,856,1467
Adolfo_Rodriguez_Saa_,70,203
Adrian_McPherson_,543,1152
Adrian_Nastase_,379,889
Adrien_Brody_,726,1359
Ahmad_Masood_,1023,1568
Ahmed_Chalabi_,381,895
Ahmet_Necdet_Sezer_,376,883
Ai_Sugiyama_,566,1185
Aicha_El_Ouafi_,64,186
Aitor_Gonzalez_,545,1155
Akbar_Hashemi_Rafsanjani_,231,596
Akhmed_Zakayev_,452,1018
Al_Davis_,611,1257
Al_Gore_,679,1327
Al_Pacino_,38,110
Al_Sharpton_,250,639
Alan_Ball_,425,974
Alan_Greenspan_,1230,1645
Alan_Mulally_,207,538
Alastair_Campbell_,426,978
Albert_Costa_,287,713
Alberto_Fujimori_,48,140
Alberto_Ruiz_Gallardon_,278,694
Albrecht_Mentz_,293,725
Aldo_Paredes_,442,1003
Alec_Baldwin_,701,1340
Alejandro_Atchugarry_,627,1277
Alejandro_Avila_,221,575
Alejandro_Toledo_,224,581
Aleksander_Kwasniewski_,150,407
Alex_Barros_,810,1438
Alex_Penelas_,3,7
Alex_Sink_,573,1200
Alexander_Downer_,269,679
Alexander_Losyukov_,263,667
Alexander_Rumyantsev_,399,929
Alexandra_Stevenson_,594,1232
Alexandra_Vodjanikova_,622,1270
Ali_Abbas_,353,841
Ali_Khamenei_,984,1544
Ali_Naimi_,16,46
Alice_Fisher_,539,1148
Alicia_Silverstone_,465,1043
Alimzhan_Tokhtakhounov_,657,1305
Alison_Lohman_,285,707
Allen_Iverson_,440,999
Allison_Janney_,225,584
Allyson_Felix_,1372,1672
Alvaro_Noboa_,762,1397
Alvaro_Silva_Calderon_,805,1435
Alvaro_Uribe_,502,1099
Amanda_Beard_,516,1118
Amanda_Bynes_,50,146
Amanda_Coetzer_,1252,1648
Amber_Tamblyn_,40,116
Amelia_Vega_,245,626
Amelie_Mauresmo_,515,1116
Amer_al-Saadi_,454,1021
Amram_Mitzna_,231,597
Ana_Guevara_,208,540
Ana_Palacio_,195,515
Anastasia_Myskina_,1090,1598
Anders_Ebbeson_,1277,1656
Anders_Fogh_Rasmussen_,1273,1655
Andre_Agassi_,67,194
Andrei_Mikhnevich_,985,1545
Andrew_Bunner_,151,409
Andrew_Cuomo_,89,253
Andrew_Niccol_,247,631
Andrew_Weissmann_,272,685
Andy_Hebb_,363,858
Andy_Roddick_,572,1198
Angela_Bassett_,322,781
Angela_Lansbury_,475,1058
Angela_Merkel_,41,119
Angelina_Jolie_,162,434
Angelo_Reyes_,417,960
Anibal_Ibarra_,433,988
Ann_Veneman_,200,523
Anna_Kournikova_,268,677
Anna_Nicole_Smith_,464,1041
Anne_Krueger_,495,1091
