Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.271,537
Aaron_Sorkin_,134.494,1068
Abdel_Nasser_Assidi_,158.8,1559
Abdoulaye_Wade_,177.808,1663
Abdullah_,139.137,1210
Abdullah_Gul_,106.01,271
Abdullah_al-Attiyah_,139.392,1215
Abdullatif_Sener_,131.017,959
Abel_Pacheco_,135.921,1113
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1660
Adam_Sandler_,115.314,484
Adam_Scott_,160.234,1579
Adel_Al-Jubeir_,148.603,1414
Adolfo_Aguilar_Zinser_,135.51,1100
Adolfo_Rodriguez_Saa_,90.6149,70
Adrian_McPherson_,196.329,1679
Adrian_Nastase_,136.945,1145
Adrien_Brody_,124.405,726
Ahmad_Masood_,149.197,1419
Ahmed_Chalabi_,111.08,381
Ahmet_Necdet_Sezer_,129.478,910
Ai_Sugiyama_,118.297,566
Aicha_El_Ouafi_,151.218,1457
Aitor_Gonzalez_,174.411,1653
Akbar_Hashemi_Rafsanjani_,103.608,231
Akhmed_Zakayev_,128.842,879
Al_Davis_,149.33,1422
Al_Gore_,139.247,1213
Al_Pacino_,136.66,1136
Al_Sharpton_,164.89,1612
Alan_Ball_,123.326,692
Alan_Greenspan_,139.921,1230
Alan_Mulally_,128.863,880
Alastair_Campbell_,129.292,901
Albert_Costa_,168.733,1633
Alberto_Fujimori_,127.419,825
Alberto_Ruiz_Gallardon_,106.277,278
Albrecht_Mentz_,128.807,875
Aldo_Paredes_,113.544,442
Alec_Baldwin_,136.254,1124
Alejandro_Atchugarry_,120.507,627
Alejandro_Avila_,144.148,1333
Alejandro_Toledo_,130.806,953
Aleksander_Kwasniewski_,138.487,1189
Alex_Barros_,146.77,1382
Alex_Penelas_,106.84,295
Alex_Sink_,118.578,573
Alexander_Downer_,105.95,269
Alexander_Losyukov_,112.936,424
Alexander_Rumyantsev_,112.055,399
Alexandra_Stevenson_,160.319,1581
Alexandra_Vodjanikova_,155.262,1517
Ali_Abbas_,109.473,353
Ali_Khamenei_,131.92,984
Ali_Naimi_,112.316,405
Alice_Fisher_,141.135,1272
Alicia_Silverstone_,129.916,929
Alimzhan_Tokhtakhounov_,129.601,915
Alison_Lohman_,106.461,285
Allen_Iverson_,142.211,1294
Allison_Janney_,131.425,970
Allyson_Felix_,155.012,1514
Alvaro_Noboa_,125.616,762
Alvaro_Silva_Calderon_,126.787,805
Alvaro_Uribe_,115.829,502
Amanda_Beard_,116.51,516
Amanda_Bynes_,87.498,50
Amanda_Coetzer_,140.534,1252
Amber_Tamblyn_,109.004,341
Amelia_Vega_,104.656,245
Amelie_Mauresmo_,145.079,1344
Amer_al-Saadi_,114.062,454
Amram_Mitzna_,126.964,809
Ana_Guevara_,177.762,1662
Ana_Palacio_,101.273,195
Anastasia_Myskina_,156.062,1529
Anders_Ebbeson_,162.856,1596
Anders_Fogh_Rasmussen_,166.938,1625
Andre_Agassi_,124.798,738
Andrei_Mikhnevich_,132.021,985
Andrew_Bunner_,121.084,643
Andrew_Cuomo_,98.5959,158
Andrew_Niccol_,128.952,884
Andrew_Weissmann_,160.887,1584
Andy_Hebb_,110.032,363
Andy_Roddick_,118.568,572
