Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,66,186
Aaron_Sorkin_,902,1508
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,714,1352
Abdullah_,1149,1620
Abdullah_Gul_,73,205
Abdullah_al-Attiyah_,1216,1637
Abdullatif_Sener_,772,1400
Abel_Pacheco_,154,416
Abid_Hamid_Mahmud_Al-Tikriti_,1085,1605
Adam_Sandler_,101,279
Adam_Scott_,673,1301
Adel_Al-Jubeir_,453,1020
Adolfo_Aguilar_Zinser_,279,703
Adolfo_Rodriguez_Saa_,86,240
Adrian_McPherson_,738,1373
Adrian_Nastase_,870,1482
Adrien_Brody_,544,1145
Ahmad_Masood_,1308,1656
Ahmed_Chalabi_,410,961
Ahmet_Necdet_Sezer_,186,489
Ai_Sugiyama_,752,1384
Aicha_El_Ouafi_,480,1062
Aitor_Gonzalez_,846,1466
Akbar_Hashemi_Rafsanjani_,131,356
Akhmed_Zakayev_,396,937
Al_Davis_,159,427
Al_Gore_,1074,1600
Al_Pacino_,58,167
Al_Sharpton_,102,282
Alan_Ball_,722,1362
Alan_Greenspan_,830,1453
Alan_Mulally_,191,499
Alastair_Campbell_,922,1516
Albert_Costa_,398,940
Alberto_Fujimori_,398,941
Alberto_Ruiz_Gallardon_,320,788
Albrecht_Mentz_,16,46
Aldo_Paredes_,465,1037
Alec_Baldwin_,648,1281
Alejandro_Atchugarry_,643,1274
Alejandro_Avila_,825,1448
Alejandro_Toledo_,77,216
Aleksander_Kwasniewski_,303,753
Alex_Barros_,376,900
Alex_Penelas_,320,789
Alex_Sink_,590,1210
Alexander_Downer_,57,165
Alexander_Losyukov_,353,853
Alexander_Rumyantsev_,428,988
Alexandra_Stevenson_,256,651
Alexandra_Vodjanikova_,1286,1650
Ali_Abbas_,207,543
Ali_Khamenei_,270,682
Ali_Naimi_,227,592
Alice_Fisher_,247,635
Alicia_Silverstone_,290,726
Alimzhan_Tokhtakhounov_,203,533
Alison_Lohman_,491,1078
Allen_Iverson_,886,1497
Allison_Janney_,693,1328
Allyson_Felix_,749,1383
Alvaro_Noboa_,90,251
Alvaro_Silva_Calderon_,833,1454
Alvaro_Uribe_,240,623
Amanda_Beard_,484,1067
Amanda_Bynes_,61,175
Amanda_Coetzer_,1249,1644
Amber_Tamblyn_,144,390
Amelia_Vega_,282,710
Amelie_Mauresmo_,1139,1618
Amer_al-Saadi_,483,1064
Amram_Mitzna_,477,1057
Ana_Guevara_,71,200
Ana_Palacio_,231,601
Anastasia_Myskina_,406,956
Anders_Ebbeson_,808,1435
Anders_Fogh_Rasmussen_,1306,1655
Andre_Agassi_,770,1398
Andrei_Mikhnevich_,270,683
Andrew_Bunner_,423,983
Andrew_Cuomo_,185,487
Andrew_Niccol_,302,751
Andrew_Weissmann_,465,1038
Andy_Hebb_,391,924
Andy_Roddick_,589,1208
Angela_Bassett_,1119,1615
Angela_Lansbury_,182,481
Angela_Merkel_,51,148
Angelina_Jolie_,85,237
Angelo_Reyes_,277,699
Anibal_Ibarra_,642,1272
Ann_Veneman_,234,609
Anna_Kournikova_,601,1226
Anna_Nicole_Smith_,493,1082
Anne_Krueger_,773,1402
