Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.265,534
Aaron_Sorkin_,134.49,1072
Abdel_Nasser_Assidi_,158.797,1553
Abdoulaye_Wade_,177.802,1663
Abdullah_,139.134,1198
Abdullah_Gul_,128.496,891
Abdullah_al-Attiyah_,145.204,1329
Abdullatif_Sener_,131.01,973
Abel_Pacheco_,135.92,1112
Abid_Hamid_Mahmud_Al-Tikriti_,177.237,1660
Adam_Sandler_,115.313,485
Adam_Scott_,160.234,1573
Adel_Al-Jubeir_,168.607,1632
Adolfo_Aguilar_Zinser_,135.5,1100
Adolfo_Rodriguez_Saa_,139.594,1207
Adrian_McPherson_,196.327,1679
Adrian_Nastase_,141.546,1259
Adrien_Brody_,116.09,505
Ahmad_Masood_,149.195,1393
Ahmed_Chalabi_,111.076,377
Ahmet_Necdet_Sezer_,129.474,928
Ai_Sugiyama_,118.286,566
Aicha_El_Ouafi_,151.213,1439
Aitor_Gonzalez_,170.279,1644
Akbar_Hashemi_Rafsanjani_,103.606,245
Akhmed_Zakayev_,125.146,773
Al_Davis_,149.321,1398
Al_Gore_,139.245,1201
Al_Pacino_,136.659,1130
Al_Sharpton_,168.742,1635
Alan_Ball_,123.318,715
Alan_Greenspan_,139.919,1212
Alan_Mulally_,128.855,902
Alastair_Campbell_,129.28,920
Albert_Costa_,168.729,1634
Alberto_Fujimori_,136.549,1126
Alberto_Ruiz_Gallardon_,129.841,940
Albrecht_Mentz_,128.806,898
Aldo_Paredes_,113.539,439
Alec_Baldwin_,136.249,1121
Alejandro_Atchugarry_,120.505,633
Alejandro_Avila_,160.743,1576
Alejandro_Toledo_,130.795,965
Aleksander_Kwasniewski_,138.483,1184
Alex_Barros_,109.252,346
Alex_Penelas_,106.832,298
Alex_Sink_,118.57,571
Alexander_Downer_,123.848,729
Alexander_Losyukov_,112.927,426
Alexander_Rumyantsev_,105.962,282
Alexandra_Stevenson_,160.311,1575
Alexandra_Vodjanikova_,154.611,1496
Ali_Abbas_,109.467,354
Ali_Khamenei_,138.23,1177
Ali_Naimi_,112.306,407
Alice_Fisher_,141.129,1250
Alicia_Silverstone_,129.912,943
Alimzhan_Tokhtakhounov_,117.413,542
Alison_Lohman_,114.417,457
Allen_Iverson_,142.209,1276
Allison_Janney_,131.415,983
Allyson_Felix_,173.743,1652
Alvaro_Noboa_,111.055,376
Alvaro_Silva_Calderon_,126.771,820
Alvaro_Uribe_,115.821,497
Amanda_Beard_,116.504,514
Amanda_Bynes_,111.81,396
Amanda_Coetzer_,140.53,1231
Amber_Tamblyn_,131.552,987
Amelia_Vega_,161.183,1581
Amelie_Mauresmo_,145.068,1325
Amer_al-Saadi_,98.9322,178
Amram_Mitzna_,126.959,824
Ana_Guevara_,131.941,998
Ana_Palacio_,101.263,216
Anastasia_Myskina_,156.057,1518
Anders_Ebbeson_,162.853,1590
Anders_Fogh_Rasmussen_,166.936,1624
Andre_Agassi_,138.751,1191
Andrei_Mikhnevich_,132.007,1003
Andrew_Bunner_,111.779,393
Andrew_Cuomo_,98.59,172
Andrew_Niccol_,128.94,907
Andrew_Weissmann_,147.81,1374
Andy_Hebb_,81.6314,34
