Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.93,1001
Aaron_Sorkin_,134.498,1080
Abdel_Nasser_Assidi_,173.089,1647
Abdoulaye_Wade_,177.813,1663
Abdullah_,139.139,1217
Abdullah_Gul_,106.02,310
Abdullah_al-Attiyah_,163.378,1606
Abdullatif_Sener_,131.027,977
Abel_Pacheco_,135.924,1122
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1661
Adam_Sandler_,115.315,513
Adam_Scott_,160.235,1584
Adel_Al-Jubeir_,148.605,1431
Adolfo_Aguilar_Zinser_,135.519,1106
Adolfo_Rodriguez_Saa_,139.613,1227
Adrian_McPherson_,196.331,1679
Adrian_Nastase_,136.946,1146
Adrien_Brody_,110.823,407
Ahmad_Masood_,149.2,1435
Ahmed_Chalabi_,111.092,413
Ahmet_Necdet_Sezer_,129.483,930
Ai_Sugiyama_,135.277,1101
Aicha_El_Ouafi_,151.225,1465
Aitor_Gonzalez_,174.414,1653
Akbar_Hashemi_Rafsanjani_,118.4,591
Akhmed_Zakayev_,128.85,904
Al_Davis_,149.337,1439
Al_Gore_,139.249,1219
Al_Pacino_,136.661,1142
Al_Sharpton_,132.544,1019
Alan_Ball_,123.339,726
Alan_Greenspan_,139.924,1234
Alan_Mulally_,110.256,395
Alastair_Campbell_,110.592,399
Albert_Costa_,168.739,1631
Alberto_Fujimori_,136.566,1138
Alberto_Ruiz_Gallardon_,106.298,315
Albrecht_Mentz_,128.809,900
Aldo_Paredes_,113.55,471
Alec_Baldwin_,136.271,1130
Alejandro_Atchugarry_,120.342,639
Alejandro_Avila_,160.749,1586
Alejandro_Toledo_,130.822,968
Aleksander_Kwasniewski_,138.492,1195
Alex_Barros_,109.293,377
Alex_Penelas_,93.9063,107
Alex_Sink_,118.59,594
Alexander_Downer_,98.3875,164
Alexander_Losyukov_,112.946,458
Alexander_Rumyantsev_,105.972,308
Alexandra_Stevenson_,160.325,1585
Alexandra_Vodjanikova_,154.616,1511
Ali_Abbas_,91.1966,82
Ali_Khamenei_,138.254,1187
Ali_Naimi_,112.328,441
Alice_Fisher_,141.142,1273
Alicia_Silverstone_,159.517,1574
Alimzhan_Tokhtakhounov_,117.448,571
Alison_Lohman_,106.469,319
Allen_Iverson_,142.214,1304
Allison_Janney_,129.51,931
Allyson_Felix_,173.748,1649
Alvaro_Noboa_,125.618,794
Alvaro_Silva_Calderon_,130.829,969
Alvaro_Uribe_,115.848,527
Amanda_Beard_,116.516,539
Amanda_Bynes_,141.621,1284
Amanda_Coetzer_,140.539,1255
Amber_Tamblyn_,109.008,369
Amelia_Vega_,104.66,280
Amelie_Mauresmo_,163.152,1605
Amer_al-Saadi_,114.07,487
Amram_Mitzna_,126.971,834
Ana_Guevara_,177.764,1662
Ana_Palacio_,101.284,217
Anastasia_Myskina_,144.261,1353
Anders_Ebbeson_,162.858,1601
Anders_Fogh_Rasmussen_,166.941,1623
Andre_Agassi_,150.552,1450
Andrei_Mikhnevich_,144.297,1354
Andrew_Bunner_,121.098,664
Andrew_Cuomo_,98.6035,166
Andrew_Niccol_,128.962,910
Andrew_Weissmann_,160.89,1589
Andy_Hebb_,110.042,391
