Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.273,523
Aaron_Sorkin_,134.495,1057
Abdel_Nasser_Assidi_,173.087,1649
Abdoulaye_Wade_,177.809,1661
Abdullah_,101.798,206
Abdullah_Gul_,106.012,282
Abdullah_al-Attiyah_,163.374,1598
Abdullatif_Sener_,124.875,743
Abel_Pacheco_,135.922,1107
Abid_Hamid_Mahmud_Al-Tikriti_,156.623,1537
Adam_Sandler_,154.722,1514
Adam_Scott_,160.235,1577
Adel_Al-Jubeir_,148.604,1410
Adolfo_Aguilar_Zinser_,135.512,1094
Adolfo_Rodriguez_Saa_,90.6174,76
Adrian_McPherson_,196.33,1679
Adrian_Nastase_,136.946,1132
Adrien_Brody_,110.814,376
Ahmad_Masood_,149.198,1417
Ahmed_Chalabi_,111.085,382
Ahmet_Necdet_Sezer_,135.093,1076
Ai_Sugiyama_,135.275,1083
Aicha_El_Ouafi_,151.22,1457
Aitor_Gonzalez_,170.283,1640
Akbar_Hashemi_Rafsanjani_,103.61,230
Akhmed_Zakayev_,128.844,871
Al_Davis_,149.331,1422
Al_Gore_,139.248,1198
Al_Pacino_,136.66,1126
Al_Sharpton_,164.891,1612
Alan_Ball_,123.33,688
Alan_Greenspan_,139.922,1215
Alan_Mulally_,128.866,874
Alastair_Campbell_,129.295,892
Albert_Costa_,168.735,1633
Alberto_Fujimori_,127.421,821
Alberto_Ruiz_Gallardon_,129.841,915
Albrecht_Mentz_,128.808,867
Aldo_Paredes_,148.93,1415
Alec_Baldwin_,136.712,1128
Alejandro_Atchugarry_,120.335,612
Alejandro_Avila_,160.747,1580
Alejandro_Toledo_,130.811,937
Aleksander_Kwasniewski_,138.488,1178
Alex_Barros_,146.771,1371
Alex_Penelas_,93.8959,109
Alex_Sink_,118.582,555
Alexander_Downer_,105.959,278
Alexander_Losyukov_,112.938,418
Alexander_Rumyantsev_,105.968,279
Alexandra_Stevenson_,160.32,1578
Alexandra_Vodjanikova_,154.614,1512
Ali_Abbas_,109.475,357
Ali_Khamenei_,122.152,654
Ali_Naimi_,112.319,402
Alice_Fisher_,139.586,1207
Alicia_Silverstone_,159.513,1569
Alimzhan_Tokhtakhounov_,117.433,530
Alison_Lohman_,106.463,292
Allen_Iverson_,151.964,1465
Allison_Janney_,131.429,956
Allyson_Felix_,139.288,1200
Alvaro_Noboa_,111.073,381
Alvaro_Silva_Calderon_,126.795,801
Alvaro_Uribe_,99.781,173
Amanda_Beard_,116.512,506
Amanda_Bynes_,117.286,524
Amanda_Coetzer_,140.536,1234
Amber_Tamblyn_,109.005,343
Amelia_Vega_,137.457,1146
Amelie_Mauresmo_,145.08,1331
Amer_al-Saadi_,98.9401,165
Amram_Mitzna_,126.966,804
Ana_Guevara_,147.613,1388
Ana_Palacio_,101.276,196
Anastasia_Myskina_,156.063,1532
Anders_Ebbeson_,151.758,1462
Anders_Fogh_Rasmussen_,129.792,910
Andre_Agassi_,124.801,740
Andrei_Mikhnevich_,132.023,980
Andrew_Bunner_,121.087,627
Andrew_Cuomo_,98.5982,162
Andrew_Niccol_,128.953,879
Andrew_Weissmann_,160.888,1581
Andy_Hebb_,81.6458,31
