Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,225,585
Aaron_Sorkin_,629,1272
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,54,154
Abdullah_,41,119
Abdullah_Gul_,8,22
Abdullah_al-Attiyah_,356,863
Abdullatif_Sener_,217,570
Abel_Pacheco_,712,1361
Abid_Hamid_Mahmud_Al-Tikriti_,474,1055
Adam_Sandler_,161,443
Adam_Scott_,1294,1662
Adel_Al-Jubeir_,753,1394
Adolfo_Aguilar_Zinser_,562,1187
Adolfo_Rodriguez_Saa_,774,1417
Adrian_McPherson_,2,4
Adrian_Nastase_,218,572
Adrien_Brody_,397,939
Ahmad_Masood_,3,7
Ahmed_Chalabi_,3,8
Ahmet_Necdet_Sezer_,949,1548
Ai_Sugiyama_,325,799
Aicha_El_Ouafi_,208,552
Aitor_Gonzalez_,4,10
Akbar_Hashemi_Rafsanjani_,205,543
Akhmed_Zakayev_,877,1508
Al_Davis_,205,544
Al_Gore_,928,1538
Al_Pacino_,721,1369
Al_Sharpton_,588,1218
Alan_Ball_,732,1380
Alan_Greenspan_,1320,1666
Alan_Mulally_,484,1072
Alastair_Campbell_,294,730
Albert_Costa_,798,1439
Alberto_Fujimori_,868,1501
Alberto_Ruiz_Gallardon_,5,13
Albrecht_Mentz_,136,377
Aldo_Paredes_,103,293
Alec_Baldwin_,449,1017
Alejandro_Atchugarry_,475,1057
Alejandro_Avila_,760,1402
Alejandro_Toledo_,965,1558
Aleksander_Kwasniewski_,1203,1648
Alex_Barros_,309,763
Alex_Penelas_,237,613
Alex_Sink_,457,1028
Alexander_Downer_,304,752
Alexander_Losyukov_,35,102
Alexander_Rumyantsev_,301,744
Alexandra_Stevenson_,916,1531
Alexandra_Vodjanikova_,583,1212
Ali_Abbas_,380,905
Ali_Khamenei_,6,16
Ali_Naimi_,428,984
Alice_Fisher_,558,1182
Alicia_Silverstone_,199,530
Alimzhan_Tokhtakhounov_,550,1170
Alison_Lohman_,481,1067
Allen_Iverson_,895,1518
Allison_Janney_,1005,1578
Allyson_Felix_,1,2
Alvaro_Noboa_,537,1151
Alvaro_Silva_Calderon_,657,1306
Alvaro_Uribe_,515,1119
Amanda_Beard_,198,527
Amanda_Bynes_,56,160
Amanda_Coetzer_,773,1415
Amber_Tamblyn_,7,19
Amelia_Vega_,267,673
Amelie_Mauresmo_,599,1231
Amer_al-Saadi_,183,495
Amram_Mitzna_,602,1237
Ana_Guevara_,505,1106
Ana_Palacio_,477,1061
Anastasia_Myskina_,865,1499
Anders_Ebbeson_,416,967
Anders_Fogh_Rasmussen_,184,497
Andre_Agassi_,279,699
Andrei_Mikhnevich_,142,393
Andrew_Bunner_,64,180
Andrew_Cuomo_,171,468
Andrew_Niccol_,8,23
Andrew_Weissmann_,844,1475
Andy_Hebb_,387,918
Andy_Roddick_,982,1569
Angela_Bassett_,1545,1678
Angela_Lansbury_,261,660
Angela_Merkel_,309,764
Angelina_Jolie_,447,1013
Angelo_Reyes_,689,1338
Anibal_Ibarra_,187,503
Ann_Veneman_,154,425
Anna_Kournikova_,170,465
Anna_Nicole_Smith_,343,838
Anne_Krueger_,21,61
