Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,566,1173
Aaron_Sorkin_,692,1319
Abdel_Nasser_Assidi_,251,638
Abdoulaye_Wade_,1005,1573
Abdullah_,15,43
Abdullah_Gul_,173,479
Abdullah_al-Attiyah_,738,1367
Abdullatif_Sener_,396,921
Abel_Pacheco_,1138,1624
Abid_Hamid_Mahmud_Al-Tikriti_,276,693
Adam_Sandler_,514,1098
Adam_Scott_,1187,1635
Adel_Al-Jubeir_,399,927
Adolfo_Aguilar_Zinser_,1088,1602
Adolfo_Rodriguez_Saa_,1,1
Adrian_McPherson_,590,1204
Adrian_Nastase_,362,872
Adrien_Brody_,398,925
Ahmad_Masood_,23,67
Ahmed_Chalabi_,10,28
Ahmet_Necdet_Sezer_,328,799
Ai_Sugiyama_,1116,1613
Aicha_El_Ouafi_,371,887
Aitor_Gonzalez_,514,1099
Akbar_Hashemi_Rafsanjani_,598,1214
Akhmed_Zakayev_,636,1269
Al_Davis_,427,970
Al_Gore_,357,862
Al_Pacino_,672,1301
Al_Sharpton_,183,502
Alan_Ball_,628,1256
Alan_Greenspan_,338,821
Alan_Mulally_,2,4
Alastair_Campbell_,256,648
Albert_Costa_,346,839
Alberto_Fujimori_,3,7
Alberto_Ruiz_Gallardon_,314,767
Albrecht_Mentz_,907,1523
Aldo_Paredes_,304,749
Alec_Baldwin_,365,877
Alejandro_Atchugarry_,4,10
Alejandro_Avila_,273,685
Alejandro_Toledo_,605,1223
Aleksander_Kwasniewski_,477,1050
Alex_Barros_,372,888
Alex_Penelas_,129,361
Alex_Sink_,597,1213
Alexander_Downer_,303,747
Alexander_Losyukov_,85,242
Alexander_Rumyantsev_,426,967
Alexandra_Stevenson_,874,1495
Alexandra_Vodjanikova_,257,651
Ali_Abbas_,106,301
Ali_Khamenei_,684,1311
Ali_Naimi_,432,978
Alice_Fisher_,454,1014
Alicia_Silverstone_,5,13
Alimzhan_Tokhtakhounov_,6,16
Alison_Lohman_,495,1074
Allen_Iverson_,7,19
Allison_Janney_,989,1562
Allyson_Felix_,41,118
Alvaro_Noboa_,637,1270
Alvaro_Silva_Calderon_,8,22
Alvaro_Uribe_,764,1390
Amanda_Beard_,545,1143
Amanda_Bynes_,568,1177
Amanda_Coetzer_,9,25
Amber_Tamblyn_,994,1566
Amelia_Vega_,271,680
Amelie_Mauresmo_,1051,1592
Amer_al-Saadi_,486,1062
Amram_Mitzna_,528,1121
Ana_Guevara_,352,852
Ana_Palacio_,5,14
Anastasia_Myskina_,1089,1603
Anders_Ebbeson_,473,1046
Anders_Fogh_Rasmussen_,52,151
Andre_Agassi_,714,1342
Andrei_Mikhnevich_,10,29
Andrew_Bunner_,494,1072
Andrew_Cuomo_,180,496
Andrew_Niccol_,11,31
Andrew_Weissmann_,837,1452
Andy_Hebb_,12,34
Andy_Roddick_,509,1091
Angela_Bassett_,705,1332
Angela_Lansbury_,13,37
Angela_Merkel_,54,157
Angelina_Jolie_,461,1028
Angelo_Reyes_,14,40
Anibal_Ibarra_,114,321
Ann_Veneman_,218,580
Anna_Kournikova_,73,211
Anna_Nicole_Smith_,457,1020
Anne_Krueger_,15,44
