Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,334,766
Aaron_Sorkin_,352,801
Abdel_Nasser_Assidi_,37,107
Abdoulaye_Wade_,778,1347
Abdullah_,217,543
Abdullah_Gul_,708,1281
Abdullah_al-Attiyah_,1205,1607
Abdullatif_Sener_,973,1507
Abel_Pacheco_,646,1210
Abid_Hamid_Mahmud_Al-Tikriti_,391,872
Adam_Sandler_,107,298
Adam_Scott_,557,1114
Adel_Al-Jubeir_,581,1137
Adolfo_Aguilar_Zinser_,727,1301
Adolfo_Rodriguez_Saa_,741,1310
Adrian_McPherson_,1438,1665
Adrian_Nastase_,376,844
Adrien_Brody_,127,344
Ahmad_Masood_,813,1380
Ahmed_Chalabi_,28,80
Ahmet_Necdet_Sezer_,411,902
Ai_Sugiyama_,476,1000
Aicha_El_Ouafi_,842,1407
Aitor_Gonzalez_,1107,1574
Akbar_Hashemi_Rafsanjani_,241,595
Akhmed_Zakayev_,180,460
Al_Davis_,466,984
Al_Gore_,1203,1605
Al_Pacino_,122,334
Al_Sharpton_,245,603
Alan_Ball_,1,1
Alan_Greenspan_,266,639
Alan_Mulally_,379,850
Alastair_Campbell_,924,1468
Albert_Costa_,802,1370
Alberto_Fujimori_,852,1418
Alberto_Ruiz_Gallardon_,291,689
Albrecht_Mentz_,418,914
Aldo_Paredes_,1432,1663
Alec_Baldwin_,581,1138
Alejandro_Atchugarry_,350,798
Alejandro_Avila_,676,1251
Alejandro_Toledo_,358,812
Aleksander_Kwasniewski_,959,1490
Alex_Barros_,358,813
Alex_Penelas_,188,478
Alex_Sink_,1046,1541
Alexander_Downer_,67,193
Alexander_Losyukov_,181,462
Alexander_Rumyantsev_,412,904
Alexandra_Stevenson_,1257,1621
Alexandra_Vodjanikova_,35,101
Ali_Abbas_,365,826
Ali_Khamenei_,996,1517
Ali_Naimi_,783,1351
Alice_Fisher_,351,799
Alicia_Silverstone_,472,993
Alimzhan_Tokhtakhounov_,554,1110
Alison_Lohman_,341,781
Allen_Iverson_,712,1285
Allison_Janney_,417,913
Allyson_Felix_,1258,1622
Alvaro_Noboa_,393,874
Alvaro_Silva_Calderon_,357,810
Alvaro_Uribe_,184,468
Amanda_Beard_,527,1070
Amanda_Bynes_,51,147
Amanda_Coetzer_,1244,1619
Amber_Tamblyn_,302,704
Amelia_Vega_,2,4
Amelie_Mauresmo_,647,1211
Amer_al-Saadi_,461,976
Amram_Mitzna_,2,5
Ana_Guevara_,205,515
Ana_Palacio_,2,6
Anastasia_Myskina_,1137,1587
Anders_Ebbeson_,926,1469
Anders_Fogh_Rasmussen_,976,1509
Andre_Agassi_,1066,1551
Andrei_Mikhnevich_,139,374
Andrew_Bunner_,647,1212
Andrew_Cuomo_,177,454
Andrew_Niccol_,195,493
Andrew_Weissmann_,304,707
Andy_Hebb_,375,842
Andy_Roddick_,974,1508
Angela_Bassett_,229,569
Angela_Lansbury_,30,86
Angela_Merkel_,50,145
Angelina_Jolie_,27,77
Angelo_Reyes_,312,722
Anibal_Ibarra_,175,451
Ann_Veneman_,213,533
Anna_Kournikova_,529,1074
Anna_Nicole_Smith_,470,992
Anne_Krueger_,707,1280
