Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,607,1224
Aaron_Sorkin_,846,1460
Abdel_Nasser_Assidi_,1030,1574
Abdoulaye_Wade_,1,1
Abdullah_,1221,1646
Abdullah_Gul_,278,726
Abdullah_al-Attiyah_,16,46
Abdullatif_Sener_,762,1383
Abel_Pacheco_,312,799
Abid_Hamid_Mahmud_Al-Tikriti_,512,1103
Adam_Sandler_,368,901
Adam_Scott_,2,4
Adel_Al-Jubeir_,248,659
Adolfo_Aguilar_Zinser_,935,1532
Adolfo_Rodriguez_Saa_,78,226
Adrian_McPherson_,492,1073
Adrian_Nastase_,498,1082
Adrien_Brody_,743,1369
Ahmad_Masood_,645,1267
Ahmed_Chalabi_,375,912
Ahmet_Necdet_Sezer_,200,540
Ai_Sugiyama_,959,1545
Aicha_El_Ouafi_,3,7
Aitor_Gonzalez_,1142,1619
Akbar_Hashemi_Rafsanjani_,239,637
Akhmed_Zakayev_,481,1055
Al_Davis_,4,10
Al_Gore_,159,436
Al_Pacino_,29,85
Al_Sharpton_,920,1522
Alan_Ball_,400,944
Alan_Greenspan_,571,1180
Alan_Mulally_,5,13
Alastair_Campbell_,816,1432
Albert_Costa_,59,174
Alberto_Fujimori_,574,1185
Alberto_Ruiz_Gallardon_,6,16
Albrecht_Mentz_,7,19
Aldo_Paredes_,1425,1673
Alec_Baldwin_,511,1102
Alejandro_Atchugarry_,357,884
Alejandro_Avila_,380,918
Alejandro_Toledo_,109,316
Aleksander_Kwasniewski_,8,22
Alex_Barros_,9,25
Alex_Penelas_,232,620
Alex_Sink_,558,1164
Alexander_Downer_,160,439
Alexander_Losyukov_,691,1316
Alexander_Rumyantsev_,10,28
Alexandra_Stevenson_,11,31
Alexandra_Vodjanikova_,924,1524
Ali_Abbas_,135,380
Ali_Khamenei_,669,1290
Ali_Naimi_,169,464
Alice_Fisher_,12,34
Alicia_Silverstone_,154,424
Alimzhan_Tokhtakhounov_,251,667
Alison_Lohman_,291,758
Allen_Iverson_,13,37
Allison_Janney_,671,1293
Allyson_Felix_,195,527
Alvaro_Noboa_,790,1407
Alvaro_Silva_Calderon_,14,40
Alvaro_Uribe_,558,1165
Amanda_Beard_,419,970
Amanda_Bynes_,56,165
Amanda_Coetzer_,15,43
Amber_Tamblyn_,67,196
Amelia_Vega_,788,1406
Amelie_Mauresmo_,442,1000
Amer_al-Saadi_,360,887
Amram_Mitzna_,335,847
Ana_Guevara_,314,802
Ana_Palacio_,553,1160
Anastasia_Myskina_,837,1451
Anders_Ebbeson_,901,1502
Anders_Fogh_Rasmussen_,563,1169
Andre_Agassi_,743,1370
Andrei_Mikhnevich_,411,957
Andrew_Bunner_,634,1254
Andrew_Cuomo_,16,47
Andrew_Niccol_,98,285
Andrew_Weissmann_,17,49
Andy_Hebb_,18,52
Andy_Roddick_,369,903
Angela_Bassett_,148,411
Angela_Lansbury_,458,1026
Angela_Merkel_,284,742
Angelina_Jolie_,794,1412
Angelo_Reyes_,66,193
Anibal_Ibarra_,721,1341
Ann_Veneman_,211,569
Anna_Kournikova_,778,1397
Anna_Nicole_Smith_,19,55
Anne_Krueger_,832,1445
Anne_McLellan_,618,1234
