Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.273,564
Aaron_Sorkin_,134.495,1087
Abdel_Nasser_Assidi_,158.8,1558
Abdoulaye_Wade_,177.809,1663
Abdullah_,101.798,227
Abdullah_Gul_,106.011,301
Abdullah_al-Attiyah_,139.394,1224
Abdullatif_Sener_,131.02,991
Abel_Pacheco_,135.922,1129
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1660
Adam_Sandler_,115.314,512
Adam_Scott_,160.235,1575
Adel_Al-Jubeir_,148.604,1415
Adolfo_Aguilar_Zinser_,135.511,1115
Adolfo_Rodriguez_Saa_,90.6174,86
Adrian_McPherson_,196.33,1679
Adrian_Nastase_,136.945,1153
Adrien_Brody_,110.813,394
Ahmad_Masood_,126.404,830
Ahmed_Chalabi_,111.085,402
Ahmet_Necdet_Sezer_,129.479,947
Ai_Sugiyama_,135.275,1108
Aicha_El_Ouafi_,151.22,1457
Aitor_Gonzalez_,174.412,1652
Akbar_Hashemi_Rafsanjani_,103.61,253
Akhmed_Zakayev_,128.844,921
Al_Davis_,149.33,1428
Al_Gore_,139.247,1222
Al_Pacino_,136.66,1145
Al_Sharpton_,144.187,1336
Alan_Ball_,123.33,730
Alan_Greenspan_,139.922,1238
Alan_Mulally_,110.248,384
Alastair_Campbell_,129.294,938
Albert_Costa_,168.735,1631
Alberto_Fujimori_,127.421,871
Alberto_Ruiz_Gallardon_,106.284,309
Albrecht_Mentz_,128.808,918
Aldo_Paredes_,113.545,461
Alec_Baldwin_,136.261,1137
Alejandro_Atchugarry_,120.509,652
Alejandro_Avila_,144.149,1332
Alejandro_Toledo_,130.811,983
Aleksander_Kwasniewski_,138.488,1203
Alex_Barros_,109.277,366
Alex_Penelas_,106.842,320
Alex_Sink_,149.193,1424
Alexander_Downer_,98.385,174
Alexander_Losyukov_,112.938,447
Alexander_Rumyantsev_,112.058,420
Alexandra_Stevenson_,160.319,1576
Alexandra_Vodjanikova_,154.614,1506
Ali_Abbas_,109.474,374
Ali_Khamenei_,138.244,1193
Ali_Naimi_,112.319,427
Alice_Fisher_,141.136,1271
Alicia_Silverstone_,129.919,962
Alimzhan_Tokhtakhounov_,117.433,572
Alison_Lohman_,114.426,483
Allen_Iverson_,151.964,1466
Allison_Janney_,131.429,1002
Allyson_Felix_,173.746,1648
Alvaro_Noboa_,125.616,804
Alvaro_Silva_Calderon_,126.796,845
Alvaro_Uribe_,115.836,528
Amanda_Beard_,116.511,543
Amanda_Bynes_,87.5011,59
Amanda_Coetzer_,124.804,782
Amber_Tamblyn_,109.005,359
Amelia_Vega_,104.657,267
Amelie_Mauresmo_,145.08,1348
Amer_al-Saadi_,114.063,477
Amram_Mitzna_,126.966,851
Ana_Guevara_,177.763,1662
Ana_Palacio_,101.275,216
Anastasia_Myskina_,144.256,1337
Anders_Ebbeson_,162.856,1590
Anders_Fogh_Rasmussen_,166.939,1620
Andre_Agassi_,138.757,1211
Andrei_Mikhnevich_,144.292,1338
Andrew_Bunner_,121.087,674
Andrew_Cuomo_,98.5978,177
Andrew_Niccol_,128.953,927
Andrew_Weissmann_,160.887,1579
Andy_Hebb_,110.034,380
