Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,140,396
Aaron_Sorkin_,1,1
Abdel_Nasser_Assidi_,1215,1640
Abdoulaye_Wade_,527,1122
Abdullah_,404,942
Abdullah_Gul_,282,732
Abdullah_al-Attiyah_,541,1143
Abdullatif_Sener_,412,955
Abel_Pacheco_,50,145
Abid_Hamid_Mahmud_Al-Tikriti_,356,863
Adam_Sandler_,491,1076
Adam_Scott_,2,4
Adel_Al-Jubeir_,3,7
Adolfo_Aguilar_Zinser_,41,119
Adolfo_Rodriguez_Saa_,78,227
Adrian_McPherson_,247,660
Adrian_Nastase_,403,939
Adrien_Brody_,376,893
Ahmad_Masood_,389,915
Ahmed_Chalabi_,4,10
Ahmet_Necdet_Sezer_,4,11
Ai_Sugiyama_,278,725
Aicha_El_Ouafi_,613,1241
Aitor_Gonzalez_,1277,1656
Akbar_Hashemi_Rafsanjani_,209,576
Akhmed_Zakayev_,791,1415
Al_Davis_,109,313
Al_Gore_,1171,1627
Al_Pacino_,433,992
Al_Sharpton_,628,1261
Alan_Ball_,657,1291
Alan_Greenspan_,1203,1636
Alan_Mulally_,79,229
Alastair_Campbell_,227,615
Albert_Costa_,623,1254
Alberto_Fujimori_,779,1404
Alberto_Ruiz_Gallardon_,915,1511
Albrecht_Mentz_,865,1475
Aldo_Paredes_,470,1045
Alec_Baldwin_,937,1522
Alejandro_Atchugarry_,627,1259
Alejandro_Avila_,215,593
Alejandro_Toledo_,442,1008
Aleksander_Kwasniewski_,527,1123
Alex_Barros_,355,862
Alex_Penelas_,106,304
Alex_Sink_,573,1180
Alexander_Downer_,188,522
Alexander_Losyukov_,57,165
Alexander_Rumyantsev_,400,933
Alexandra_Stevenson_,231,625
Alexandra_Vodjanikova_,1479,1675
Ali_Abbas_,361,869
Ali_Khamenei_,103,296
Ali_Naimi_,409,949
Alice_Fisher_,657,1292
Alicia_Silverstone_,912,1508
Alimzhan_Tokhtakhounov_,5,13
Alison_Lohman_,6,16
Allen_Iverson_,7,19
Allison_Janney_,407,945
Allyson_Felix_,170,474
Alvaro_Noboa_,8,22
Alvaro_Silva_Calderon_,101,290
Alvaro_Uribe_,509,1099
Amanda_Beard_,317,800
Amanda_Bynes_,395,923
Amanda_Coetzer_,206,571
Amber_Tamblyn_,9,25
Amelia_Vega_,1027,1578
Amelie_Mauresmo_,1046,1589
Amer_al-Saadi_,458,1028
Amram_Mitzna_,10,28
Ana_Guevara_,186,517
Ana_Palacio_,204,565
Anastasia_Myskina_,624,1256
Anders_Ebbeson_,1214,1639
Anders_Fogh_Rasmussen_,635,1266
Andre_Agassi_,97,278
Andrei_Mikhnevich_,15,43
Andrew_Bunner_,56,162
Andrew_Cuomo_,166,464
Andrew_Niccol_,316,798
Andrew_Weissmann_,391,918
Andy_Hebb_,11,31
Andy_Roddick_,571,1178
Angela_Bassett_,296,761
Angela_Lansbury_,12,34
Angela_Merkel_,290,749
Angelina_Jolie_,435,996
Angelo_Reyes_,1119,1612
Anibal_Ibarra_,354,859
Ann_Veneman_,207,573
Anna_Kournikova_,141,399
Anna_Nicole_Smith_,13,37
Anne_Krueger_,568,1175
Anne_McLellan_,425,978
