Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.294,577
Aaron_Sorkin_,117.397,581
Abdel_Nasser_Assidi_,173.094,1645
Abdoulaye_Wade_,196.953,1679
Abdullah_,139.145,1219
Abdullah_Gul_,106.039,301
Abdullah_al-Attiyah_,163.389,1596
Abdullatif_Sener_,124.893,797
Abel_Pacheco_,135.933,1153
Abid_Hamid_Mahmud_Al-Tikriti_,116.791,561
Adam_Sandler_,115.317,519
Adam_Scott_,160.238,1574
Adel_Al-Jubeir_,148.606,1416
Adolfo_Aguilar_Zinser_,135.537,1143
Adolfo_Rodriguez_Saa_,139.635,1231
Adrian_McPherson_,196.336,1678
Adrian_Nastase_,136.949,1172
Adrien_Brody_,124.425,776
Ahmad_Masood_,126.426,845
Ahmed_Chalabi_,115.83,533
Ahmet_Necdet_Sezer_,129.494,972
Ai_Sugiyama_,135.282,1136
Aicha_El_Ouafi_,151.24,1455
Aitor_Gonzalez_,174.418,1653
Akbar_Hashemi_Rafsanjani_,103.629,255
Akhmed_Zakayev_,128.866,939
Al_Davis_,140.24,1251
Al_Gore_,139.253,1220
Al_Pacino_,136.663,1165
Al_Sharpton_,144.206,1346
Alan_Ball_,123.63,748
Alan_Greenspan_,139.93,1242
Alan_Mulally_,128.892,941
Alastair_Campbell_,129.332,964
Albert_Costa_,168.751,1632
Alberto_Fujimori_,127.447,880
Alberto_Ruiz_Gallardon_,106.341,307
Albrecht_Mentz_,128.812,935
Aldo_Paredes_,113.562,475
Alec_Baldwin_,136.307,1157
Alejandro_Atchugarry_,120.36,662
Alejandro_Avila_,160.756,1577
Alejandro_Toledo_,145.864,1374
Aleksander_Kwasniewski_,117.054,569
Alex_Barros_,146.784,1388
Alex_Penelas_,106.865,319
Alex_Sink_,118.614,610
Alexander_Downer_,98.3952,172
Alexander_Losyukov_,112.963,457
Alexander_Rumyantsev_,112.088,430
Alexandra_Stevenson_,160.337,1575
Alexandra_Vodjanikova_,154.623,1512
Ali_Abbas_,109.493,379
Ali_Khamenei_,138.276,1199
Ali_Naimi_,112.35,439
Alice_Fisher_,141.156,1281
Alicia_Silverstone_,129.939,983
Alimzhan_Tokhtakhounov_,117.488,583
Alison_Lohman_,114.449,497
Allen_Iverson_,142.22,1307
Allison_Janney_,131.466,1027
Allyson_Felix_,173.761,1648
Alvaro_Noboa_,111.108,408
Alvaro_Silva_Calderon_,126.858,860
Alvaro_Uribe_,99.7961,191
Amanda_Beard_,116.53,554
Amanda_Bynes_,87.5389,62
Amanda_Coetzer_,140.549,1260
Amber_Tamblyn_,109.014,366
Amelia_Vega_,104.669,268
Amelie_Mauresmo_,145.105,1360
Amer_al-Saadi_,98.9597,180
Amram_Mitzna_,150.636,1444
Ana_Guevara_,177.766,1662
Ana_Palacio_,63.4462,2
Anastasia_Myskina_,156.078,1534
Anders_Ebbeson_,162.862,1591
Anders_Fogh_Rasmussen_,166.949,1621
Andre_Agassi_,124.82,794
Andrei_Mikhnevich_,132.053,1053
Andrew_Bunner_,111.825,426
Andrew_Cuomo_,98.6217,177
Andrew_Niccol_,128.982,946
Andrew_Weissmann_,160.898,1580
Andy_Hebb_,110.06,392
