Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.289,535
Aaron_Sorkin_,134.504,1074
Abdel_Nasser_Assidi_,173.092,1648
Abdoulaye_Wade_,196.951,1679
Abdullah_,101.832,215
Abdullah_Gul_,106.034,285
Abdullah_al-Attiyah_,139.409,1207
Abdullatif_Sener_,124.886,750
Abel_Pacheco_,135.929,1118
Abid_Hamid_Mahmud_Al-Tikriti_,177.241,1656
Adam_Sandler_,115.316,488
Adam_Scott_,160.237,1585
Adel_Al-Jubeir_,148.606,1410
Adolfo_Aguilar_Zinser_,150.111,1435
Adolfo_Rodriguez_Saa_,139.626,1214
Adrian_McPherson_,196.335,1678
Adrian_Nastase_,136.948,1144
Adrien_Brody_,110.84,373
Ahmad_Masood_,149.203,1415
Ahmed_Chalabi_,111.105,379
Ahmet_Necdet_Sezer_,129.49,923
Ai_Sugiyama_,136.174,1127
Aicha_El_Ouafi_,151.234,1460
Aitor_Gonzalez_,174.417,1652
Akbar_Hashemi_Rafsanjani_,103.621,241
Akhmed_Zakayev_,115.157,483
Al_Davis_,149.348,1420
Al_Gore_,83.0071,51
Al_Pacino_,121.673,656
Al_Sharpton_,168.752,1633
Alan_Ball_,123.355,695
Alan_Greenspan_,139.928,1221
Alan_Mulally_,128.886,895
Alastair_Campbell_,86.0822,69
Albert_Costa_,168.747,1630
Alberto_Fujimori_,127.44,848
Alberto_Ruiz_Gallardon_,129.843,939
Albrecht_Mentz_,128.811,892
Aldo_Paredes_,113.559,442
Alec_Baldwin_,136.289,1130
Alejandro_Atchugarry_,120.516,624
Alejandro_Avila_,160.754,1587
Alejandro_Toledo_,130.843,967
Aleksander_Kwasniewski_,138.497,1187
Alex_Barros_,109.32,347
Alex_Penelas_,106.861,300
Alex_Sink_,149.206,1416
Alexander_Downer_,98.3924,166
Alexander_Losyukov_,112.957,424
Alexander_Rumyantsev_,105.98,283
Alexandra_Stevenson_,124.368,731
Alexandra_Vodjanikova_,154.62,1514
Ali_Abbas_,91.2036,100
Ali_Khamenei_,131.941,1001
Ali_Naimi_,112.343,407
Alice_Fisher_,141.152,1259
Alicia_Silverstone_,129.932,941
Alimzhan_Tokhtakhounov_,129.637,930
Alison_Lohman_,106.48,296
Allen_Iverson_,151.968,1470
Allison_Janney_,131.456,984
Allyson_Felix_,155.036,1519
Alvaro_Noboa_,111.103,378
Alvaro_Silva_Calderon_,126.84,825
Alvaro_Uribe_,99.7934,184
Amanda_Beard_,112.827,420
Amanda_Bynes_,117.305,537
Amanda_Coetzer_,124.808,748
Amber_Tamblyn_,109.012,343
Amelia_Vega_,137.466,1156
Amelie_Mauresmo_,145.101,1342
Amer_al-Saadi_,114.083,458
Amram_Mitzna_,126.98,827
Ana_Guevara_,131.963,1004
Ana_Palacio_,63.436,5
Anastasia_Myskina_,144.269,1328
Anders_Ebbeson_,162.861,1596
Anders_Fogh_Rasmussen_,129.813,938
Andre_Agassi_,128.795,890
Andrei_Mikhnevich_,144.305,1329
Andrew_Bunner_,111.817,391
Andrew_Cuomo_,98.6148,168
Andrew_Niccol_,128.977,901
Andrew_Weissmann_,147.853,1393
Andy_Hebb_,110.054,364
