Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,134,376
Aaron_Sorkin_,480,1039
Abdel_Nasser_Assidi_,710,1324
Abdoulaye_Wade_,145,403
Abdullah_,895,1482
Abdullah_Gul_,299,722
Abdullah_al-Attiyah_,1221,1643
Abdullatif_Sener_,770,1388
Abel_Pacheco_,397,908
Abid_Hamid_Mahmud_Al-Tikriti_,1097,1591
Adam_Sandler_,508,1078
Adam_Scott_,355,832
Adel_Al-Jubeir_,153,422
Adolfo_Aguilar_Zinser_,870,1464
Adolfo_Rodriguez_Saa_,78,226
Adrian_McPherson_,43,126
Adrian_Nastase_,821,1428
Adrien_Brody_,398,910
Ahmad_Masood_,1203,1635
Ahmed_Chalabi_,404,923
Ahmet_Necdet_Sezer_,380,879
Ai_Sugiyama_,811,1418
Aicha_El_Ouafi_,526,1106
Aitor_Gonzalez_,353,827
Akbar_Hashemi_Rafsanjani_,254,641
Akhmed_Zakayev_,787,1401
Al_Davis_,687,1302
Al_Gore_,417,946
Al_Pacino_,394,901
Al_Sharpton_,1350,1669
Alan_Ball_,412,938
Alan_Greenspan_,1114,1598
Alan_Mulally_,159,437
Alastair_Campbell_,337,794
Albert_Costa_,106,306
Alberto_Fujimori_,1,1
Alberto_Ruiz_Gallardon_,302,729
Albrecht_Mentz_,757,1373
Aldo_Paredes_,469,1020
Alec_Baldwin_,18,51
Alejandro_Atchugarry_,643,1249
Alejandro_Avila_,30,87
Alejandro_Toledo_,619,1218
Aleksander_Kwasniewski_,407,931
Alex_Barros_,2,4
Alex_Penelas_,115,327
Alex_Sink_,3,7
Alexander_Downer_,298,720
Alexander_Losyukov_,283,695
Alexander_Rumyantsev_,427,963
Alexandra_Stevenson_,212,562
Alexandra_Vodjanikova_,1513,1676
Ali_Abbas_,85,247
Ali_Khamenei_,818,1426
Ali_Naimi_,27,78
Alice_Fisher_,335,790
Alicia_Silverstone_,273,679
Alimzhan_Tokhtakhounov_,4,10
Alison_Lohman_,5,13
Allen_Iverson_,6,16
Allison_Janney_,875,1469
Allyson_Felix_,808,1414
Alvaro_Noboa_,403,921
Alvaro_Silva_Calderon_,272,677
Alvaro_Uribe_,181,489
Amanda_Beard_,140,391
Amanda_Bynes_,565,1153
Amanda_Coetzer_,853,1450
Amber_Tamblyn_,502,1072
Amelia_Vega_,270,672
Amelie_Mauresmo_,216,568
Amer_al-Saadi_,134,377
Amram_Mitzna_,388,893
Ana_Guevara_,732,1345
Ana_Palacio_,210,559
Anastasia_Myskina_,700,1315
Anders_Ebbeson_,673,1288
Anders_Fogh_Rasmussen_,1543,1677
Andre_Agassi_,6,17
Andrei_Mikhnevich_,277,687
Andrew_Bunner_,151,416
Andrew_Cuomo_,167,458
Andrew_Niccol_,28,81
Andrew_Weissmann_,775,1393
Andy_Hebb_,19,54
Andy_Roddick_,228,586
Angela_Bassett_,757,1374
Angela_Lansbury_,7,19
Angela_Merkel_,40,117
Angelina_Jolie_,460,1010
Angelo_Reyes_,517,1090
Anibal_Ibarra_,919,1496
Ann_Veneman_,168,461
Anna_Kournikova_,363,847
Anna_Nicole_Smith_,513,1086
Anne_Krueger_,19,55
Anne_McLellan_,645,1252
