Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,503,1037
Aaron_Sorkin_,1080,1567
Abdel_Nasser_Assidi_,59,169
Abdoulaye_Wade_,1030,1532
Abdullah_,574,1139
Abdullah_Gul_,292,689
Abdullah_al-Attiyah_,1228,1611
Abdullatif_Sener_,192,510
Abel_Pacheco_,1068,1558
Abid_Hamid_Mahmud_Al-Tikriti_,136,372
Adam_Sandler_,871,1428
Adam_Scott_,1,1
Adel_Al-Jubeir_,984,1502
Adolfo_Aguilar_Zinser_,482,1007
Adolfo_Rodriguez_Saa_,163,445
Adrian_McPherson_,951,1484
Adrian_Nastase_,269,659
Adrien_Brody_,178,482
Ahmad_Masood_,442,944
Ahmed_Chalabi_,397,870
Ahmet_Necdet_Sezer_,2,4
Ai_Sugiyama_,775,1341
Aicha_El_Ouafi_,1084,1570
Aitor_Gonzalez_,3,7
Akbar_Hashemi_Rafsanjani_,534,1083
Akhmed_Zakayev_,298,699
Al_Davis_,906,1452
Al_Gore_,880,1435
Al_Pacino_,667,1248
Al_Sharpton_,372,830
Alan_Ball_,4,10
Alan_Greenspan_,429,927
Alan_Mulally_,5,13
Alastair_Campbell_,250,627
Albert_Costa_,335,761
Alberto_Fujimori_,856,1417
Alberto_Ruiz_Gallardon_,260,645
Albrecht_Mentz_,503,1038
Aldo_Paredes_,452,962
Alec_Baldwin_,163,446
Alejandro_Atchugarry_,107,303
Alejandro_Avila_,6,16
Alejandro_Toledo_,347,783
Aleksander_Kwasniewski_,531,1080
Alex_Barros_,323,740
Alex_Penelas_,111,314
Alex_Sink_,7,19
Alexander_Downer_,10,28
Alexander_Losyukov_,208,544
Alexander_Rumyantsev_,414,902
Alexandra_Stevenson_,744,1322
Alexandra_Vodjanikova_,22,63
Ali_Abbas_,369,827
Ali_Khamenei_,1008,1520
Ali_Naimi_,422,916
Alice_Fisher_,445,948
Alicia_Silverstone_,945,1478
Alimzhan_Tokhtakhounov_,931,1466
Alison_Lohman_,306,706
Allen_Iverson_,1278,1626
Allison_Janney_,8,22
Allyson_Felix_,1271,1624
Alvaro_Noboa_,9,25
Alvaro_Silva_Calderon_,171,465
Alvaro_Uribe_,512,1050
Amanda_Beard_,10,29
Amanda_Bynes_,196,520
Amanda_Coetzer_,11,31
Amber_Tamblyn_,359,806
Amelia_Vega_,3,8
Amelie_Mauresmo_,1040,1542
Amer_al-Saadi_,83,238
Amram_Mitzna_,812,1379
Ana_Guevara_,1010,1522
Ana_Palacio_,3,9
Anastasia_Myskina_,672,1255
Anders_Ebbeson_,455,967
Anders_Fogh_Rasmussen_,542,1096
Andre_Agassi_,678,1262
Andrei_Mikhnevich_,12,34
Andrew_Bunner_,13,37
Andrew_Cuomo_,176,478
Andrew_Niccol_,906,1453
Andrew_Weissmann_,801,1367
Andy_Hebb_,377,843
Andy_Roddick_,968,1492
Angela_Bassett_,663,1243
Angela_Lansbury_,60,172
Angela_Merkel_,45,130
Angelina_Jolie_,84,241
Angelo_Reyes_,1085,1571
Anibal_Ibarra_,825,1391
Ann_Veneman_,123,347
Anna_Kournikova_,400,877
Anna_Nicole_Smith_,141,385
Anne_Krueger_,506,1041
