Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.273,572
Aaron_Sorkin_,134.495,1093
Abdel_Nasser_Assidi_,173.087,1648
Abdoulaye_Wade_,177.809,1663
Abdullah_,160.612,1581
Abdullah_Gul_,106.012,306
Abdullah_al-Attiyah_,139.394,1228
Abdullatif_Sener_,131.019,985
Abel_Pacheco_,138.139,1194
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1659
Adam_Sandler_,115.314,524
Adam_Scott_,160.235,1578
Adel_Al-Jubeir_,148.604,1432
Adolfo_Aguilar_Zinser_,135.512,1118
Adolfo_Rodriguez_Saa_,90.6166,87
Adrian_McPherson_,196.33,1679
Adrian_Nastase_,136.945,1154
Adrien_Brody_,110.812,399
Ahmad_Masood_,149.198,1438
Ahmed_Chalabi_,111.083,405
Ahmet_Necdet_Sezer_,135.093,1103
Ai_Sugiyama_,135.275,1110
Aicha_El_Ouafi_,122.057,696
Aitor_Gonzalez_,174.412,1655
Akbar_Hashemi_Rafsanjani_,118.585,601
Akhmed_Zakayev_,128.844,917
Al_Davis_,149.332,1442
Al_Gore_,139.247,1225
Al_Pacino_,136.66,1148
Al_Sharpton_,144.187,1345
Alan_Ball_,123.329,738
Alan_Greenspan_,139.922,1243
Alan_Mulally_,110.248,386
Alastair_Campbell_,129.295,938
Albert_Costa_,168.735,1631
Alberto_Fujimori_,127.421,866
Alberto_Ruiz_Gallardon_,129.841,954
Albrecht_Mentz_,117.683,584
Aldo_Paredes_,113.545,475
Alec_Baldwin_,136.258,1139
Alejandro_Atchugarry_,120.335,652
Alejandro_Avila_,148.375,1427
Alejandro_Toledo_,130.81,980
Aleksander_Kwasniewski_,138.488,1211
Alex_Barros_,109.278,370
Alex_Penelas_,106.843,322
Alex_Sink_,138.287,1202
Alexander_Downer_,105.954,303
Alexander_Losyukov_,140.562,1267
Alexander_Rumyantsev_,112.058,431
Alexandra_Stevenson_,160.321,1579
Alexandra_Vodjanikova_,154.614,1513
Ali_Abbas_,91.1928,94
Ali_Khamenei_,131.922,1010
Ali_Naimi_,112.319,439
Alice_Fisher_,139.586,1233
Alicia_Silverstone_,129.918,956
Alimzhan_Tokhtakhounov_,117.433,578
Alison_Lohman_,114.426,498
Allen_Iverson_,142.212,1309
Allison_Janney_,131.429,994
Allyson_Felix_,173.746,1650
Alvaro_Noboa_,111.073,404
Alvaro_Silva_Calderon_,126.794,846
Alvaro_Uribe_,137.378,1168
Amanda_Beard_,116.511,550
Amanda_Bynes_,141.618,1298
Amanda_Coetzer_,124.804,786
Amber_Tamblyn_,131.553,998
Amelia_Vega_,104.657,272
Amelie_Mauresmo_,145.081,1355
Amer_al-Saadi_,114.064,490
Amram_Mitzna_,126.966,851
Ana_Guevara_,177.763,1662
Ana_Palacio_,118.321,595
Anastasia_Myskina_,156.063,1531
Anders_Ebbeson_,162.856,1595
Anders_Fogh_Rasmussen_,124.88,789
Andre_Agassi_,150.55,1455
Andrei_Mikhnevich_,144.292,1347
Andrew_Bunner_,111.792,424
Andrew_Cuomo_,98.5976,178
Andrew_Niccol_,128.954,922
Andrew_Weissmann_,160.888,1584
Andy_Hebb_,81.6457,35
