Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,309,758
Aaron_Sorkin_,327,796
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,485,1037
Abdullah_,422,945
Abdullah_Gul_,279,696
Abdullah_al-Attiyah_,1051,1583
Abdullatif_Sener_,627,1218
Abel_Pacheco_,913,1489
Abid_Hamid_Mahmud_Al-Tikriti_,1416,1673
Adam_Sandler_,470,1021
Adam_Scott_,698,1300
Adel_Al-Jubeir_,694,1293
Adolfo_Aguilar_Zinser_,758,1362
Adolfo_Rodriguez_Saa_,1225,1643
Adrian_McPherson_,948,1520
Adrian_Nastase_,192,505
Adrien_Brody_,572,1158
Ahmad_Masood_,509,1070
Ahmed_Chalabi_,371,873
Ahmet_Necdet_Sezer_,180,481
Ai_Sugiyama_,524,1088
Aicha_El_Ouafi_,404,923
Aitor_Gonzalez_,965,1531
Akbar_Hashemi_Rafsanjani_,231,592
Akhmed_Zakayev_,212,551
Al_Davis_,616,1208
Al_Gore_,214,555
Al_Pacino_,83,239
Al_Sharpton_,681,1279
Alan_Ball_,299,740
Alan_Greenspan_,1099,1602
Alan_Mulally_,10,28
Alastair_Campbell_,306,751
Albert_Costa_,579,1166
Alberto_Fujimori_,841,1428
Alberto_Ruiz_Gallardon_,2,4
Albrecht_Mentz_,849,1439
Aldo_Paredes_,3,7
Alec_Baldwin_,4,10
Alejandro_Atchugarry_,44,130
Alejandro_Avila_,23,67
Alejandro_Toledo_,436,968
Aleksander_Kwasniewski_,380,890
Alex_Barros_,337,814
Alex_Penelas_,127,354
Alex_Sink_,561,1141
Alexander_Downer_,275,689
Alexander_Losyukov_,252,635
Alexander_Rumyantsev_,5,13
Alexandra_Stevenson_,635,1228
Alexandra_Vodjanikova_,891,1473
Ali_Abbas_,347,832
Ali_Khamenei_,145,397
Ali_Naimi_,273,684
Alice_Fisher_,825,1414
Alicia_Silverstone_,936,1511
Alimzhan_Tokhtakhounov_,6,16
Alison_Lohman_,444,980
Allen_Iverson_,469,1018
Allison_Janney_,563,1144
Allyson_Felix_,318,777
Alvaro_Noboa_,658,1253
Alvaro_Silva_Calderon_,1001,1558
Alvaro_Uribe_,486,1039
Amanda_Beard_,99,281
Amanda_Bynes_,45,133
Amanda_Coetzer_,451,989
Amber_Tamblyn_,336,812
Amelia_Vega_,247,626
Amelie_Mauresmo_,951,1523
Amer_al-Saadi_,312,764
Amram_Mitzna_,72,210
Ana_Guevara_,108,304
Ana_Palacio_,195,513
Anastasia_Myskina_,1407,1672
Anders_Ebbeson_,1177,1629
Anders_Fogh_Rasmussen_,929,1506
Andre_Agassi_,314,769
Andrei_Mikhnevich_,245,620
Andrew_Bunner_,384,894
Andrew_Cuomo_,156,426
Andrew_Niccol_,65,190
Andrew_Weissmann_,42,124
Andy_Hebb_,354,845
Andy_Roddick_,560,1139
Angela_Bassett_,1009,1561
Angela_Lansbury_,17,49
Angela_Merkel_,35,103
Angelina_Jolie_,417,938
Angelo_Reyes_,1092,1599
Anibal_Ibarra_,259,654
Ann_Veneman_,198,520
Anna_Kournikova_,668,1260
Anna_Nicole_Smith_,445,982
Anne_Krueger_,676,1273
