Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.286,546
Aaron_Sorkin_,134.502,1071
Abdel_Nasser_Assidi_,173.091,1645
Abdoulaye_Wade_,195.733,1677
Abdullah_,139.142,1201
Abdullah_Gul_,116.05,521
Abdullah_al-Attiyah_,163.384,1591
Abdullatif_Sener_,131.035,966
Abel_Pacheco_,137.034,1133
Abid_Hamid_Mahmud_Al-Tikriti_,177.24,1658
Adam_Sandler_,115.316,504
Adam_Scott_,160.236,1571
Adel_Al-Jubeir_,148.605,1402
Adolfo_Aguilar_Zinser_,135.528,1103
Adolfo_Rodriguez_Saa_,90.6279,76
Adrian_McPherson_,196.334,1679
Adrian_Nastase_,141.575,1261
Adrien_Brody_,110.835,389
Ahmad_Masood_,126.418,811
Ahmed_Chalabi_,111.1,394
Ahmet_Necdet_Sezer_,129.487,917
Ai_Sugiyama_,136.17,1117
Aicha_El_Ouafi_,122.074,676
Aitor_Gonzalez_,170.289,1636
Akbar_Hashemi_Rafsanjani_,103.616,248
Akhmed_Zakayev_,115.153,498
Al_Davis_,149.344,1412
Al_Gore_,139.251,1202
Al_Pacino_,122.298,681
Al_Sharpton_,164.901,1604
Alan_Ball_,123.35,714
Alan_Greenspan_,139.927,1217
Alan_Mulally_,128.882,894
Alastair_Campbell_,129.317,910
Albert_Costa_,168.744,1628
Alberto_Fujimori_,127.436,847
Alberto_Ruiz_Gallardon_,106.315,297
Albrecht_Mentz_,117.701,562
Aldo_Paredes_,113.556,451
Alec_Baldwin_,136.282,1118
Alejandro_Atchugarry_,120.515,639
Alejandro_Avila_,160.753,1572
Alejandro_Toledo_,130.837,958
Aleksander_Kwasniewski_,138.496,1181
Alex_Barros_,109.313,359
Alex_Penelas_,106.858,309
Alex_Sink_,118.601,583
Alexander_Downer_,98.3908,169
Alexander_Losyukov_,112.954,437
Alexander_Rumyantsev_,112.078,413
Alexandra_Stevenson_,103.048,232
Alexandra_Vodjanikova_,154.618,1505
Ali_Abbas_,109.486,369
Ali_Khamenei_,138.266,1172
Ali_Naimi_,112.339,419
Alice_Fisher_,141.149,1249
Alicia_Silverstone_,129.929,933
Alimzhan_Tokhtakhounov_,117.465,554
Alison_Lohman_,106.477,302
Allen_Iverson_,142.217,1278
Allison_Janney_,131.45,978
Allyson_Felix_,155.032,1510
Alvaro_Noboa_,125.621,792
Alvaro_Silva_Calderon_,131.951,993
Alvaro_Uribe_,99.7909,183
Amanda_Beard_,116.523,533
Amanda_Bynes_,111.839,408
Amanda_Coetzer_,124.807,768
Amber_Tamblyn_,109.011,354
Amelia_Vega_,104.664,264
Amelie_Mauresmo_,145.097,1333
Amer_al-Saadi_,114.08,468
Amram_Mitzna_,126.977,828
Ana_Guevara_,131.961,994
Ana_Palacio_,101.294,205
Anastasia_Myskina_,121.903,674
Anders_Ebbeson_,151.77,1454
Anders_Fogh_Rasmussen_,129.809,929
Andre_Agassi_,124.811,769
Andrei_Mikhnevich_,132.045,997
Andrew_Bunner_,121.111,653
Andrew_Cuomo_,98.6111,171
Andrew_Niccol_,128.973,898
Andrew_Weissmann_,147.848,1383
Andy_Hebb_,110.051,379
Andy_Roddick_,131.043,967
