Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.268,559
Aaron_Sorkin_,134.492,1089
Abdel_Nasser_Assidi_,158.798,1561
Abdoulaye_Wade_,196.949,1679
Abdullah_,139.136,1207
Abdullah_Gul_,106.005,296
Abdullah_al-Attiyah_,145.205,1351
Abdullatif_Sener_,131.013,990
Abel_Pacheco_,135.92,1131
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1660
Adam_Sandler_,133.491,1065
Adam_Scott_,160.234,1581
Adel_Al-Jubeir_,168.608,1631
Adolfo_Aguilar_Zinser_,135.506,1115
Adolfo_Rodriguez_Saa_,139.597,1214
Adrian_McPherson_,196.328,1678
Adrian_Nastase_,136.945,1149
Adrien_Brody_,110.804,389
Ahmad_Masood_,149.196,1421
Ahmed_Chalabi_,111.077,397
Ahmet_Necdet_Sezer_,129.476,948
Ai_Sugiyama_,130.542,975
Aicha_El_Ouafi_,130.81,985
Aitor_Gonzalez_,174.41,1653
Akbar_Hashemi_Rafsanjani_,118.581,590
Akhmed_Zakayev_,128.839,916
Al_Davis_,149.326,1424
Al_Gore_,82.9711,35
Al_Pacino_,122.283,692
Al_Sharpton_,144.182,1333
Alan_Ball_,123.6,733
Alan_Greenspan_,127.069,851
Alan_Mulally_,128.859,917
Alastair_Campbell_,129.286,939
Albert_Costa_,168.731,1633
Alberto_Fujimori_,127.416,862
Alberto_Ruiz_Gallardon_,106.27,301
Albrecht_Mentz_,128.807,912
Aldo_Paredes_,148.927,1418
Alec_Baldwin_,136.251,1137
Alejandro_Atchugarry_,120.506,640
Alejandro_Avila_,160.744,1584
Alejandro_Toledo_,130.8,984
Aleksander_Kwasniewski_,116.641,543
Alex_Barros_,109.262,361
Alex_Penelas_,93.8865,111
Alex_Sink_,118.573,589
Alexander_Downer_,98.3828,168
Alexander_Losyukov_,112.931,444
Alexander_Rumyantsev_,112.05,418
Alexandra_Stevenson_,160.315,1583
Alexandra_Vodjanikova_,154.612,1503
Ali_Abbas_,109.47,369
Ali_Khamenei_,138.238,1184
Ali_Naimi_,112.31,427
Alice_Fisher_,141.132,1267
Alicia_Silverstone_,159.509,1571
Alimzhan_Tokhtakhounov_,117.421,562
Alison_Lohman_,106.457,306
Allen_Iverson_,142.21,1291
Allison_Janney_,131.42,1002
Allyson_Felix_,173.744,1650
Alvaro_Noboa_,125.615,807
Alvaro_Silva_Calderon_,106.669,310
Alvaro_Uribe_,115.824,522
Amanda_Beard_,116.507,542
Amanda_Bynes_,87.4924,57
Amanda_Coetzer_,124.802,779
Amber_Tamblyn_,109.003,358
Amelia_Vega_,161.184,1589
Amelie_Mauresmo_,145.074,1348
Amer_al-Saadi_,114.058,472
Amram_Mitzna_,126.962,847
Ana_Guevara_,177.762,1661
Ana_Palacio_,101.268,213
Anastasia_Myskina_,144.252,1335
Anders_Ebbeson_,162.854,1597
Anders_Fogh_Rasmussen_,166.937,1624
Andre_Agassi_,124.796,778
Andrei_Mikhnevich_,132.015,1025
Andrew_Bunner_,111.784,410
Andrew_Cuomo_,119.436,616
Andrew_Niccol_,128.946,922
Andrew_Weissmann_,160.885,1585
Andy_Hebb_,110.027,378
