Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,549,1088
Aaron_Sorkin_,986,1516
Abdel_Nasser_Assidi_,79,228
Abdoulaye_Wade_,1381,1661
Abdullah_,213,542
Abdullah_Gul_,292,688
Abdullah_al-Attiyah_,1220,1625
Abdullatif_Sener_,973,1509
Abel_Pacheco_,1124,1587
Abid_Hamid_Mahmud_Al-Tikriti_,539,1076
Adam_Sandler_,502,1028
Adam_Scott_,1518,1671
Adel_Al-Jubeir_,490,1013
Adolfo_Aguilar_Zinser_,150,409
Adolfo_Rodriguez_Saa_,75,218
Adrian_McPherson_,600,1160
Adrian_Nastase_,31,89
Adrien_Brody_,390,863
Ahmad_Masood_,435,930
Ahmed_Chalabi_,396,873
Ahmet_Necdet_Sezer_,917,1470
Ai_Sugiyama_,850,1409
Aicha_El_Ouafi_,375,837
Aitor_Gonzalez_,1096,1579
Akbar_Hashemi_Rafsanjani_,238,589
Akhmed_Zakayev_,386,857
Al_Davis_,330,758
Al_Gore_,629,1204
Al_Pacino_,245,602
Al_Sharpton_,142,389
Alan_Ball_,573,1126
Alan_Greenspan_,579,1135
Alan_Mulally_,379,845
Alastair_Campbell_,910,1465
Albert_Costa_,447,951
Alberto_Fujimori_,843,1403
Alberto_Ruiz_Gallardon_,301,704
Albrecht_Mentz_,415,905
Aldo_Paredes_,459,975
Alec_Baldwin_,390,864
Alejandro_Atchugarry_,50,146
Alejandro_Avila_,493,1016
Alejandro_Toledo_,388,861
Aleksander_Kwasniewski_,1196,1616
Alex_Barros_,178,465
Alex_Penelas_,311,723
Alex_Sink_,1165,1606
Alexander_Downer_,41,119
Alexander_Losyukov_,796,1368
Alexander_Rumyantsev_,154,418
Alexandra_Stevenson_,515,1039
Alexandra_Vodjanikova_,2,4
Ali_Abbas_,83,240
Ali_Khamenei_,1004,1530
Ali_Naimi_,422,914
Alice_Fisher_,410,895
Alicia_Silverstone_,933,1482
Alimzhan_Tokhtakhounov_,1,1
Alison_Lohman_,477,997
Allen_Iverson_,1296,1645
Allison_Janney_,696,1275
Allyson_Felix_,731,1307
Alvaro_Noboa_,318,736
Alvaro_Silva_Calderon_,373,832
Alvaro_Uribe_,224,560
Amanda_Beard_,440,937
Amanda_Bynes_,55,160
Amanda_Coetzer_,617,1178
Amber_Tamblyn_,352,802
Amelia_Vega_,190,493
Amelie_Mauresmo_,1356,1657
Amer_al-Saadi_,473,995
Amram_Mitzna_,809,1377
Ana_Guevara_,707,1287
Ana_Palacio_,164,436
Anastasia_Myskina_,1353,1656
Anders_Ebbeson_,154,419
Anders_Fogh_Rasmussen_,117,328
Andre_Agassi_,758,1336
Andrei_Mikhnevich_,927,1477
Andrew_Bunner_,654,1239
Andrew_Cuomo_,606,1166
Andrew_Niccol_,896,1454
Andrew_Weissmann_,213,543
Andy_Hebb_,374,834
Andy_Roddick_,585,1143
Angela_Bassett_,282,670
Angela_Lansbury_,494,1018
Angela_Merkel_,130,360
Angelina_Jolie_,454,964
Angelo_Reyes_,610,1168
Anibal_Ibarra_,296,696
Ann_Veneman_,207,527
Anna_Kournikova_,1013,1538
Anna_Nicole_Smith_,51,149
Anne_Krueger_,2,5
