Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,148,399
Aaron_Sorkin_,843,1403
Abdel_Nasser_Assidi_,291,685
Abdoulaye_Wade_,1236,1620
Abdullah_,18,52
Abdullah_Gul_,320,740
Abdullah_al-Attiyah_,1100,1561
Abdullatif_Sener_,939,1480
Abel_Pacheco_,198,499
Abid_Hamid_Mahmud_Al-Tikriti_,141,384
Adam_Sandler_,28,82
Adam_Scott_,855,1412
Adel_Al-Jubeir_,1130,1573
Adolfo_Aguilar_Zinser_,796,1376
Adolfo_Rodriguez_Saa_,100,279
Adrian_McPherson_,1229,1618
Adrian_Nastase_,1122,1567
Adrien_Brody_,414,896
Ahmad_Masood_,1177,1592
Ahmed_Chalabi_,422,908
Ahmet_Necdet_Sezer_,50,146
Ai_Sugiyama_,604,1171
Aicha_El_Ouafi_,246,596
Aitor_Gonzalez_,871,1428
Akbar_Hashemi_Rafsanjani_,264,625
Akhmed_Zakayev_,504,1036
Al_Davis_,1273,1635
Al_Gore_,223,558
Al_Pacino_,16,46
Al_Sharpton_,444,944
Alan_Ball_,701,1279
Alan_Greenspan_,217,545
Alan_Mulally_,788,1364
Alastair_Campbell_,953,1493
Albert_Costa_,400,874
Alberto_Fujimori_,884,1437
Alberto_Ruiz_Gallardon_,127,354
Albrecht_Mentz_,411,893
Aldo_Paredes_,339,767
Alec_Baldwin_,1130,1574
Alejandro_Atchugarry_,669,1248
Alejandro_Avila_,775,1353
Alejandro_Toledo_,576,1143
Aleksander_Kwasniewski_,155,414
Alex_Barros_,387,856
Alex_Penelas_,140,382
Alex_Sink_,731,1312
Alexander_Downer_,212,532
Alexander_Losyukov_,463,979
Alexander_Rumyantsev_,438,933
Alexandra_Stevenson_,1,1
Alexandra_Vodjanikova_,1080,1550
Ali_Abbas_,391,860
Ali_Khamenei_,485,1005
Ali_Naimi_,387,857
Alice_Fisher_,2,4
Alicia_Silverstone_,650,1230
Alimzhan_Tokhtakhounov_,146,396
Alison_Lohman_,500,1028
Allen_Iverson_,277,654
Allison_Janney_,173,449
Allyson_Felix_,989,1510
Alvaro_Noboa_,421,906
Alvaro_Silva_Calderon_,558,1120
Alvaro_Uribe_,544,1094
Amanda_Beard_,560,1126
Amanda_Bynes_,68,194
Amanda_Coetzer_,3,7
Amber_Tamblyn_,169,440
Amelia_Vega_,124,347
Amelie_Mauresmo_,1012,1522
Amer_al-Saadi_,489,1014
Amram_Mitzna_,216,543
Ana_Guevara_,77,217
Ana_Palacio_,173,450
Anastasia_Myskina_,4,10
Anders_Ebbeson_,333,759
Anders_Fogh_Rasmussen_,1579,1677
Andre_Agassi_,1119,1565
Andrei_Mikhnevich_,506,1039
Andrew_Bunner_,432,925
Andrew_Cuomo_,63,180
Andrew_Niccol_,96,268
Andrew_Weissmann_,652,1233
Andy_Hebb_,41,120
Andy_Roddick_,340,769
Angela_Bassett_,536,1083
Angela_Lansbury_,159,421
Angela_Merkel_,303,713
Angelina_Jolie_,166,434
Angelo_Reyes_,122,341
Anibal_Ibarra_,196,494
Ann_Veneman_,233,573
Anna_Kournikova_,1303,1641
Anna_Nicole_Smith_,588,1155
Anne_Krueger_,5,13
