Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.283,561
Aaron_Sorkin_,134.501,1087
Abdel_Nasser_Assidi_,173.09,1642
Abdoulaye_Wade_,177.816,1658
Abdullah_,139.141,1212
Abdullah_Gul_,116.044,530
Abdullah_al-Attiyah_,163.381,1590
Abdullatif_Sener_,124.882,778
Abel_Pacheco_,124.726,771
Abid_Hamid_Mahmud_Al-Tikriti_,116.789,546
Adam_Sandler_,115.315,508
Adam_Scott_,160.236,1567
Adel_Al-Jubeir_,148.605,1408
Adolfo_Aguilar_Zinser_,135.525,1121
Adolfo_Rodriguez_Saa_,139.62,1224
Adrian_McPherson_,196.333,1679
Adrian_Nastase_,136.947,1153
Adrien_Brody_,124.416,762
Ahmad_Masood_,126.415,829
Ahmed_Chalabi_,110.74,392
Ahmet_Necdet_Sezer_,135.103,1107
Ai_Sugiyama_,135.278,1112
Aicha_El_Ouafi_,130.815,987
Aitor_Gonzalez_,174.415,1645
Akbar_Hashemi_Rafsanjani_,103.615,251
Akhmed_Zakayev_,125.159,787
Al_Davis_,149.34,1420
Al_Gore_,139.25,1215
Al_Pacino_,136.661,1147
Al_Sharpton_,144.197,1335
Alan_Ball_,123.347,726
Alan_Greenspan_,139.925,1233
Alan_Mulally_,128.879,923
Alastair_Campbell_,129.313,941
Albert_Costa_,168.743,1626
Alberto_Fujimori_,127.433,873
Alberto_Ruiz_Gallardon_,106.312,306
Albrecht_Mentz_,117.697,570
Aldo_Paredes_,148.937,1413
Alec_Baldwin_,136.282,1138
Alejandro_Atchugarry_,120.347,646
Alejandro_Avila_,160.751,1570
Alejandro_Toledo_,94.0888,109
Aleksander_Kwasniewski_,138.494,1192
Alex_Barros_,146.777,1379
Alex_Penelas_,106.854,317
Alex_Sink_,118.597,591
Alexander_Downer_,98.3898,167
Alexander_Losyukov_,112.951,447
Alexander_Rumyantsev_,105.975,296
Alexandra_Stevenson_,160.329,1568
Alexandra_Vodjanikova_,154.618,1502
Ali_Abbas_,109.483,372
Ali_Khamenei_,131.936,1018
Ali_Naimi_,112.335,430
Alice_Fisher_,141.146,1266
Alicia_Silverstone_,129.928,962
Alimzhan_Tokhtakhounov_,129.625,951
Alison_Lohman_,114.438,483
Allen_Iverson_,151.966,1455
Allison_Janney_,131.448,1004
Allyson_Felix_,173.752,1643
Alvaro_Noboa_,111.09,399
Alvaro_Silva_Calderon_,131.949,1019
Alvaro_Uribe_,115.86,523
Amanda_Beard_,116.521,542
Amanda_Bynes_,87.519,62
Amanda_Coetzer_,124.807,776
Amber_Tamblyn_,131.554,1007
Amelia_Vega_,104.663,268
Amelie_Mauresmo_,145.094,1348
Amer_al-Saadi_,114.075,476
Amram_Mitzna_,126.975,851
Ana_Guevara_,177.764,1657
Ana_Palacio_,118.323,585
Anastasia_Myskina_,156.071,1524
Anders_Ebbeson_,162.859,1585
Anders_Fogh_Rasmussen_,124.884,779
Andre_Agassi_,124.81,777
Andrei_Mikhnevich_,132.038,1023
Andrew_Bunner_,121.106,665
Andrew_Cuomo_,98.6086,170
Andrew_Niccol_,128.968,928
Andrew_Weissmann_,160.892,1573
Andy_Hebb_,110.047,380
