Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,565,1164
Aaron_Sorkin_,461,1023
Abdel_Nasser_Assidi_,372,873
Abdoulaye_Wade_,1066,1564
Abdullah_,859,1457
Abdullah_Gul_,444,991
Abdullah_al-Attiyah_,829,1435
Abdullatif_Sener_,1003,1537
Abel_Pacheco_,792,1402
Abid_Hamid_Mahmud_Al-Tikriti_,557,1154
Adam_Sandler_,69,197
Adam_Scott_,377,882
Adel_Al-Jubeir_,432,971
Adolfo_Aguilar_Zinser_,237,624
Adolfo_Rodriguez_Saa_,956,1509
Adrian_McPherson_,1356,1661
Adrian_Nastase_,1169,1602
Adrien_Brody_,398,915
Ahmad_Masood_,606,1217
Ahmed_Chalabi_,406,929
Ahmet_Necdet_Sezer_,489,1062
Ai_Sugiyama_,988,1529
Aicha_El_Ouafi_,228,604
Aitor_Gonzalez_,631,1247
Akbar_Hashemi_Rafsanjani_,249,648
Akhmed_Zakayev_,881,1469
Al_Davis_,1236,1623
Al_Gore_,42,122
Al_Pacino_,22,64
Al_Sharpton_,615,1231
Alan_Ball_,202,551
Alan_Greenspan_,763,1374
Alan_Mulally_,382,894
Alastair_Campbell_,253,657
Albert_Costa_,821,1429
Alberto_Fujimori_,445,994
Alberto_Ruiz_Gallardon_,1,1
Albrecht_Mentz_,491,1067
Aldo_Paredes_,689,1313
Alec_Baldwin_,845,1447
Alejandro_Atchugarry_,170,472
Alejandro_Avila_,197,536
Alejandro_Toledo_,267,688
Aleksander_Kwasniewski_,145,406
Alex_Barros_,362,851
Alex_Penelas_,25,72
Alex_Sink_,602,1214
Alexander_Downer_,135,380
Alexander_Losyukov_,328,794
Alexander_Rumyantsev_,433,973
Alexandra_Stevenson_,812,1423
Alexandra_Vodjanikova_,1256,1632
Ali_Abbas_,370,869
Ali_Khamenei_,979,1525
Ali_Naimi_,65,186
Alice_Fisher_,2,4
Alicia_Silverstone_,275,704
Alimzhan_Tokhtakhounov_,119,336
Alison_Lohman_,263,679
Allen_Iverson_,3,7
Allison_Janney_,21,61
Allyson_Felix_,865,1463
Alvaro_Noboa_,822,1432
Alvaro_Silva_Calderon_,260,671
Alvaro_Uribe_,186,510
Amanda_Beard_,169,469
Amanda_Bynes_,66,189
Amanda_Coetzer_,692,1317
Amber_Tamblyn_,241,632
Amelia_Vega_,266,685
Amelie_Mauresmo_,1195,1608
Amer_al-Saadi_,487,1060
Amram_Mitzna_,556,1152
Ana_Guevara_,772,1384
Ana_Palacio_,180,496
Anastasia_Myskina_,700,1327
Anders_Ebbeson_,1281,1644
Anders_Fogh_Rasmussen_,1440,1672
Andre_Agassi_,934,1496
Andrei_Mikhnevich_,284,718
Andrew_Bunner_,422,955
Andrew_Cuomo_,33,95
Andrew_Niccol_,311,767
Andrew_Weissmann_,590,1198
Andy_Hebb_,40,116
Andy_Roddick_,625,1244
Angela_Bassett_,745,1363
Angela_Lansbury_,438,982
Angela_Merkel_,143,402
Angelina_Jolie_,248,646
Angelo_Reyes_,472,1040
Anibal_Ibarra_,124,351
Ann_Veneman_,249,649
Anna_Kournikova_,1204,1611
Anna_Nicole_Smith_,4,10
Anne_Krueger_,881,1470
