Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,136.699,1163
Aaron_Sorkin_,134.499,1099
Abdel_Nasser_Assidi_,158.803,1569
Abdoulaye_Wade_,177.814,1665
Abdullah_,139.14,1225
Abdullah_Gul_,142.058,1299
Abdullah_al-Attiyah_,139.4,1229
Abdullatif_Sener_,124.878,765
Abel_Pacheco_,135.923,1145
Abid_Hamid_Mahmud_Al-Tikriti_,177.24,1661
Adam_Sandler_,133.495,1070
Adam_Scott_,160.235,1586
Adel_Al-Jubeir_,148.605,1428
Adolfo_Aguilar_Zinser_,135.521,1133
Adolfo_Rodriguez_Saa_,90.6215,90
Adrian_McPherson_,155.077,1521
Adrian_Nastase_,141.569,1291
Adrien_Brody_,124.411,745
Ahmad_Masood_,149.2,1436
Ahmed_Chalabi_,111.089,409
Ahmet_Necdet_Sezer_,129.483,941
Ai_Sugiyama_,118.312,586
Aicha_El_Ouafi_,130.814,982
Aitor_Gonzalez_,174.414,1651
Akbar_Hashemi_Rafsanjani_,103.611,265
Akhmed_Zakayev_,128.85,917
Al_Davis_,149.34,1440
Al_Gore_,139.249,1227
Al_Pacino_,136.661,1162
Al_Sharpton_,132.547,1026
Alan_Ball_,123.338,713
Alan_Greenspan_,139.924,1242
Alan_Mulally_,110.258,389
Alastair_Campbell_,129.306,934
Albert_Costa_,168.739,1630
Alberto_Fujimori_,136.568,1160
Alberto_Ruiz_Gallardon_,106.296,315
Albrecht_Mentz_,128.809,915
Aldo_Paredes_,148.935,1432
Alec_Baldwin_,136.265,1151
Alejandro_Atchugarry_,120.511,643
Alejandro_Avila_,148.378,1425
Alejandro_Toledo_,130.822,983
Aleksander_Kwasniewski_,138.492,1211
Alex_Barros_,109.297,371
Alex_Penelas_,106.851,326
Alex_Sink_,118.59,590
Alexander_Downer_,98.3877,187
Alexander_Losyukov_,140.568,1264
Alexander_Rumyantsev_,112.068,426
Alexandra_Stevenson_,160.328,1587
Alexandra_Vodjanikova_,154.616,1515
Ali_Abbas_,109.48,375
Ali_Khamenei_,138.258,1206
Ali_Naimi_,112.33,434
Alice_Fisher_,141.144,1282
Alicia_Silverstone_,129.922,959
Alimzhan_Tokhtakhounov_,129.619,946
Alison_Lohman_,106.47,320
Allen_Iverson_,151.965,1481
Allison_Janney_,131.439,998
Allyson_Felix_,173.747,1649
Alvaro_Noboa_,111.088,408
Alvaro_Silva_Calderon_,126.813,838
Alvaro_Uribe_,115.844,528
Amanda_Beard_,116.516,542
Amanda_Bynes_,87.5116,60
Amanda_Coetzer_,140.54,1263
Amber_Tamblyn_,109.009,368
Amelia_Vega_,137.46,1180
Amelie_Mauresmo_,145.09,1368
Amer_al-Saadi_,114.072,482
Amram_Mitzna_,126.971,843
Ana_Guevara_,177.764,1664
Ana_Palacio_,101.285,230
Anastasia_Myskina_,156.068,1539
Anders_Ebbeson_,162.858,1602
Anders_Fogh_Rasmussen_,124.882,766
Andre_Agassi_,150.304,1449
Andrei_Mikhnevich_,144.298,1354
Andrew_Bunner_,111.802,422
Andrew_Cuomo_,98.6039,190
Andrew_Niccol_,128.965,922
Andrew_Weissmann_,160.891,1592
Andy_Hebb_,110.043,383
