Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,177,474
Aaron_Sorkin_,947,1511
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,378,874
Abdullah_,1213,1633
Abdullah_Gul_,286,697
Abdullah_al-Attiyah_,151,416
Abdullatif_Sener_,974,1533
Abel_Pacheco_,566,1152
Abid_Hamid_Mahmud_Al-Tikriti_,524,1095
Adam_Sandler_,490,1045
Adam_Scott_,2,4
Adel_Al-Jubeir_,348,813
Adolfo_Aguilar_Zinser_,1111,1606
Adolfo_Rodriguez_Saa_,80,229
Adrian_McPherson_,87,249
Adrian_Nastase_,761,1367
Adrien_Brody_,508,1072
Ahmad_Masood_,902,1482
Ahmed_Chalabi_,383,885
Ahmet_Necdet_Sezer_,406,920
Ai_Sugiyama_,748,1357
Aicha_El_Ouafi_,135,374
Aitor_Gonzalez_,1252,1645
Akbar_Hashemi_Rafsanjani_,243,613
Akhmed_Zakayev_,692,1306
Al_Davis_,549,1133
Al_Gore_,298,721
Al_Pacino_,189,504
Al_Sharpton_,668,1277
Alan_Ball_,168,455
Alan_Greenspan_,442,973
Alan_Mulally_,360,837
Alastair_Campbell_,188,501
Albert_Costa_,117,327
Alberto_Fujimori_,479,1032
Alberto_Ruiz_Gallardon_,291,706
Albrecht_Mentz_,540,1118
Aldo_Paredes_,441,971
Alec_Baldwin_,5,13
Alejandro_Atchugarry_,132,365
Alejandro_Avila_,197,523
Alejandro_Toledo_,467,1011
Aleksander_Kwasniewski_,11,31
Alex_Barros_,694,1307
Alex_Penelas_,302,729
Alex_Sink_,377,871
Alexander_Downer_,206,538
Alexander_Losyukov_,193,514
Alexander_Rumyantsev_,405,917
Alexandra_Stevenson_,232,592
Alexandra_Vodjanikova_,1434,1674
Ali_Abbas_,70,203
Ali_Khamenei_,472,1021
Ali_Naimi_,44,130
Alice_Fisher_,1225,1635
Alicia_Silverstone_,69,201
Alimzhan_Tokhtakhounov_,547,1127
Alison_Lohman_,465,1008
Allen_Iverson_,1031,1563
Allison_Janney_,155,425
Allyson_Felix_,36,106
Alvaro_Noboa_,384,887
Alvaro_Silva_Calderon_,3,7
Alvaro_Uribe_,177,475
Amanda_Beard_,317,756
Amanda_Bynes_,542,1119
Amanda_Coetzer_,573,1162
Amber_Tamblyn_,282,690
Amelia_Vega_,256,638
Amelie_Mauresmo_,684,1295
Amer_al-Saadi_,456,991
Amram_Mitzna_,238,603
Ana_Guevara_,436,965
Ana_Palacio_,206,539
Anastasia_Myskina_,1256,1647
Anders_Ebbeson_,23,67
Anders_Fogh_Rasmussen_,581,1172
Andre_Agassi_,292,709
Andrei_Mikhnevich_,569,1156
Andrew_Bunner_,399,910
Andrew_Cuomo_,168,456
Andrew_Niccol_,21,61
Andrew_Weissmann_,530,1103
Andy_Hebb_,364,844
Andy_Roddick_,728,1341
Angela_Bassett_,715,1326
Angela_Lansbury_,483,1037
Angela_Merkel_,45,133
Angelina_Jolie_,435,964
Angelo_Reyes_,208,544
Anibal_Ibarra_,691,1304
Ann_Veneman_,209,546
Anna_Kournikova_,1083,1595
Anna_Nicole_Smith_,467,1012
Anne_Krueger_,835,1432
