Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,30,88
Aaron_Sorkin_,149,415
Abdel_Nasser_Assidi_,626,1263
Abdoulaye_Wade_,1316,1653
Abdullah_,227,590
Abdullah_Gul_,276,701
Abdullah_al-Attiyah_,1026,1577
Abdullatif_Sener_,751,1386
Abel_Pacheco_,467,1056
Abid_Hamid_Mahmud_Al-Tikriti_,384,918
Adam_Sandler_,673,1314
Adam_Scott_,1358,1659
Adel_Al-Jubeir_,263,672
Adolfo_Aguilar_Zinser_,250,642
Adolfo_Rodriguez_Saa_,1,1
Adrian_McPherson_,2,4
Adrian_Nastase_,609,1236
Adrien_Brody_,377,907
Ahmad_Masood_,130,365
Ahmed_Chalabi_,204,541
Ahmet_Necdet_Sezer_,873,1488
Ai_Sugiyama_,286,722
Aicha_El_Ouafi_,272,693
Aitor_Gonzalez_,917,1520
Akbar_Hashemi_Rafsanjani_,235,610
Akhmed_Zakayev_,541,1150
Al_Davis_,3,7
Al_Gore_,653,1292
Al_Pacino_,504,1108
Al_Sharpton_,864,1477
Alan_Ball_,4,10
Alan_Greenspan_,195,521
Alan_Mulally_,270,689
Alastair_Campbell_,239,621
Albert_Costa_,214,559
Alberto_Fujimori_,644,1284
Alberto_Ruiz_Gallardon_,930,1529
Albrecht_Mentz_,880,1493
Aldo_Paredes_,450,1028
Alec_Baldwin_,425,992
Alejandro_Atchugarry_,631,1273
Alejandro_Avila_,186,498
Alejandro_Toledo_,475,1068
Aleksander_Kwasniewski_,529,1133
Alex_Barros_,346,845
Alex_Penelas_,95,273
Alex_Sink_,5,13
Alexander_Downer_,149,416
Alexander_Losyukov_,44,128
Alexander_Rumyantsev_,407,957
Alexandra_Stevenson_,301,755
Alexandra_Vodjanikova_,282,712
Ali_Abbas_,76,218
Ali_Khamenei_,369,889
Ali_Naimi_,414,971
Alice_Fisher_,6,16
Alicia_Silverstone_,707,1353
Alimzhan_Tokhtakhounov_,7,19
Alison_Lohman_,471,1063
Allen_Iverson_,1239,1644
Allison_Janney_,972,1551
Allyson_Felix_,328,813
Alvaro_Noboa_,773,1399
Alvaro_Silva_Calderon_,570,1183
Alvaro_Uribe_,513,1116
Amanda_Beard_,109,310
Amanda_Bynes_,48,140
Amanda_Coetzer_,567,1180
Amber_Tamblyn_,339,834
Amelia_Vega_,252,647
Amelie_Mauresmo_,374,900
Amer_al-Saadi_,462,1047
Amram_Mitzna_,8,22
Ana_Guevara_,978,1556
Ana_Palacio_,197,526
Anastasia_Myskina_,1204,1636
Anders_Ebbeson_,820,1444
Anders_Fogh_Rasmussen_,850,1463
Andre_Agassi_,269,687
Andrei_Mikhnevich_,205,542
Andrew_Bunner_,267,681
Andrew_Cuomo_,152,423
Andrew_Niccol_,180,484
Andrew_Weissmann_,206,544
Andy_Hebb_,25,73
Andy_Roddick_,965,1548
Angela_Bassett_,779,1405
Angela_Lansbury_,18,52
Angela_Merkel_,38,111
Angelina_Jolie_,440,1012
Angelo_Reyes_,1244,1645
Anibal_Ibarra_,728,1373
Ann_Veneman_,199,530
Anna_Kournikova_,78,224
Anna_Nicole_Smith_,474,1065
Anne_Krueger_,733,1375
