Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,794,1416
Aaron_Sorkin_,1063,1585
Abdel_Nasser_Assidi_,980,1538
Abdoulaye_Wade_,812,1429
Abdullah_,82,233
Abdullah_Gul_,281,690
Abdullah_al-Attiyah_,170,463
Abdullatif_Sener_,949,1522
Abel_Pacheco_,832,1449
Abid_Hamid_Mahmud_Al-Tikriti_,1105,1603
Adam_Sandler_,873,1472
Adam_Scott_,764,1391
Adel_Al-Jubeir_,681,1297
Adolfo_Aguilar_Zinser_,1323,1662
Adolfo_Rodriguez_Saa_,356,830
Adrian_McPherson_,702,1325
Adrian_Nastase_,95,268
Adrien_Brody_,368,853
Ahmad_Masood_,491,1045
Ahmed_Chalabi_,47,138
Ahmet_Necdet_Sezer_,921,1507
Ai_Sugiyama_,59,170
Aicha_El_Ouafi_,304,737
Aitor_Gonzalez_,1238,1645
Akbar_Hashemi_Rafsanjani_,480,1029
Akhmed_Zakayev_,276,679
Al_Davis_,74,211
Al_Gore_,33,96
Al_Pacino_,654,1269
Al_Sharpton_,384,883
Alan_Ball_,1,1
Alan_Greenspan_,85,242
Alan_Mulally_,358,834
Alastair_Campbell_,913,1502
Albert_Costa_,544,1128
Alberto_Fujimori_,2,4
Alberto_Ruiz_Gallardon_,3,7
Albrecht_Mentz_,552,1136
Aldo_Paredes_,67,192
Alec_Baldwin_,241,609
Alejandro_Atchugarry_,341,807
Alejandro_Avila_,288,701
Alejandro_Toledo_,685,1302
Aleksander_Kwasniewski_,183,493
Alex_Barros_,339,804
Alex_Penelas_,114,321
Alex_Sink_,1276,1651
Alexander_Downer_,278,684
Alexander_Losyukov_,217,561
Alexander_Rumyantsev_,279,687
Alexandra_Stevenson_,199,527
Alexandra_Vodjanikova_,464,1006
Ali_Abbas_,4,10
Ali_Khamenei_,528,1103
Ali_Naimi_,403,913
Alice_Fisher_,810,1428
Alicia_Silverstone_,937,1516
Alimzhan_Tokhtakhounov_,544,1129
Alison_Lohman_,463,1004
Allen_Iverson_,1017,1556
Allison_Janney_,965,1527
Allyson_Felix_,588,1185
Alvaro_Noboa_,763,1389
Alvaro_Silva_Calderon_,669,1285
Alvaro_Uribe_,177,476
Amanda_Beard_,5,13
Amanda_Bynes_,540,1122
Amanda_Coetzer_,154,430
Amber_Tamblyn_,6,16
Amelia_Vega_,256,640
Amelie_Mauresmo_,1314,1660
Amer_al-Saadi_,454,993
Amram_Mitzna_,817,1433
Ana_Guevara_,346,813
Ana_Palacio_,208,545
Anastasia_Myskina_,7,19
Anders_Ebbeson_,258,646
Anders_Fogh_Rasmussen_,309,747
Andre_Agassi_,387,889
Andrei_Mikhnevich_,403,914
Andrew_Bunner_,336,799
Andrew_Cuomo_,8,22
Andrew_Niccol_,422,941
Andrew_Weissmann_,653,1267
Andy_Hebb_,355,829
Andy_Roddick_,974,1533
Angela_Bassett_,653,1268
Angela_Lansbury_,483,1034
Angela_Merkel_,43,126
Angelina_Jolie_,299,727
Angelo_Reyes_,1228,1642
Anibal_Ibarra_,416,932
Ann_Veneman_,300,729
Anna_Kournikova_,218,563
Anna_Nicole_Smith_,399,910
Anne_Krueger_,497,1053
