Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.939,1022
Aaron_Sorkin_,134.504,1089
Abdel_Nasser_Assidi_,158.807,1563
Abdoulaye_Wade_,186.117,1675
Abdullah_,139.143,1223
Abdullah_Gul_,106.035,304
Abdullah_al-Attiyah_,139.409,1229
Abdullatif_Sener_,131.038,997
Abel_Pacheco_,135.927,1134
Abid_Hamid_Mahmud_Al-Tikriti_,177.241,1663
Adam_Sandler_,115.316,523
Adam_Scott_,160.237,1580
Adel_Al-Jubeir_,168.611,1632
Adolfo_Aguilar_Zinser_,135.533,1119
Adolfo_Rodriguez_Saa_,90.6299,91
Adrian_McPherson_,196.335,1679
Adrian_Nastase_,136.948,1156
Adrien_Brody_,110.84,399
Ahmad_Masood_,149.203,1435
Ahmed_Chalabi_,111.103,405
Ahmet_Necdet_Sezer_,129.489,949
Ai_Sugiyama_,135.281,1112
Aicha_El_Ouafi_,151.234,1468
Aitor_Gonzalez_,174.417,1656
Akbar_Hashemi_Rafsanjani_,103.617,261
Akhmed_Zakayev_,115.156,518
Al_Davis_,149.349,1438
Al_Gore_,139.252,1224
Al_Pacino_,121.672,691
Al_Sharpton_,144.203,1345
Alan_Ball_,123.624,749
Alan_Greenspan_,139.928,1243
Alan_Mulally_,128.886,925
Alastair_Campbell_,129.323,943
Albert_Costa_,168.746,1633
Alberto_Fujimori_,127.439,872
Alberto_Ruiz_Gallardon_,106.322,314
Albrecht_Mentz_,128.811,922
Aldo_Paredes_,148.941,1433
Alec_Baldwin_,136.285,1144
Alejandro_Atchugarry_,120.516,661
Alejandro_Avila_,160.754,1583
Alejandro_Toledo_,130.842,990
Aleksander_Kwasniewski_,138.497,1202
Alex_Barros_,146.78,1391
Alex_Penelas_,106.861,323
Alex_Sink_,118.605,606
Alexander_Downer_,98.392,174
Alexander_Losyukov_,118.366,602
Alexander_Rumyantsev_,112.083,429
Alexandra_Stevenson_,160.336,1581
Alexandra_Vodjanikova_,154.619,1517
Ali_Abbas_,109.489,377
Ali_Khamenei_,138.272,1197
Ali_Naimi_,112.344,437
Alice_Fisher_,141.152,1285
Alicia_Silverstone_,129.931,967
Alimzhan_Tokhtakhounov_,129.638,955
Alison_Lohman_,114.444,494
Allen_Iverson_,151.967,1480
Allison_Janney_,131.455,1006
Allyson_Felix_,173.752,1652
Alvaro_Noboa_,111.105,406
Alvaro_Silva_Calderon_,126.842,856
Alvaro_Uribe_,115.866,538
Amanda_Beard_,116.525,556
Amanda_Bynes_,87.5272,63
Amanda_Coetzer_,140.546,1263
Amber_Tamblyn_,109.013,367
Amelia_Vega_,104.665,276
Amelie_Mauresmo_,145.102,1358
Amer_al-Saadi_,114.083,486
Amram_Mitzna_,126.979,858
Ana_Guevara_,177.765,1664
Ana_Palacio_,63.4362,3
Anastasia_Myskina_,156.075,1538
Anders_Ebbeson_,162.861,1598
Anders_Fogh_Rasmussen_,166.945,1625
Andre_Agassi_,124.813,789
Andrei_Mikhnevich_,144.305,1346
Andrew_Bunner_,111.817,425
Andrew_Cuomo_,98.6138,179
Andrew_Niccol_,100.546,208
Andrew_Weissmann_,160.896,1586
Andy_Hebb_,81.6702,36
