Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.276,551
Aaron_Sorkin_,134.497,1090
Abdel_Nasser_Assidi_,158.802,1566
Abdoulaye_Wade_,195.729,1678
Abdullah_,139.139,1222
Abdullah_Gul_,106.017,290
Abdullah_al-Attiyah_,163.376,1602
Abdullatif_Sener_,131.023,991
Abel_Pacheco_,135.923,1138
Abid_Hamid_Mahmud_Al-Tikriti_,116.788,534
Adam_Sandler_,115.314,497
Adam_Scott_,160.235,1583
Adel_Al-Jubeir_,148.604,1420
Adolfo_Aguilar_Zinser_,135.516,1124
Adolfo_Rodriguez_Saa_,139.609,1230
Adrian_McPherson_,196.331,1679
Adrian_Nastase_,136.946,1159
Adrien_Brody_,110.818,384
Ahmad_Masood_,149.199,1429
Ahmed_Chalabi_,111.088,393
Ahmet_Necdet_Sezer_,129.481,943
Ai_Sugiyama_,135.276,1115
Aicha_El_Ouafi_,151.223,1466
Aitor_Gonzalez_,174.413,1653
Akbar_Hashemi_Rafsanjani_,103.611,245
Akhmed_Zakayev_,128.847,917
Al_Davis_,149.335,1433
Al_Gore_,139.248,1223
Al_Pacino_,136.66,1153
Al_Sharpton_,144.19,1349
Alan_Ball_,123.335,716
Alan_Greenspan_,139.923,1237
Alan_Mulally_,110.252,372
Alastair_Campbell_,129.3,936
Albert_Costa_,168.737,1633
Alberto_Fujimori_,127.425,863
Alberto_Ruiz_Gallardon_,106.291,296
Albrecht_Mentz_,128.808,915
Aldo_Paredes_,113.548,452
Alec_Baldwin_,136.265,1148
Alejandro_Atchugarry_,120.51,637
Alejandro_Avila_,160.748,1586
Alejandro_Toledo_,130.817,982
Aleksander_Kwasniewski_,117.051,544
Alex_Barros_,109.287,352
Alex_Penelas_,106.846,306
Alex_Sink_,149.196,1428
Alexander_Downer_,98.3864,176
Alexander_Losyukov_,140.565,1262
Alexander_Rumyantsev_,112.063,414
Alexandra_Stevenson_,160.323,1584
Alexandra_Vodjanikova_,154.615,1518
Ali_Abbas_,109.477,359
Ali_Khamenei_,122.16,677
Ali_Naimi_,112.324,421
Alice_Fisher_,141.14,1282
Alicia_Silverstone_,129.921,959
Alimzhan_Tokhtakhounov_,117.441,559
Alison_Lohman_,114.43,471
Allen_Iverson_,151.965,1476
Allison_Janney_,131.434,1000
Allyson_Felix_,173.747,1649
Alvaro_Noboa_,111.079,391
Alvaro_Silva_Calderon_,126.805,841
Alvaro_Uribe_,115.841,513
Amanda_Beard_,116.514,528
Amanda_Bynes_,87.5063,70
Amanda_Coetzer_,140.537,1261
Amber_Tamblyn_,109.007,347
Amelia_Vega_,104.659,260
Amelie_Mauresmo_,145.085,1357
Amer_al-Saadi_,114.067,464
Amram_Mitzna_,126.969,846
Ana_Guevara_,177.763,1660
Ana_Palacio_,63.4142,2
Anastasia_Myskina_,121.894,672
Anders_Ebbeson_,162.857,1598
Anders_Fogh_Rasmussen_,166.94,1623
Andre_Agassi_,150.551,1450
Andrei_Mikhnevich_,132.029,1019
Andrew_Bunner_,121.093,652
Andrew_Cuomo_,98.6009,178
Andrew_Niccol_,128.959,922
Andrew_Weissmann_,160.889,1589
Andy_Hebb_,81.6497,37
