Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,572,1173
Aaron_Sorkin_,704,1315
Abdel_Nasser_Assidi_,712,1326
Abdoulaye_Wade_,267,656
Abdullah_,232,584
Abdullah_Gul_,311,749
Abdullah_al-Attiyah_,1223,1637
Abdullatif_Sener_,333,792
Abel_Pacheco_,168,444
Abid_Hamid_Mahmud_Al-Tikriti_,423,954
Adam_Sandler_,115,313
Adam_Scott_,240,603
Adel_Al-Jubeir_,981,1540
Adolfo_Aguilar_Zinser_,1073,1587
Adolfo_Rodriguez_Saa_,774,1399
Adrian_McPherson_,1238,1642
Adrian_Nastase_,1054,1577
Adrien_Brody_,416,943
Ahmad_Masood_,498,1083
Ahmed_Chalabi_,413,937
Ahmet_Necdet_Sezer_,149,396
Ai_Sugiyama_,175,458
Aicha_El_Ouafi_,442,988
Aitor_Gonzalez_,1186,1626
Akbar_Hashemi_Rafsanjani_,260,641
Akhmed_Zakayev_,378,879
Al_Davis_,798,1417
Al_Gore_,476,1042
Al_Pacino_,34,100
Al_Sharpton_,718,1335
Alan_Ball_,182,475
Alan_Greenspan_,752,1375
Alan_Mulally_,504,1091
Alastair_Campbell_,327,781
Albert_Costa_,317,761
Alberto_Fujimori_,716,1331
Alberto_Ruiz_Gallardon_,117,318
Albrecht_Mentz_,1,1
Aldo_Paredes_,1431,1674
Alec_Baldwin_,264,649
Alejandro_Atchugarry_,666,1283
Alejandro_Avila_,513,1101
Alejandro_Toledo_,585,1185
Aleksander_Kwasniewski_,61,174
Alex_Barros_,384,888
Alex_Penelas_,141,375
Alex_Sink_,544,1142
Alexander_Downer_,291,708
Alexander_Losyukov_,459,1016
Alexander_Rumyantsev_,308,744
Alexandra_Stevenson_,696,1307
Alexandra_Vodjanikova_,1187,1628
Ali_Abbas_,308,745
Ali_Khamenei_,54,156
Ali_Naimi_,338,801
Alice_Fisher_,945,1518
Alicia_Silverstone_,285,695
Alimzhan_Tokhtakhounov_,320,766
Alison_Lohman_,2,4
Allen_Iverson_,497,1081
Allison_Janney_,620,1229
Allyson_Felix_,1008,1553
Alvaro_Noboa_,421,950
Alvaro_Silva_Calderon_,596,1203
Alvaro_Uribe_,185,481
Amanda_Beard_,138,366
Amanda_Bynes_,65,184
Amanda_Coetzer_,1254,1649
Amber_Tamblyn_,20,58
Amelia_Vega_,280,686
Amelie_Mauresmo_,830,1434
Amer_al-Saadi_,177,463
Amram_Mitzna_,250,620
Ana_Guevara_,116,316
Ana_Palacio_,220,558
Anastasia_Myskina_,691,1302
Anders_Ebbeson_,343,811
Anders_Fogh_Rasmussen_,1479,1677
Andre_Agassi_,1227,1639
Andrei_Mikhnevich_,1027,1563
Andrew_Bunner_,3,7
Andrew_Cuomo_,82,233
Andrew_Niccol_,441,986
Andrew_Weissmann_,350,822
Andy_Hebb_,399,915
Andy_Roddick_,593,1200
Angela_Bassett_,343,812
Angela_Lansbury_,266,653
Angela_Merkel_,52,151
Angelina_Jolie_,467,1027
Angelo_Reyes_,29,85
Anibal_Ibarra_,1076,1588
Ann_Veneman_,225,568
Anna_Kournikova_,86,242
Anna_Nicole_Smith_,493,1072
Anne_Krueger_,863,1459
