Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.299,553
Aaron_Sorkin_,134.51,1080
Abdel_Nasser_Assidi_,158.811,1553
Abdoulaye_Wade_,177.826,1658
Abdullah_,101.849,224
Abdullah_Gul_,106.047,304
Abdullah_al-Attiyah_,163.394,1595
Abdullatif_Sener_,124.895,771
Abel_Pacheco_,135.934,1126
Abid_Hamid_Mahmud_Al-Tikriti_,177.242,1654
Adam_Sandler_,115.317,506
Adam_Scott_,145.66,1357
Adel_Al-Jubeir_,135.191,1100
Adolfo_Aguilar_Zinser_,135.544,1112
Adolfo_Rodriguez_Saa_,90.6401,77
Adrian_McPherson_,155.093,1510
Adrian_Nastase_,136.95,1153
Adrien_Brody_,110.859,400
Ahmad_Masood_,149.206,1418
Ahmed_Chalabi_,111.122,407
Ahmet_Necdet_Sezer_,129.497,934
Ai_Sugiyama_,135.284,1105
Aicha_El_Ouafi_,130.819,973
Aitor_Gonzalez_,174.42,1644
Akbar_Hashemi_Rafsanjani_,118.426,586
Akhmed_Zakayev_,128.87,903
Al_Davis_,149.356,1424
Al_Gore_,139.255,1220
Al_Pacino_,136.663,1146
Al_Sharpton_,144.212,1335
Alan_Ball_,123.373,721
Alan_Greenspan_,147.628,1389
Alan_Mulally_,128.898,904
Alastair_Campbell_,103.878,259
Albert_Costa_,168.755,1624
Alberto_Fujimori_,127.453,859
Alberto_Ruiz_Gallardon_,129.844,944
Albrecht_Mentz_,128.813,901
Aldo_Paredes_,113.567,467
Alec_Baldwin_,136.313,1137
Alejandro_Atchugarry_,120.367,641
Alejandro_Avila_,148.388,1406
Alejandro_Toledo_,130.865,975
Aleksander_Kwasniewski_,117.055,548
Alex_Barros_,109.343,368
Alex_Penelas_,106.871,320
Alex_Sink_,149.215,1419
Alexander_Downer_,98.397,164
Alexander_Losyukov_,112.969,453
Alexander_Rumyantsev_,112.097,426
Alexandra_Stevenson_,124.383,751
Alexandra_Vodjanikova_,154.625,1507
Ali_Abbas_,109.498,372
Ali_Khamenei_,122.209,690
Ali_Naimi_,112.356,432
Alice_Fisher_,139.635,1232
Alicia_Silverstone_,129.943,949
Alimzhan_Tokhtakhounov_,117.498,563
Alison_Lohman_,114.455,484
Allen_Iverson_,142.222,1292
Allison_Janney_,129.532,935
Allyson_Felix_,173.762,1641
Alvaro_Noboa_,111.121,406
Alvaro_Silva_Calderon_,130.862,974
Alvaro_Uribe_,99.8,179
Amanda_Beard_,116.535,537
Amanda_Bynes_,87.5454,53
Amanda_Coetzer_,124.81,767
Amber_Tamblyn_,109.017,360
Amelia_Vega_,137.472,1173
Amelie_Mauresmo_,145.111,1346
Amer_al-Saadi_,114.096,478
Amram_Mitzna_,126.989,837
Ana_Guevara_,177.767,1657
Ana_Palacio_,101.313,218
Anastasia_Myskina_,121.916,685
Anders_Ebbeson_,118.359,584
Anders_Fogh_Rasmussen_,124.889,769
Andre_Agassi_,150.562,1442
Andrei_Mikhnevich_,132.063,1005
Andrew_Bunner_,111.832,421
Andrew_Cuomo_,98.626,168
Andrew_Niccol_,100.567,199
Andrew_Weissmann_,160.901,1573
Andy_Hebb_,81.6836,28
Andy_Roddick_,132.99,1034
