Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,273,673
Aaron_Sorkin_,948,1509
Abdel_Nasser_Assidi_,997,1533
Abdoulaye_Wade_,849,1447
Abdullah_,34,100
Abdullah_Gul_,306,730
Abdullah_al-Attiyah_,301,721
Abdullatif_Sener_,684,1290
Abel_Pacheco_,1134,1611
Abid_Hamid_Mahmud_Al-Tikriti_,1019,1549
Adam_Sandler_,503,1056
Adam_Scott_,808,1421
Adel_Al-Jubeir_,456,983
Adolfo_Aguilar_Zinser_,568,1138
Adolfo_Rodriguez_Saa_,325,759
Adrian_McPherson_,215,552
Adrian_Nastase_,400,896
Adrien_Brody_,696,1303
Ahmad_Masood_,42,122
Ahmed_Chalabi_,29,85
Ahmet_Necdet_Sezer_,913,1491
Ai_Sugiyama_,997,1534
Aicha_El_Ouafi_,878,1467
Aitor_Gonzalez_,778,1389
Akbar_Hashemi_Rafsanjani_,260,649
Akhmed_Zakayev_,757,1367
Al_Davis_,642,1241
Al_Gore_,717,1327
Al_Pacino_,208,535
Al_Sharpton_,194,503
Alan_Ball_,739,1349
Alan_Greenspan_,162,434
Alan_Mulally_,667,1271
Alastair_Campbell_,342,796
Albert_Costa_,924,1497
Alberto_Fujimori_,728,1338
Alberto_Ruiz_Gallardon_,237,607
Albrecht_Mentz_,550,1116
Aldo_Paredes_,198,512
Alec_Baldwin_,195,506
Alejandro_Atchugarry_,121,337
Alejandro_Avila_,681,1287
Alejandro_Toledo_,241,612
Aleksander_Kwasniewski_,363,832
Alex_Barros_,159,428
Alex_Penelas_,121,338
Alex_Sink_,181,473
Alexander_Downer_,153,418
Alexander_Losyukov_,223,574
Alexander_Rumyantsev_,412,917
Alexandra_Stevenson_,78,226
Alexandra_Vodjanikova_,292,706
Ali_Abbas_,97,277
Ali_Khamenei_,569,1141
Ali_Naimi_,421,930
Alice_Fisher_,300,719
Alicia_Silverstone_,963,1518
Alimzhan_Tokhtakhounov_,349,808
Alison_Lohman_,478,1017
Allen_Iverson_,786,1397
Allison_Janney_,1,1
Allyson_Felix_,108,304
Alvaro_Noboa_,393,882
Alvaro_Silva_Calderon_,128,354
Alvaro_Uribe_,522,1080
Amanda_Beard_,2,4
Amanda_Bynes_,68,198
Amanda_Coetzer_,445,963
Amber_Tamblyn_,356,820
Amelia_Vega_,273,674
Amelie_Mauresmo_,536,1094
Amer_al-Saadi_,66,192
Amram_Mitzna_,3,7
Ana_Guevara_,1314,1658
Ana_Palacio_,225,577
Anastasia_Myskina_,333,777
Anders_Ebbeson_,169,447
Anders_Fogh_Rasmussen_,7,19
Andre_Agassi_,777,1388
Andrei_Mikhnevich_,629,1222
Andrew_Bunner_,83,240
Andrew_Cuomo_,4,10
Andrew_Niccol_,5,13
Andrew_Weissmann_,559,1127
Andy_Hebb_,374,847
Andy_Roddick_,126,349
Angela_Bassett_,674,1281
Angela_Lansbury_,496,1045
Angela_Merkel_,52,152
Angelina_Jolie_,446,966
Angelo_Reyes_,1139,1612
Anibal_Ibarra_,793,1406
Ann_Veneman_,319,747
Anna_Kournikova_,395,886
Anna_Nicole_Smith_,266,658
Anne_Krueger_,390,877
Anne_McLellan_,230,589
