Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,115,320
Aaron_Sorkin_,312,764
Abdel_Nasser_Assidi_,1142,1609
Abdoulaye_Wade_,1541,1679
Abdullah_,221,580
Abdullah_Gul_,300,734
Abdullah_al-Attiyah_,294,723
Abdullatif_Sener_,1,1
Abel_Pacheco_,1143,1610
Abid_Hamid_Mahmud_Al-Tikriti_,121,334
Adam_Sandler_,506,1082
Adam_Scott_,391,903
Adel_Al-Jubeir_,941,1518
Adolfo_Aguilar_Zinser_,142,389
Adolfo_Rodriguez_Saa_,228,595
Adrian_McPherson_,1485,1677
Adrian_Nastase_,558,1151
Adrien_Brody_,41,120
Ahmad_Masood_,516,1098
Ahmed_Chalabi_,329,794
Ahmet_Necdet_Sezer_,303,740
Ai_Sugiyama_,501,1074
Aicha_El_Ouafi_,1071,1583
Aitor_Gonzalez_,562,1161
Akbar_Hashemi_Rafsanjani_,251,643
Akhmed_Zakayev_,730,1353
Al_Davis_,120,331
Al_Gore_,754,1372
Al_Pacino_,676,1300
Al_Sharpton_,1024,1558
Alan_Ball_,625,1247
Alan_Greenspan_,1186,1622
Alan_Mulally_,778,1398
Alastair_Campbell_,385,890
Albert_Costa_,1440,1672
Alberto_Fujimori_,874,1480
Alberto_Ruiz_Gallardon_,2,4
Albrecht_Mentz_,787,1406
Aldo_Paredes_,3,7
Alec_Baldwin_,703,1326
Alejandro_Atchugarry_,646,1266
Alejandro_Avila_,104,292
Alejandro_Toledo_,151,412
Aleksander_Kwasniewski_,1211,1630
Alex_Barros_,4,10
Alex_Penelas_,161,440
Alex_Sink_,583,1195
Alexander_Downer_,168,459
Alexander_Losyukov_,451,1003
Alexander_Rumyantsev_,296,728
Alexandra_Stevenson_,67,192
Alexandra_Vodjanikova_,302,738
Ali_Abbas_,369,864
Ali_Khamenei_,705,1328
Ali_Naimi_,758,1376
Alice_Fisher_,284,703
Alicia_Silverstone_,413,939
Alimzhan_Tokhtakhounov_,344,825
Alison_Lohman_,480,1042
Allen_Iverson_,298,730
Allison_Janney_,474,1034
Allyson_Felix_,432,971
Alvaro_Noboa_,1107,1596
Alvaro_Silva_Calderon_,313,766
Alvaro_Uribe_,179,486
Amanda_Beard_,260,661
Amanda_Bynes_,60,173
Amanda_Coetzer_,1150,1612
Amber_Tamblyn_,304,742
Amelia_Vega_,266,674
Amelie_Mauresmo_,1176,1619
Amer_al-Saadi_,126,348
Amram_Mitzna_,349,836
Ana_Guevara_,450,1000
Ana_Palacio_,92,259
Anastasia_Myskina_,445,991
Anders_Ebbeson_,1472,1675
Anders_Fogh_Rasmussen_,597,1215
Andre_Agassi_,778,1399
Andrei_Mikhnevich_,865,1471
Andrew_Bunner_,418,948
Andrew_Cuomo_,171,466
Andrew_Niccol_,4,11
Andrew_Weissmann_,804,1424
Andy_Hebb_,378,879
Andy_Roddick_,117,326
Angela_Bassett_,414,941
Angela_Lansbury_,91,256
Angela_Merkel_,46,134
Angelina_Jolie_,296,729
Angelo_Reyes_,685,1311
Anibal_Ibarra_,341,818
Ann_Veneman_,215,567
Anna_Kournikova_,370,866
Anna_Nicole_Smith_,481,1045
Anne_Krueger_,210,559
