Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,886,1493
Aaron_Sorkin_,559,1130
Abdel_Nasser_Assidi_,568,1146
Abdoulaye_Wade_,1520,1679
Abdullah_,1218,1630
Abdullah_Gul_,316,735
Abdullah_al-Attiyah_,1224,1632
Abdullatif_Sener_,787,1399
Abel_Pacheco_,45,129
Abid_Hamid_Mahmud_Al-Tikriti_,799,1417
Adam_Sandler_,28,81
Adam_Scott_,680,1285
Adel_Al-Jubeir_,1186,1619
Adolfo_Aguilar_Zinser_,693,1300
Adolfo_Rodriguez_Saa_,1,1
Adrian_McPherson_,780,1392
Adrian_Nastase_,1123,1602
Adrien_Brody_,650,1256
Ahmad_Masood_,1431,1667
Ahmed_Chalabi_,411,901
Ahmet_Necdet_Sezer_,219,557
Ai_Sugiyama_,123,352
Aicha_El_Ouafi_,728,1336
Aitor_Gonzalez_,2,4
Akbar_Hashemi_Rafsanjani_,268,643
Akhmed_Zakayev_,553,1124
Al_Davis_,3,7
Al_Gore_,631,1237
Al_Pacino_,146,409
Al_Sharpton_,413,905
Alan_Ball_,738,1351
Alan_Greenspan_,666,1272
Alan_Mulally_,907,1504
Alastair_Campbell_,928,1514
Albert_Costa_,311,723
Alberto_Fujimori_,796,1412
Alberto_Ruiz_Gallardon_,4,10
Albrecht_Mentz_,587,1171
Aldo_Paredes_,472,1008
Alec_Baldwin_,935,1519
Alejandro_Atchugarry_,639,1245
Alejandro_Avila_,629,1232
Alejandro_Toledo_,116,331
Aleksander_Kwasniewski_,567,1145
Alex_Barros_,1066,1585
Alex_Penelas_,160,443
Alex_Sink_,607,1197
Alexander_Downer_,175,471
Alexander_Losyukov_,637,1244
Alexander_Rumyantsev_,433,941
Alexandra_Stevenson_,808,1427
Alexandra_Vodjanikova_,995,1556
Ali_Abbas_,227,572
Ali_Khamenei_,803,1422
Ali_Naimi_,440,957
Alice_Fisher_,751,1367
Alicia_Silverstone_,319,738
Alimzhan_Tokhtakhounov_,164,450
Alison_Lohman_,5,13
Allen_Iverson_,419,915
Allison_Janney_,581,1163
Allyson_Felix_,1486,1675
Alvaro_Noboa_,6,16
Alvaro_Silva_Calderon_,412,903
Alvaro_Uribe_,195,510
Amanda_Beard_,433,942
Amanda_Bynes_,68,194
Amanda_Coetzer_,1255,1641
Amber_Tamblyn_,126,361
Amelia_Vega_,281,669
Amelie_Mauresmo_,710,1322
Amer_al-Saadi_,487,1029
Amram_Mitzna_,7,19
Ana_Guevara_,44,126
Ana_Palacio_,230,577
Anastasia_Myskina_,688,1293
Anders_Ebbeson_,602,1190
Anders_Fogh_Rasmussen_,1015,1565
Andre_Agassi_,783,1394
Andrei_Mikhnevich_,619,1216
Andrew_Bunner_,427,928
Andrew_Cuomo_,179,480
Andrew_Niccol_,210,540
Andrew_Weissmann_,384,863
Andy_Hebb_,8,22
Andy_Roddick_,609,1199
Angela_Bassett_,190,500
Angela_Lansbury_,73,209
Angela_Merkel_,54,155
Angelina_Jolie_,462,993
Angelo_Reyes_,49,140
Anibal_Ibarra_,778,1389
Ann_Veneman_,232,582
Anna_Kournikova_,1449,1669
Anna_Nicole_Smith_,496,1041
