Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,322,783
Aaron_Sorkin_,548,1152
Abdel_Nasser_Assidi_,134,371
Abdoulaye_Wade_,746,1366
Abdullah_,1,1
Abdullah_Gul_,295,737
Abdullah_al-Attiyah_,962,1521
Abdullatif_Sener_,284,719
Abel_Pacheco_,1131,1601
Abid_Hamid_Mahmud_Al-Tikriti_,545,1148
Adam_Sandler_,274,697
Adam_Scott_,1283,1648
Adel_Al-Jubeir_,992,1545
Adolfo_Aguilar_Zinser_,836,1445
Adolfo_Rodriguez_Saa_,83,240
Adrian_McPherson_,1221,1627
Adrian_Nastase_,119,336
Adrien_Brody_,73,211
Ahmad_Masood_,703,1330
Ahmed_Chalabi_,403,926
Ahmet_Necdet_Sezer_,591,1204
Ai_Sugiyama_,313,768
Aicha_El_Ouafi_,976,1532
Aitor_Gonzalez_,794,1411
Akbar_Hashemi_Rafsanjani_,381,888
Akhmed_Zakayev_,75,217
Al_Davis_,218,573
Al_Gore_,35,102
Al_Pacino_,171,468
Al_Sharpton_,405,930
Alan_Ball_,323,785
Alan_Greenspan_,690,1319
Alan_Mulally_,384,894
Alastair_Campbell_,267,682
Albert_Costa_,568,1177
Alberto_Fujimori_,769,1389
Alberto_Ruiz_Gallardon_,2,4
Albrecht_Mentz_,637,1266
Aldo_Paredes_,457,1010
Alec_Baldwin_,243,630
Alejandro_Atchugarry_,138,382
Alejandro_Avila_,753,1374
Alejandro_Toledo_,187,505
Aleksander_Kwasniewski_,14,40
Alex_Barros_,82,237
Alex_Penelas_,188,506
Alex_Sink_,596,1210
Alexander_Downer_,192,515
Alexander_Losyukov_,442,987
Alexander_Rumyantsev_,93,268
Alexandra_Stevenson_,694,1323
Alexandra_Vodjanikova_,403,927
Ali_Abbas_,370,863
Ali_Khamenei_,209,553
Ali_Naimi_,426,961
Alice_Fisher_,3,7
Alicia_Silverstone_,197,527
Alimzhan_Tokhtakhounov_,498,1078
Alison_Lohman_,476,1043
Allen_Iverson_,932,1504
Allison_Janney_,476,1044
Allyson_Felix_,779,1397
Alvaro_Noboa_,396,916
Alvaro_Silva_Calderon_,682,1314
Alvaro_Uribe_,400,921
Amanda_Beard_,500,1082
Amanda_Bynes_,1,2
Amanda_Coetzer_,1076,1579
Amber_Tamblyn_,358,847
Amelia_Vega_,17,49
Amelie_Mauresmo_,1070,1573
Amer_al-Saadi_,171,469
Amram_Mitzna_,790,1408
Ana_Guevara_,368,860
Ana_Palacio_,210,555
Anastasia_Myskina_,105,300
Anders_Ebbeson_,427,964
Anders_Fogh_Rasmussen_,376,877
Andre_Agassi_,772,1391
Andrei_Mikhnevich_,483,1052
Andrew_Bunner_,4,10
Andrew_Cuomo_,167,460
Andrew_Niccol_,934,1506
Andrew_Weissmann_,462,1018
Andy_Hebb_,381,889
Andy_Roddick_,595,1208
Angela_Bassett_,135,373
Angela_Lansbury_,25,73
Angela_Merkel_,48,140
Angelina_Jolie_,126,353
Angelo_Reyes_,1147,1608
Anibal_Ibarra_,107,306
Ann_Veneman_,212,560
Anna_Kournikova_,250,648
Anna_Nicole_Smith_,429,968
Anne_Krueger_,26,76
Anne_McLellan_,272,693
