Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.914,1003
Aaron_Sorkin_,134.49,1072
Abdel_Nasser_Assidi_,158.797,1564
Abdoulaye_Wade_,186.101,1677
Abdullah_,139.134,1215
Abdullah_Gul_,128.493,897
Abdullah_al-Attiyah_,163.366,1603
Abdullatif_Sener_,124.87,774
Abel_Pacheco_,135.919,1124
Abid_Hamid_Mahmud_Al-Tikriti_,177.237,1661
Adam_Sandler_,115.312,489
Adam_Scott_,145.643,1356
Adel_Al-Jubeir_,148.603,1417
Adolfo_Aguilar_Zinser_,135.499,1112
Adolfo_Rodriguez_Saa_,90.6097,79
Adrian_McPherson_,155.065,1517
Adrian_Nastase_,136.944,1145
Adrien_Brody_,110.797,377
Ahmad_Masood_,149.195,1427
Ahmed_Chalabi_,111.074,386
Ahmet_Necdet_Sezer_,129.474,934
Ai_Sugiyama_,135.272,1102
Aicha_El_Ouafi_,130.809,973
Aitor_Gonzalez_,174.409,1651
Akbar_Hashemi_Rafsanjani_,118.38,572
Akhmed_Zakayev_,128.835,907
Al_Davis_,149.32,1431
Al_Gore_,121.39,653
Al_Pacino_,136.659,1138
Al_Sharpton_,168.741,1637
Alan_Ball_,123.316,712
Alan_Greenspan_,127.06,841
Alan_Mulally_,110.234,370
Alastair_Campbell_,129.278,925
Albert_Costa_,168.728,1635
Alberto_Fujimori_,127.41,858
Alberto_Ruiz_Gallardon_,129.841,946
Albrecht_Mentz_,128.806,905
Aldo_Paredes_,148.924,1423
Alec_Baldwin_,136.247,1132
Alejandro_Atchugarry_,120.504,630
Alejandro_Avila_,160.742,1582
Alejandro_Toledo_,130.792,971
Aleksander_Kwasniewski_,138.483,1196
Alex_Barros_,109.248,349
Alex_Penelas_,106.83,300
Alex_Sink_,138.279,1187
Alexander_Downer_,98.3809,162
Alexander_Losyukov_,140.554,1248
Alexander_Rumyantsev_,112.043,412
Alexandra_Stevenson_,160.31,1580
Alexandra_Vodjanikova_,154.611,1510
Ali_Abbas_,109.466,357
Ali_Khamenei_,138.228,1184
Ali_Naimi_,112.303,420
Alice_Fisher_,141.127,1267
Alicia_Silverstone_,129.911,948
Alimzhan_Tokhtakhounov_,129.582,937
Alison_Lohman_,106.451,294
Allen_Iverson_,142.208,1287
Allison_Janney_,131.413,987
Allyson_Felix_,155,1516
Alvaro_Noboa_,111.052,385
Alvaro_Silva_Calderon_,126.766,830
Alvaro_Uribe_,115.818,506
Amanda_Beard_,116.503,523
Amanda_Bynes_,87.4853,53
Amanda_Coetzer_,140.529,1246
Amber_Tamblyn_,109,345
Amelia_Vega_,104.652,256
Amelie_Mauresmo_,123.64,724
Amer_al-Saadi_,98.9309,167
Amram_Mitzna_,126.958,837
Ana_Guevara_,177.761,1663
Ana_Palacio_,101.262,205
Anastasia_Myskina_,156.056,1535
Anders_Ebbeson_,162.853,1598
Anders_Fogh_Rasmussen_,166.935,1624
Andre_Agassi_,124.793,770
Andrei_Mikhnevich_,144.284,1333
Andrew_Bunner_,111.777,404
Andrew_Cuomo_,98.5886,164
Andrew_Niccol_,128.938,910
Andrew_Weissmann_,160.882,1585
Andy_Hebb_,110.021,366
Andy_Roddick_,131.026,979
