Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.28,551
Aaron_Sorkin_,134.499,1078
Abdel_Nasser_Assidi_,173.089,1652
Abdoulaye_Wade_,177.814,1664
Abdullah_,139.14,1215
Abdullah_Gul_,106.021,284
Abdullah_al-Attiyah_,139.4,1218
Abdullatif_Sener_,131.028,978
Abel_Pacheco_,137.027,1154
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1662
Adam_Sandler_,115.315,495
Adam_Scott_,160.235,1582
Adel_Al-Jubeir_,148.605,1418
Adolfo_Aguilar_Zinser_,135.521,1117
Adolfo_Rodriguez_Saa_,139.614,1226
Adrian_McPherson_,196.332,1679
Adrian_Nastase_,136.946,1151
Adrien_Brody_,116.097,521
Ahmad_Masood_,149.2,1427
Ahmed_Chalabi_,111.092,392
Ahmet_Necdet_Sezer_,135.099,1100
Ai_Sugiyama_,135.277,1107
Aicha_El_Ouafi_,151.226,1463
Aitor_Gonzalez_,170.286,1645
Akbar_Hashemi_Rafsanjani_,103.612,234
Akhmed_Zakayev_,128.851,904
Al_Davis_,149.338,1430
Al_Gore_,139.249,1216
Al_Pacino_,136.661,1144
Al_Sharpton_,144.194,1339
Alan_Ball_,123.34,718
Alan_Greenspan_,139.924,1234
Alan_Mulally_,110.258,371
Alastair_Campbell_,129.307,923
Albert_Costa_,162.318,1596
Alberto_Fujimori_,127.428,855
Alberto_Ruiz_Gallardon_,106.3,292
Albrecht_Mentz_,128.809,901
Aldo_Paredes_,113.551,452
Alec_Baldwin_,103.859,237
Alejandro_Atchugarry_,120.343,642
Alejandro_Avila_,160.75,1584
Alejandro_Toledo_,130.824,970
Aleksander_Kwasniewski_,117.052,547
Alex_Barros_,109.298,350
Alex_Penelas_,106.85,306
Alex_Sink_,138.292,1190
Alexander_Downer_,98.388,160
Alexander_Losyukov_,118.36,585
Alexander_Rumyantsev_,105.972,280
Alexandra_Stevenson_,160.327,1583
Alexandra_Vodjanikova_,154.616,1512
Ali_Abbas_,109.48,356
Ali_Khamenei_,131.929,1002
Ali_Naimi_,112.331,421
Alice_Fisher_,141.143,1272
Alicia_Silverstone_,129.924,946
Alimzhan_Tokhtakhounov_,117.45,559
Alison_Lohman_,114.434,469
Allen_Iverson_,151.965,1470
Allison_Janney_,131.441,988
Allyson_Felix_,173.748,1654
Alvaro_Noboa_,111.086,391
Alvaro_Silva_Calderon_,131.946,1003
Alvaro_Uribe_,99.7863,175
Amanda_Beard_,116.517,536
Amanda_Bynes_,87.5125,50
Amanda_Coetzer_,140.54,1253
Amber_Tamblyn_,109.008,344
Amelia_Vega_,104.661,251
Amelie_Mauresmo_,145.09,1353
Amer_al-Saadi_,98.947,162
Amram_Mitzna_,150.628,1450
Ana_Guevara_,177.764,1663
Ana_Palacio_,101.286,201
Anastasia_Myskina_,156.068,1537
Anders_Ebbeson_,162.858,1599
Anders_Fogh_Rasmussen_,166.941,1629
Andre_Agassi_,124.806,767
Andrei_Mikhnevich_,144.298,1340
Andrew_Bunner_,121.1,659
Andrew_Cuomo_,119.449,615
Andrew_Niccol_,100.533,188
Andrew_Weissmann_,160.891,1587
Andy_Hebb_,110.043,367
