Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,499,1050
Aaron_Sorkin_,1060,1590
Abdel_Nasser_Assidi_,948,1523
Abdoulaye_Wade_,1010,1561
Abdullah_,43,125
Abdullah_Gul_,290,701
Abdullah_al-Attiyah_,1400,1669
Abdullatif_Sener_,1,1
Abel_Pacheco_,1110,1610
Abid_Hamid_Mahmud_Al-Tikriti_,303,728
Adam_Sandler_,487,1032
Adam_Scott_,436,951
Adel_Al-Jubeir_,328,776
Adolfo_Aguilar_Zinser_,791,1402
Adolfo_Rodriguez_Saa_,553,1137
Adrian_McPherson_,504,1059
Adrian_Nastase_,13,37
Adrien_Brody_,381,865
Ahmad_Masood_,352,823
Ahmed_Chalabi_,138,374
Ahmet_Necdet_Sezer_,909,1498
Ai_Sugiyama_,1083,1602
Aicha_El_Ouafi_,1310,1660
Aitor_Gonzalez_,650,1260
Akbar_Hashemi_Rafsanjani_,245,612
Akhmed_Zakayev_,549,1130
Al_Davis_,68,197
Al_Gore_,1201,1639
Al_Pacino_,403,902
Al_Sharpton_,718,1331
Alan_Ball_,2,4
Alan_Greenspan_,506,1062
Alan_Mulally_,143,383
Alastair_Campbell_,390,876
Albert_Costa_,419,928
Alberto_Fujimori_,838,1446
Alberto_Ruiz_Gallardon_,294,709
Albrecht_Mentz_,3,7
Aldo_Paredes_,443,963
Alec_Baldwin_,306,734
Alejandro_Atchugarry_,136,369
Alejandro_Avila_,1018,1567
Alejandro_Toledo_,177,463
Aleksander_Kwasniewski_,331,784
Alex_Barros_,357,829
Alex_Penelas_,4,10
Alex_Sink_,1069,1596
Alexander_Downer_,287,697
Alexander_Losyukov_,266,660
Alexander_Rumyantsev_,288,699
Alexandra_Stevenson_,158,419
Alexandra_Vodjanikova_,340,798
Ali_Abbas_,76,218
Ali_Khamenei_,670,1280
Ali_Naimi_,410,914
Alice_Fisher_,881,1480
Alicia_Silverstone_,1017,1566
Alimzhan_Tokhtakhounov_,551,1134
Alison_Lohman_,460,990
Allen_Iverson_,5,13
Allison_Janney_,971,1539
Allyson_Felix_,210,536
Alvaro_Noboa_,300,723
Alvaro_Silva_Calderon_,796,1411
Alvaro_Uribe_,456,982
Amanda_Beard_,528,1093
Amanda_Bynes_,54,158
Amanda_Coetzer_,146,391
Amber_Tamblyn_,353,824
Amelia_Vega_,1151,1622
Amelie_Mauresmo_,440,958
Amer_al-Saadi_,170,446
Amram_Mitzna_,634,1244
Ana_Guevara_,700,1310
Ana_Palacio_,207,532
Anastasia_Myskina_,51,149
Anders_Ebbeson_,122,339
Anders_Fogh_Rasmussen_,431,944
Andre_Agassi_,523,1085
Andrei_Mikhnevich_,851,1457
Andrew_Bunner_,401,897
Andrew_Cuomo_,166,437
Andrew_Niccol_,888,1489
Andrew_Weissmann_,458,986
Andy_Hebb_,372,850
Andy_Roddick_,960,1529
Angela_Bassett_,787,1398
Angela_Lansbury_,6,16
Angela_Merkel_,46,134
Angelina_Jolie_,246,615
Angelo_Reyes_,930,1509
Anibal_Ibarra_,783,1394
Ann_Veneman_,302,727
Anna_Kournikova_,120,334
Anna_Nicole_Smith_,60,175
Anne_Krueger_,655,1263
