Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.272,540
Aaron_Sorkin_,134.494,1093
Abdel_Nasser_Assidi_,173.086,1645
Abdoulaye_Wade_,196.949,1679
Abdullah_,139.137,1219
Abdullah_Gul_,106.01,290
Abdullah_al-Attiyah_,145.206,1360
Abdullatif_Sener_,124.874,758
Abel_Pacheco_,138.139,1192
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1658
Adam_Sandler_,133.492,1067
Adam_Scott_,160.235,1580
Adel_Al-Jubeir_,135.182,1111
Adolfo_Aguilar_Zinser_,135.51,1118
Adolfo_Rodriguez_Saa_,90.6158,85
Adrian_McPherson_,196.329,1678
Adrian_Nastase_,136.945,1160
Adrien_Brody_,124.406,740
Ahmad_Masood_,149.197,1435
Ahmed_Chalabi_,111.082,370
Ahmet_Necdet_Sezer_,129.478,932
Ai_Sugiyama_,130.547,972
Aicha_El_Ouafi_,151.218,1472
Aitor_Gonzalez_,174.411,1649
Akbar_Hashemi_Rafsanjani_,103.609,245
Akhmed_Zakayev_,128.842,900
Al_Davis_,149.329,1437
Al_Gore_,121.401,649
Al_Pacino_,136.66,1152
Al_Sharpton_,144.186,1342
Alan_Ball_,123.328,709
Alan_Greenspan_,139.921,1238
Alan_Mulally_,128.864,901
Alastair_Campbell_,103.831,247
Albert_Costa_,168.734,1631
Alberto_Fujimori_,136.557,1148
Alberto_Ruiz_Gallardon_,129.841,949
Albrecht_Mentz_,117.681,552
Aldo_Paredes_,148.929,1432
Alec_Baldwin_,103.851,248
Alejandro_Atchugarry_,120.508,630
Alejandro_Avila_,148.374,1425
Alejandro_Toledo_,145.853,1377
Aleksander_Kwasniewski_,101.12,207
Alex_Barros_,146.77,1395
Alex_Penelas_,106.841,302
Alex_Sink_,118.579,568
Alexander_Downer_,98.3844,169
Alexander_Losyukov_,112.936,423
Alexander_Rumyantsev_,112.056,395
Alexandra_Stevenson_,160.318,1582
Alexandra_Vodjanikova_,155.263,1527
Ali_Abbas_,109.473,343
Ali_Khamenei_,138.243,1196
Ali_Naimi_,133.747,1075
Alice_Fisher_,139.583,1230
Alicia_Silverstone_,129.917,953
Alimzhan_Tokhtakhounov_,129.6,938
Alison_Lohman_,114.425,461
Allen_Iverson_,151.964,1483
Allison_Janney_,131.426,988
Allyson_Felix_,155.012,1525
Alvaro_Noboa_,125.616,786
Alvaro_Silva_Calderon_,126.789,829
Alvaro_Uribe_,153.144,1499
Amanda_Beard_,116.51,522
Amanda_Bynes_,87.4982,51
Amanda_Coetzer_,124.803,756
Amber_Tamblyn_,131.552,992
Amelia_Vega_,104.656,261
Amelie_Mauresmo_,123.643,720
Amer_al-Saadi_,114.062,453
Amram_Mitzna_,150.623,1457
Ana_Guevara_,131.947,1012
Ana_Palacio_,101.273,214
Anastasia_Myskina_,156.062,1537
Anders_Ebbeson_,162.856,1600
Anders_Fogh_Rasmussen_,166.938,1623
Andre_Agassi_,124.799,755
Andrei_Mikhnevich_,144.29,1343
Andrew_Bunner_,111.79,386
Andrew_Cuomo_,119.44,599
Andrew_Niccol_,128.951,905
Andrew_Weissmann_,160.887,1587
Andy_Hebb_,110.032,352
