Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.273,558
Aaron_Sorkin_,134.495,1082
Abdel_Nasser_Assidi_,173.087,1652
Abdoulaye_Wade_,177.809,1666
Abdullah_,139.138,1213
Abdullah_Gul_,106.012,294
Abdullah_al-Attiyah_,163.374,1603
Abdullatif_Sener_,131.02,979
Abel_Pacheco_,135.922,1124
Abid_Hamid_Mahmud_Al-Tikriti_,116.787,544
Adam_Sandler_,115.314,503
Adam_Scott_,160.235,1577
Adel_Al-Jubeir_,148.604,1406
Adolfo_Aguilar_Zinser_,135.512,1111
Adolfo_Rodriguez_Saa_,139.605,1225
Adrian_McPherson_,196.33,1679
Adrian_Nastase_,136.946,1147
Adrien_Brody_,110.813,381
Ahmad_Masood_,149.198,1414
Ahmed_Chalabi_,111.084,387
Ahmet_Necdet_Sezer_,129.479,927
Ai_Sugiyama_,135.275,1104
Aicha_El_Ouafi_,151.22,1451
Aitor_Gonzalez_,170.283,1645
Akbar_Hashemi_Rafsanjani_,118.586,586
Akhmed_Zakayev_,128.844,894
Al_Davis_,149.331,1418
Al_Gore_,139.247,1215
Al_Pacino_,136.66,1143
Al_Sharpton_,164.891,1615
Alan_Ball_,123.33,701
Alan_Greenspan_,127.077,828
Alan_Mulally_,128.866,896
Alastair_Campbell_,129.295,917
Albert_Costa_,168.735,1638
Alberto_Fujimori_,127.421,843
Alberto_Ruiz_Gallardon_,106.283,299
Albrecht_Mentz_,128.808,892
Aldo_Paredes_,113.546,450
Alec_Baldwin_,136.26,1131
Alejandro_Atchugarry_,120.335,628
Alejandro_Avila_,160.747,1580
Alejandro_Toledo_,130.811,972
Aleksander_Kwasniewski_,117.051,551
Alex_Barros_,109.277,352
Alex_Penelas_,93.8958,105
Alex_Sink_,118.582,585
Alexander_Downer_,98.3851,164
Alexander_Losyukov_,112.938,436
Alexander_Rumyantsev_,112.059,409
Alexandra_Stevenson_,103.025,233
Alexandra_Vodjanikova_,154.614,1515
Ali_Abbas_,109.475,360
Ali_Khamenei_,138.245,1183
Ali_Naimi_,112.319,414
Alice_Fisher_,139.586,1224
Alicia_Silverstone_,159.513,1565
Alimzhan_Tokhtakhounov_,129.604,932
Alison_Lohman_,114.427,474
Allen_Iverson_,142.212,1293
Allison_Janney_,131.429,989
Allyson_Felix_,173.746,1655
Alvaro_Noboa_,125.616,776
Alvaro_Silva_Calderon_,106.67,308
Alvaro_Uribe_,115.835,520
Amanda_Beard_,116.511,539
Amanda_Bynes_,87.5013,55
Amanda_Coetzer_,140.535,1254
Amber_Tamblyn_,109.005,346
Amelia_Vega_,160.12,1575
Amelie_Mauresmo_,145.08,1343
Amer_al-Saadi_,114.064,468
Amram_Mitzna_,126.966,822
Ana_Guevara_,131.948,1010
Ana_Palacio_,101.276,210
Anastasia_Myskina_,156.063,1532
Anders_Ebbeson_,162.856,1598
Anders_Fogh_Rasmussen_,166.939,1629
Andre_Agassi_,124.8,750
Andrei_Mikhnevich_,132.023,1011
Andrew_Bunner_,111.792,402
Andrew_Cuomo_,98.5981,166
Andrew_Niccol_,100.524,193
Andrew_Weissmann_,160.888,1582
Andy_Hebb_,110.034,369
