Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.921,1023
Aaron_Sorkin_,117.375,562
Abdel_Nasser_Assidi_,173.086,1642
Abdoulaye_Wade_,196.949,1679
Abdullah_,139.137,1220
Abdullah_Gul_,106.009,310
Abdullah_al-Attiyah_,139.392,1224
Abdullatif_Sener_,124.873,787
Abel_Pacheco_,135.921,1131
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1659
Adam_Sandler_,133.492,1066
Adam_Scott_,160.234,1575
Adel_Al-Jubeir_,135.181,1109
Adolfo_Aguilar_Zinser_,84.6306,51
Adolfo_Rodriguez_Saa_,139.601,1231
Adrian_McPherson_,196.329,1678
Adrian_Nastase_,141.555,1284
Adrien_Brody_,124.405,770
Ahmad_Masood_,126.401,840
Ahmed_Chalabi_,111.08,412
Ahmet_Necdet_Sezer_,129.478,954
Ai_Sugiyama_,135.274,1114
Aicha_El_Ouafi_,130.811,989
Aitor_Gonzalez_,174.411,1650
Akbar_Hashemi_Rafsanjani_,103.608,261
Akhmed_Zakayev_,128.841,928
Al_Davis_,149.329,1427
Al_Gore_,139.247,1221
Al_Pacino_,136.66,1152
Al_Sharpton_,144.185,1344
Alan_Ball_,123.604,743
Alan_Greenspan_,147.616,1402
Alan_Mulally_,110.244,399
Alastair_Campbell_,129.291,947
Albert_Costa_,168.733,1623
Alberto_Fujimori_,127.419,877
Alberto_Ruiz_Gallardon_,106.276,318
Albrecht_Mentz_,128.807,925
Aldo_Paredes_,148.929,1425
Alec_Baldwin_,136.255,1140
Alejandro_Atchugarry_,120.507,647
Alejandro_Avila_,144.148,1341
Alejandro_Toledo_,130.805,988
Aleksander_Kwasniewski_,117.051,552
Alex_Barros_,109.27,378
Alex_Penelas_,106.84,330
Alex_Sink_,118.578,590
Alexander_Downer_,98.3839,177
Alexander_Losyukov_,112.935,447
Alexander_Rumyantsev_,105.966,307
Alexandra_Stevenson_,160.318,1576
Alexandra_Vodjanikova_,154.613,1514
Ali_Abbas_,109.472,386
Ali_Khamenei_,122.145,694
Ali_Naimi_,112.315,433
Alice_Fisher_,141.135,1274
Alicia_Silverstone_,129.916,965
Alimzhan_Tokhtakhounov_,117.427,567
Alison_Lohman_,106.46,322
Allen_Iverson_,142.211,1306
Allison_Janney_,131.424,1002
Allyson_Felix_,155.011,1519
Alvaro_Noboa_,125.616,811
Alvaro_Silva_Calderon_,106.669,328
Alvaro_Uribe_,107.066,337
Amanda_Beard_,116.509,542
Amanda_Bynes_,87.4967,69
Amanda_Coetzer_,140.534,1257
Amber_Tamblyn_,109.004,370
Amelia_Vega_,104.655,277
Amelie_Mauresmo_,145.077,1356
Amer_al-Saadi_,98.9377,182
Amram_Mitzna_,150.622,1447
Ana_Guevara_,177.762,1662
Ana_Palacio_,101.272,221
Anastasia_Myskina_,156.061,1538
Anders_Ebbeson_,162.855,1590
Anders_Fogh_Rasmussen_,166.938,1613
Andre_Agassi_,124.798,784
Andrei_Mikhnevich_,132.02,1025
Andrew_Bunner_,121.083,668
Andrew_Cuomo_,119.439,617
Andrew_Niccol_,128.951,933
Andrew_Weissmann_,160.887,1578
Andy_Hebb_,110.031,396
