Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.285,555
Aaron_Sorkin_,117.388,561
Abdel_Nasser_Assidi_,158.805,1562
Abdoulaye_Wade_,195.732,1678
Abdullah_,139.142,1210
Abdullah_Gul_,128.532,888
Abdullah_al-Attiyah_,163.383,1604
Abdullatif_Sener_,131.034,982
Abel_Pacheco_,135.927,1119
Abid_Hamid_Mahmud_Al-Tikriti_,156.625,1541
Adam_Sandler_,115.316,516
Adam_Scott_,160.236,1580
Adel_Al-Jubeir_,148.605,1424
Adolfo_Aguilar_Zinser_,150.107,1445
Adolfo_Rodriguez_Saa_,139.621,1222
Adrian_McPherson_,155.082,1521
Adrian_Nastase_,136.947,1147
Adrien_Brody_,119.223,610
Ahmad_Masood_,126.417,812
Ahmed_Chalabi_,115.823,527
Ahmet_Necdet_Sezer_,129.487,929
Ai_Sugiyama_,136.844,1143
Aicha_El_Ouafi_,130.815,972
Aitor_Gonzalez_,174.415,1659
Akbar_Hashemi_Rafsanjani_,118.408,591
Akhmed_Zakayev_,115.151,512
Al_Davis_,140.229,1240
Al_Gore_,139.251,1212
Al_Pacino_,136.661,1139
Al_Sharpton_,144.199,1341
Alan_Ball_,123.619,728
Alan_Greenspan_,147.621,1405
Alan_Mulally_,128.881,902
Alastair_Campbell_,129.316,922
Albert_Costa_,168.744,1637
Alberto_Fujimori_,127.435,847
Alberto_Ruiz_Gallardon_,106.314,313
Albrecht_Mentz_,128.81,898
Aldo_Paredes_,148.938,1429
Alec_Baldwin_,136.713,1141
Alejandro_Atchugarry_,120.514,637
Alejandro_Avila_,148.381,1419
Alejandro_Toledo_,94.0903,120
Aleksander_Kwasniewski_,117.053,551
Alex_Barros_,109.309,378
Alex_Penelas_,106.856,325
Alex_Sink_,118.599,596
Alexander_Downer_,105.986,304
Alexander_Losyukov_,118.363,588
Alexander_Rumyantsev_,112.076,434
Alexandra_Stevenson_,103.046,253
Alexandra_Vodjanikova_,154.618,1516
Ali_Abbas_,91.2005,90
Ali_Khamenei_,122.179,679
Ali_Naimi_,133.638,1061
Alice_Fisher_,141.148,1275
Alicia_Silverstone_,159.522,1571
Alimzhan_Tokhtakhounov_,117.463,566
Alison_Lohman_,114.439,485
Allen_Iverson_,151.967,1472
Allison_Janney_,131.449,995
Allyson_Felix_,155.03,1520
Alvaro_Noboa_,111.095,412
Alvaro_Silva_Calderon_,130.839,974
Alvaro_Uribe_,99.7896,200
Amanda_Beard_,116.522,541
Amanda_Bynes_,87.5203,61
Amanda_Coetzer_,140.543,1249
Amber_Tamblyn_,109.01,372
Amelia_Vega_,104.664,283
Amelie_Mauresmo_,145.095,1356
Amer_al-Saadi_,98.9515,191
Amram_Mitzna_,126.976,830
Ana_Guevara_,177.764,1663
Ana_Palacio_,118.324,587
Anastasia_Myskina_,156.072,1535
Anders_Ebbeson_,162.86,1599
Anders_Fogh_Rasmussen_,166.944,1631
Andre_Agassi_,124.811,763
Andrei_Mikhnevich_,144.301,1342
Andrew_Bunner_,121.108,656
Andrew_Cuomo_,98.6098,185
Andrew_Niccol_,128.971,906
Andrew_Weissmann_,160.893,1584
Andy_Hebb_,110.049,391
