Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.288,531
Aaron_Sorkin_,134.504,1068
Abdel_Nasser_Assidi_,173.092,1647
Abdoulaye_Wade_,177.819,1660
Abdullah_,139.143,1209
Abdullah_Gul_,106.033,275
Abdullah_al-Attiyah_,163.385,1597
Abdullatif_Sener_,131.039,961
Abel_Pacheco_,135.929,1111
Abid_Hamid_Mahmud_Al-Tikriti_,116.79,517
Adam_Sandler_,133.498,1043
Adam_Scott_,145.655,1349
Adel_Al-Jubeir_,148.606,1407
Adolfo_Aguilar_Zinser_,135.531,1099
Adolfo_Rodriguez_Saa_,139.626,1221
Adrian_McPherson_,196.334,1679
Adrian_Nastase_,136.948,1135
Adrien_Brody_,110.84,364
Ahmad_Masood_,149.203,1414
Ahmed_Chalabi_,111.106,370
Ahmet_Necdet_Sezer_,129.49,905
Ai_Sugiyama_,130.572,942
Aicha_El_Ouafi_,151.234,1451
Aitor_Gonzalez_,170.29,1636
Akbar_Hashemi_Rafsanjani_,118.6,564
Akhmed_Zakayev_,128.859,879
Al_Davis_,149.345,1417
Al_Gore_,139.252,1211
Al_Pacino_,136.662,1128
Al_Sharpton_,164.903,1609
Alan_Ball_,123.355,697
Alan_Greenspan_,139.927,1232
Alan_Mulally_,128.884,881
Alastair_Campbell_,129.322,900
Albert_Costa_,168.746,1629
Alberto_Fujimori_,136.577,1126
Alberto_Ruiz_Gallardon_,106.324,283
Albrecht_Mentz_,117.704,544
Aldo_Paredes_,148.94,1412
Alec_Baldwin_,136.714,1130
Alejandro_Atchugarry_,120.516,622
Alejandro_Avila_,160.754,1574
Alejandro_Toledo_,130.843,952
Aleksander_Kwasniewski_,138.497,1185
Alex_Barros_,109.317,339
Alex_Penelas_,93.922,102
Alex_Sink_,118.605,565
Alexander_Downer_,98.3921,158
Alexander_Losyukov_,112.956,420
Alexander_Rumyantsev_,112.081,391
Alexandra_Stevenson_,160.333,1573
Alexandra_Vodjanikova_,154.62,1505
Ali_Abbas_,91.2028,76
Ali_Khamenei_,138.269,1178
Ali_Naimi_,112.341,396
Alice_Fisher_,141.151,1271
Alicia_Silverstone_,129.932,923
Alimzhan_Tokhtakhounov_,117.471,538
Alison_Lohman_,114.443,448
Allen_Iverson_,142.218,1294
Allison_Janney_,129.52,906
Allyson_Felix_,173.755,1650
Alvaro_Noboa_,125.621,773
Alvaro_Silva_Calderon_,126.84,810
Alvaro_Uribe_,99.7921,170
Amanda_Beard_,116.525,510
Amanda_Bynes_,87.5272,48
Amanda_Coetzer_,140.545,1252
Amber_Tamblyn_,131.554,974
Amelia_Vega_,161.188,1580
Amelie_Mauresmo_,145.099,1339
Amer_al-Saadi_,118.999,577
Amram_Mitzna_,126.98,813
Ana_Guevara_,131.963,992
Ana_Palacio_,101.298,201
Anastasia_Myskina_,156.075,1523
Anders_Ebbeson_,162.861,1592
Anders_Fogh_Rasmussen_,129.811,918
Andre_Agassi_,124.814,744
Andrei_Mikhnevich_,132.046,996
Andrew_Bunner_,111.816,388
Andrew_Cuomo_,98.6144,159
Andrew_Niccol_,128.975,885
Andrew_Weissmann_,160.895,1576
Andy_Hebb_,110.053,352
