Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,545,1115
Aaron_Sorkin_,668,1268
Abdel_Nasser_Assidi_,787,1382
Abdoulaye_Wade_,228,569
Abdullah_,705,1307
Abdullah_Gul_,292,703
Abdullah_al-Attiyah_,609,1204
Abdullatif_Sener_,851,1437
Abel_Pacheco_,585,1173
Abid_Hamid_Mahmud_Al-Tikriti_,531,1089
Adam_Sandler_,897,1478
Adam_Scott_,447,966
Adel_Al-Jubeir_,52,151
Adolfo_Aguilar_Zinser_,363,824
Adolfo_Rodriguez_Saa_,1219,1632
Adrian_McPherson_,657,1253
Adrian_Nastase_,505,1054
Adrien_Brody_,383,856
Ahmad_Masood_,1419,1665
Ahmed_Chalabi_,388,865
Ahmet_Necdet_Sezer_,274,670
Ai_Sugiyama_,960,1516
Aicha_El_Ouafi_,231,575
Aitor_Gonzalez_,910,1489
Akbar_Hashemi_Rafsanjani_,242,601
Akhmed_Zakayev_,123,339
Al_Davis_,44,128
Al_Gore_,271,664
Al_Pacino_,8,22
Al_Sharpton_,1164,1612
Alan_Ball_,135,366
Alan_Greenspan_,157,420
Alan_Mulally_,129,353
Alastair_Campbell_,621,1214
Albert_Costa_,496,1041
Alberto_Fujimori_,297,713
Alberto_Ruiz_Gallardon_,298,716
Albrecht_Mentz_,414,904
Aldo_Paredes_,1,1
Alec_Baldwin_,246,609
Alejandro_Atchugarry_,165,439
Alejandro_Avila_,485,1028
Alejandro_Toledo_,18,52
Aleksander_Kwasniewski_,269,658
Alex_Barros_,354,805
Alex_Penelas_,23,67
Alex_Sink_,536,1096
Alexander_Downer_,166,442
Alexander_Losyukov_,434,943
Alexander_Rumyantsev_,411,898
Alexandra_Stevenson_,584,1171
Alexandra_Vodjanikova_,1213,1630
Ali_Abbas_,361,820
Ali_Khamenei_,236,588
Ali_Naimi_,46,134
Alice_Fisher_,980,1526
Alicia_Silverstone_,935,1499
Alimzhan_Tokhtakhounov_,359,816
Alison_Lohman_,466,998
Allen_Iverson_,144,387
Allison_Janney_,531,1090
Allyson_Felix_,1469,1674
Alvaro_Noboa_,387,862
Alvaro_Silva_Calderon_,820,1413
Alvaro_Uribe_,203,519
Amanda_Beard_,322,758
Amanda_Bynes_,55,159
Amanda_Coetzer_,1074,1585
Amber_Tamblyn_,151,405
Amelia_Vega_,262,644
Amelie_Mauresmo_,1030,1563
Amer_al-Saadi_,459,987
Amram_Mitzna_,210,534
Ana_Guevara_,399,882
Ana_Palacio_,207,528
Anastasia_Myskina_,1054,1579
Anders_Ebbeson_,1020,1556
Anders_Fogh_Rasmussen_,557,1131
Andre_Agassi_,511,1063
Andrei_Mikhnevich_,14,40
Andrew_Bunner_,405,889
Andrew_Cuomo_,57,164
Andrew_Niccol_,94,264
Andrew_Weissmann_,516,1071
Andy_Hebb_,152,408
Andy_Roddick_,980,1527
Angela_Bassett_,678,1277
Angela_Lansbury_,484,1025
Angela_Merkel_,45,131
Angelina_Jolie_,357,812
Angelo_Reyes_,195,506
Anibal_Ibarra_,217,551
Ann_Veneman_,209,531
Anna_Kournikova_,78,220
Anna_Nicole_Smith_,554,1127
Anne_Krueger_,589,1179
