Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,94.6096,122
Aaron_Sorkin_,117.381,551
Abdel_Nasser_Assidi_,173.088,1647
Abdoulaye_Wade_,177.812,1662
Abdullah_,139.14,1196
Abdullah_Gul_,128.522,879
Abdullah_al-Attiyah_,163.379,1599
Abdullatif_Sener_,124.877,763
Abel_Pacheco_,135.923,1111
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1660
Adam_Sandler_,133.494,1041
Adam_Scott_,145.649,1356
Adel_Al-Jubeir_,148.605,1415
Adolfo_Aguilar_Zinser_,135.519,1099
Adolfo_Rodriguez_Saa_,139.61,1205
Adrian_McPherson_,196.331,1679
Adrian_Nastase_,136.946,1132
Adrien_Brody_,110.821,392
Ahmad_Masood_,126.41,804
Ahmed_Chalabi_,110.728,390
Ahmet_Necdet_Sezer_,129.482,912
Ai_Sugiyama_,135.277,1088
Aicha_El_Ouafi_,130.813,951
Aitor_Gonzalez_,174.413,1651
Akbar_Hashemi_Rafsanjani_,103.611,242
Akhmed_Zakayev_,128.848,886
Al_Davis_,140.219,1230
Al_Gore_,82.988,45
Al_Pacino_,136.661,1126
Al_Sharpton_,144.192,1328
Alan_Ball_,123.612,709
Alan_Greenspan_,139.924,1217
Alan_Mulally_,128.872,888
Alastair_Campbell_,129.303,905
Albert_Costa_,168.738,1633
Alberto_Fujimori_,127.427,839
Alberto_Ruiz_Gallardon_,106.292,297
Albrecht_Mentz_,117.69,560
Aldo_Paredes_,148.934,1421
Alec_Baldwin_,116.783,537
Alejandro_Atchugarry_,120.511,635
Alejandro_Avila_,160.749,1584
Alejandro_Toledo_,130.819,952
Aleksander_Kwasniewski_,117.052,544
Alex_Barros_,109.29,358
Alex_Penelas_,93.9042,111
Alex_Sink_,118.588,583
Alexander_Downer_,98.387,169
Alexander_Losyukov_,112.944,440
Alexander_Rumyantsev_,105.971,289
Alexandra_Stevenson_,160.326,1582
Alexandra_Vodjanikova_,155.267,1524
Ali_Abbas_,91.1962,88
Ali_Khamenei_,122.16,674
Ali_Naimi_,112.326,428
Alice_Fisher_,141.142,1256
Alicia_Silverstone_,129.921,930
Alimzhan_Tokhtakhounov_,117.444,556
Alison_Lohman_,106.469,302
Allen_Iverson_,142.214,1283
Allison_Janney_,129.51,914
Allyson_Felix_,173.747,1648
Alvaro_Noboa_,111.085,400
Alvaro_Silva_Calderon_,131.944,990
Alvaro_Uribe_,115.841,505
Amanda_Beard_,116.515,527
Amanda_Bynes_,87.5083,62
Amanda_Coetzer_,140.539,1237
Amber_Tamblyn_,131.553,972
Amelia_Vega_,104.659,255
Amelie_Mauresmo_,145.087,1343
Amer_al-Saadi_,134.217,1060
Amram_Mitzna_,126.97,824
Ana_Guevara_,177.764,1661
Ana_Palacio_,101.282,209
Anastasia_Myskina_,156.067,1535
Anders_Ebbeson_,162.858,1593
Anders_Fogh_Rasmussen_,103.955,247
Andre_Agassi_,124.803,761
Andrei_Mikhnevich_,132.034,994
Andrew_Bunner_,111.8,415
Andrew_Cuomo_,98.6024,171
Andrew_Niccol_,128.962,893
Andrew_Weissmann_,147.836,1398
Andy_Hebb_,110.04,375
Andy_Roddick_,131.037,959
