Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.284,540
Aaron_Sorkin_,117.387,546
Abdel_Nasser_Assidi_,158.805,1564
Abdoulaye_Wade_,177.817,1663
Abdullah_,139.141,1233
Abdullah_Gul_,106.027,284
Abdullah_al-Attiyah_,163.382,1599
Abdullatif_Sener_,131.033,991
Abel_Pacheco_,135.926,1143
Abid_Hamid_Mahmud_Al-Tikriti_,177.24,1660
Adam_Sandler_,115.315,490
Adam_Scott_,160.236,1580
Adel_Al-Jubeir_,135.186,1117
Adolfo_Aguilar_Zinser_,135.526,1127
Adolfo_Rodriguez_Saa_,139.62,1243
Adrian_McPherson_,155.081,1515
Adrian_Nastase_,136.947,1173
Adrien_Brody_,124.416,754
Ahmad_Masood_,149.202,1424
Ahmed_Chalabi_,111.099,385
Ahmet_Necdet_Sezer_,129.486,939
Ai_Sugiyama_,136.843,1167
Aicha_El_Ouafi_,130.815,983
Aitor_Gonzalez_,170.288,1639
Akbar_Hashemi_Rafsanjani_,118.407,574
Akhmed_Zakayev_,128.855,910
Al_Davis_,149.341,1427
Al_Gore_,139.25,1236
Al_Pacino_,136.661,1161
Al_Sharpton_,144.198,1345
Alan_Ball_,123.347,717
Alan_Greenspan_,147.621,1404
Alan_Mulally_,128.879,912
Alastair_Campbell_,129.314,932
Albert_Costa_,168.743,1631
Alberto_Fujimori_,127.433,859
Alberto_Ruiz_Gallardon_,129.843,955
Albrecht_Mentz_,128.81,907
Aldo_Paredes_,113.554,442
Alec_Baldwin_,103.862,233
Alejandro_Atchugarry_,120.514,633
Alejandro_Avila_,148.38,1413
Alejandro_Toledo_,130.834,984
Aleksander_Kwasniewski_,117.052,535
Alex_Barros_,109.309,348
Alex_Penelas_,93.9152,105
Alex_Sink_,118.598,580
Alexander_Downer_,98.3899,160
Alexander_Losyukov_,112.952,427
Alexander_Rumyantsev_,105.975,281
Alexandra_Stevenson_,103.045,222
Alexandra_Vodjanikova_,154.618,1506
Ali_Abbas_,109.484,355
Ali_Khamenei_,138.262,1214
Ali_Naimi_,112.337,410
Alice_Fisher_,139.607,1242
Alicia_Silverstone_,129.928,958
Alimzhan_Tokhtakhounov_,117.461,551
Alison_Lohman_,106.474,294
Allen_Iverson_,151.966,1469
Allison_Janney_,129.515,941
Allyson_Felix_,155.028,1514
Alvaro_Noboa_,111.093,384
Alvaro_Silva_Calderon_,106.674,300
Alvaro_Uribe_,115.859,506
Amanda_Beard_,112.811,422
Amanda_Bynes_,87.5194,60
Amanda_Coetzer_,140.542,1268
Amber_Tamblyn_,109.01,341
Amelia_Vega_,137.463,1188
Amelie_Mauresmo_,145.095,1360
Amer_al-Saadi_,114.076,458
Amram_Mitzna_,150.63,1447
Ana_Guevara_,177.764,1662
Ana_Palacio_,101.292,200
Anastasia_Myskina_,156.071,1527
Anders_Ebbeson_,162.859,1597
Anders_Fogh_Rasmussen_,166.943,1621
Andre_Agassi_,124.81,773
Andrei_Mikhnevich_,144.301,1346
Andrew_Bunner_,121.107,652
Andrew_Cuomo_,119.453,603
Andrew_Niccol_,128.97,916
Andrew_Weissmann_,160.893,1584
Andy_Hebb_,110.048,366
Andy_Roddick_,131.042,992
