Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,305,761
Aaron_Sorkin_,1,1
Abdel_Nasser_Assidi_,2,4
Abdoulaye_Wade_,532,1137
Abdullah_,3,7
Abdullah_Gul_,881,1471
Abdullah_al-Attiyah_,738,1374
Abdullatif_Sener_,795,1415
Abel_Pacheco_,326,804
Abid_Hamid_Mahmud_Al-Tikriti_,229,616
Adam_Sandler_,1071,1573
Adam_Scott_,552,1170
Adel_Al-Jubeir_,310,773
Adolfo_Aguilar_Zinser_,748,1380
Adolfo_Rodriguez_Saa_,87,250
Adrian_McPherson_,4,10
Adrian_Nastase_,5,13
Adrien_Brody_,18,52
Ahmad_Masood_,259,673
Ahmed_Chalabi_,403,940
Ahmet_Necdet_Sezer_,610,1246
Ai_Sugiyama_,564,1190
Aicha_El_Ouafi_,197,538
Aitor_Gonzalez_,1135,1604
Akbar_Hashemi_Rafsanjani_,6,16
Akhmed_Zakayev_,801,1421
Al_Davis_,1091,1582
Al_Gore_,299,751
Al_Pacino_,7,19
Al_Sharpton_,510,1106
Alan_Ball_,8,22
Alan_Greenspan_,360,865
Alan_Mulally_,9,25
Alastair_Campbell_,941,1501
Albert_Costa_,792,1414
Alberto_Fujimori_,10,28
Alberto_Ruiz_Gallardon_,262,680
Albrecht_Mentz_,11,31
Aldo_Paredes_,1214,1631
Alec_Baldwin_,1104,1592
Alejandro_Atchugarry_,589,1223
Alejandro_Avila_,1343,1658
Alejandro_Toledo_,486,1071
Aleksander_Kwasniewski_,1108,1595
Alex_Barros_,12,34
Alex_Penelas_,205,556
Alex_Sink_,632,1266
Alexander_Downer_,171,470
Alexander_Losyukov_,707,1341
Alexander_Rumyantsev_,13,37
Alexandra_Stevenson_,14,40
Alexandra_Vodjanikova_,314,779
Ali_Abbas_,96,276
Ali_Khamenei_,702,1339
Ali_Naimi_,312,776
Alice_Fisher_,508,1103
Alicia_Silverstone_,754,1382
Alimzhan_Tokhtakhounov_,407,945
Alison_Lohman_,378,900
Allen_Iverson_,402,938
Allison_Janney_,506,1099
Allyson_Felix_,1180,1621
Alvaro_Noboa_,1392,1668
Alvaro_Silva_Calderon_,8,23
Alvaro_Uribe_,336,824
Amanda_Beard_,15,43
Amanda_Bynes_,148,411
Amanda_Coetzer_,676,1316
Amber_Tamblyn_,116,330
Amelia_Vega_,42,123
Amelie_Mauresmo_,1360,1663
Amer_al-Saadi_,16,46
Amram_Mitzna_,858,1462
Ana_Guevara_,1027,1551
Ana_Palacio_,424,978
Anastasia_Myskina_,432,990
Anders_Ebbeson_,285,725
Anders_Fogh_Rasmussen_,57,166
Andre_Agassi_,960,1513
Andrei_Mikhnevich_,17,49
Andrew_Bunner_,18,53
Andrew_Cuomo_,19,55
Andrew_Niccol_,20,58
Andrew_Weissmann_,829,1441
Andy_Hebb_,391,922
Andy_Roddick_,874,1469
Angela_Bassett_,173,476
Angela_Lansbury_,64,186
Angela_Merkel_,54,157
Angelina_Jolie_,230,619
Angelo_Reyes_,300,753
Anibal_Ibarra_,1073,1575
Ann_Veneman_,225,607
Anna_Kournikova_,415,962
Anna_Nicole_Smith_,494,1082
Anne_Krueger_,522,1122
