Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,564,1143
Aaron_Sorkin_,1053,1566
Abdel_Nasser_Assidi_,1195,1623
Abdoulaye_Wade_,1030,1552
Abdullah_,53,152
Abdullah_Gul_,175,450
Abdullah_al-Attiyah_,1215,1629
Abdullatif_Sener_,990,1530
Abel_Pacheco_,1127,1595
Abid_Hamid_Mahmud_Al-Tikriti_,370,839
Adam_Sandler_,31,90
Adam_Scott_,144,380
Adel_Al-Jubeir_,583,1164
Adolfo_Aguilar_Zinser_,1060,1575
Adolfo_Rodriguez_Saa_,79,218
Adrian_McPherson_,405,907
Adrian_Nastase_,12,34
Adrien_Brody_,283,679
Ahmad_Masood_,299,712
Ahmed_Chalabi_,402,901
Ahmet_Necdet_Sezer_,591,1174
Ai_Sugiyama_,786,1369
Aicha_El_Ouafi_,1055,1570
Aitor_Gonzalez_,848,1428
Akbar_Hashemi_Rafsanjani_,251,614
Akhmed_Zakayev_,284,681
Al_Davis_,1239,1637
Al_Gore_,536,1114
Al_Pacino_,834,1420
Al_Sharpton_,290,692
Alan_Ball_,726,1303
Alan_Greenspan_,1044,1562
Alan_Mulally_,442,966
Alastair_Campbell_,940,1500
Albert_Costa_,1446,1672
Alberto_Fujimori_,868,1445
Alberto_Ruiz_Gallardon_,272,658
Albrecht_Mentz_,918,1485
Aldo_Paredes_,459,995
Alec_Baldwin_,254,620
Alejandro_Atchugarry_,258,627
Alejandro_Avila_,884,1460
Alejandro_Toledo_,600,1185
Aleksander_Kwasniewski_,1035,1557
Alex_Barros_,100,273
Alex_Penelas_,321,750
Alex_Sink_,594,1177
Alexander_Downer_,14,40
Alexander_Losyukov_,445,970
Alexander_Rumyantsev_,424,942
Alexandra_Stevenson_,235,581
Alexandra_Vodjanikova_,120,326
Ali_Abbas_,374,847
Ali_Khamenei_,211,522
Ali_Naimi_,431,952
Alice_Fisher_,295,703
Alicia_Silverstone_,804,1387
Alimzhan_Tokhtakhounov_,569,1151
Alison_Lohman_,479,1027
Allen_Iverson_,1,1
Allison_Janney_,744,1325
Allyson_Felix_,476,1022
Alvaro_Noboa_,400,897
Alvaro_Silva_Calderon_,33,96
Alvaro_Uribe_,524,1098
Amanda_Beard_,388,873
Amanda_Bynes_,54,155
Amanda_Coetzer_,546,1130
Amber_Tamblyn_,362,829
Amelia_Vega_,269,653
Amelie_Mauresmo_,348,802
Amer_al-Saadi_,176,451
Amram_Mitzna_,850,1431
Ana_Guevara_,1160,1610
Ana_Palacio_,159,418
Anastasia_Myskina_,355,818
Anders_Ebbeson_,168,437
Anders_Fogh_Rasmussen_,323,755
Andre_Agassi_,301,715
Andrei_Mikhnevich_,1209,1628
Andrew_Bunner_,666,1251
Andrew_Cuomo_,174,447
Andrew_Niccol_,199,500
Andrew_Weissmann_,688,1270
Andy_Hebb_,383,863
Andy_Roddick_,991,1531
Angela_Bassett_,265,642
Angela_Lansbury_,494,1047
Angela_Merkel_,47,136
Angelina_Jolie_,27,78
Angelo_Reyes_,606,1190
Anibal_Ibarra_,764,1348
Ann_Veneman_,320,748
Anna_Kournikova_,794,1378
Anna_Nicole_Smith_,128,345
Anne_Krueger_,360,825
