Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,663,1286
Aaron_Sorkin_,1074,1590
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,735,1354
Abdullah_,50,145
Abdullah_Gul_,61,176
Abdullah_al-Attiyah_,547,1136
Abdullatif_Sener_,559,1154
Abel_Pacheco_,745,1363
Abid_Hamid_Mahmud_Al-Tikriti_,814,1429
Adam_Sandler_,501,1072
Adam_Scott_,485,1049
Adel_Al-Jubeir_,855,1461
Adolfo_Aguilar_Zinser_,657,1279
Adolfo_Rodriguez_Saa_,557,1151
Adrian_McPherson_,480,1042
Adrian_Nastase_,2,4
Adrien_Brody_,744,1362
Ahmad_Masood_,189,510
Ahmed_Chalabi_,4,10
Ahmet_Necdet_Sezer_,695,1316
Ai_Sugiyama_,151,423
Aicha_El_Ouafi_,603,1217
Aitor_Gonzalez_,771,1390
Akbar_Hashemi_Rafsanjani_,398,915
Akhmed_Zakayev_,112,324
Al_Davis_,3,7
Al_Gore_,1209,1640
Al_Pacino_,662,1285
Al_Sharpton_,203,543
Alan_Ball_,4,11
Alan_Greenspan_,1006,1557
Alan_Mulally_,220,579
Alastair_Campbell_,375,874
Albert_Costa_,1039,1569
Alberto_Fujimori_,828,1441
Alberto_Ruiz_Gallardon_,934,1522
Albrecht_Mentz_,206,548
Aldo_Paredes_,391,901
Alec_Baldwin_,605,1220
Alejandro_Atchugarry_,5,13
Alejandro_Avila_,402,923
Alejandro_Toledo_,743,1360
Aleksander_Kwasniewski_,1156,1627
Alex_Barros_,350,828
Alex_Penelas_,303,743
Alex_Sink_,576,1178
Alexander_Downer_,159,443
Alexander_Losyukov_,100,290
Alexander_Rumyantsev_,410,937
Alexandra_Stevenson_,224,586
Alexandra_Vodjanikova_,584,1192
Ali_Abbas_,358,842
Ali_Khamenei_,792,1409
Ali_Naimi_,416,950
Alice_Fisher_,6,16
Alicia_Silverstone_,707,1332
Alimzhan_Tokhtakhounov_,7,19
Alison_Lohman_,8,22
Allen_Iverson_,976,1539
Allison_Janney_,958,1533
Allyson_Felix_,245,632
Alvaro_Noboa_,389,898
Alvaro_Silva_Calderon_,298,733
Alvaro_Uribe_,522,1101
Amanda_Beard_,321,777
Amanda_Bynes_,56,162
Amanda_Coetzer_,26,76
Amber_Tamblyn_,979,1542
Amelia_Vega_,1152,1624
Amelie_Mauresmo_,1348,1660
Amer_al-Saadi_,164,455
Amram_Mitzna_,312,758
Ana_Guevara_,187,506
Ana_Palacio_,5,14
Anastasia_Myskina_,362,849
Anders_Ebbeson_,625,1247
Anders_Fogh_Rasmussen_,263,663
Andre_Agassi_,926,1519
Andrei_Mikhnevich_,25,73
Andrew_Bunner_,160,446
Andrew_Cuomo_,460,1013
Andrew_Niccol_,200,536
Andrew_Weissmann_,389,899
Andy_Hebb_,31,90
Andy_Roddick_,924,1517
Angela_Bassett_,543,1130
Angela_Lansbury_,331,794
Angela_Merkel_,286,706
Angelina_Jolie_,414,946
Angelo_Reyes_,1233,1645
Anibal_Ibarra_,147,413
Ann_Veneman_,117,338
Anna_Kournikova_,539,1125
Anna_Nicole_Smith_,451,999
Anne_Krueger_,678,1301
