Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.275,534
Aaron_Sorkin_,134.496,1057
Abdel_Nasser_Assidi_,158.801,1565
Abdoulaye_Wade_,177.81,1661
Abdullah_,139.138,1185
Abdullah_Gul_,106.014,281
Abdullah_al-Attiyah_,145.207,1337
Abdullatif_Sener_,131.021,966
Abel_Pacheco_,135.922,1103
Abid_Hamid_Mahmud_Al-Tikriti_,156.623,1540
Adam_Sandler_,102.115,206
Adam_Scott_,145.648,1348
Adel_Al-Jubeir_,168.609,1631
Adolfo_Aguilar_Zinser_,135.514,1091
Adolfo_Rodriguez_Saa_,139.606,1198
Adrian_McPherson_,196.33,1679
Adrian_Nastase_,141.56,1256
Adrien_Brody_,110.816,368
Ahmad_Masood_,149.198,1420
Ahmed_Chalabi_,111.086,377
Ahmet_Necdet_Sezer_,129.48,915
Ai_Sugiyama_,130.551,947
Aicha_El_Ouafi_,151.221,1464
Aitor_Gonzalez_,174.412,1653
Akbar_Hashemi_Rafsanjani_,103.61,231
Akhmed_Zakayev_,125.153,757
Al_Davis_,149.333,1424
Al_Gore_,139.248,1188
Al_Pacino_,136.66,1117
Al_Sharpton_,164.892,1616
Alan_Ball_,123.332,692
Alan_Greenspan_,139.922,1204
Alan_Mulally_,128.868,887
Alastair_Campbell_,129.298,909
Albert_Costa_,168.736,1632
Alberto_Fujimori_,136.561,1115
Alberto_Ruiz_Gallardon_,129.842,930
Albrecht_Mentz_,128.808,884
Aldo_Paredes_,113.547,437
Alec_Baldwin_,103.855,235
Alejandro_Atchugarry_,120.337,614
Alejandro_Avila_,160.747,1586
Alejandro_Toledo_,130.813,957
Aleksander_Kwasniewski_,138.489,1172
Alex_Barros_,109.281,334
Alex_Penelas_,93.8988,103
Alex_Sink_,149.195,1419
Alexander_Downer_,105.96,278
Alexander_Losyukov_,112.94,420
Alexander_Rumyantsev_,112.06,397
Alexandra_Stevenson_,124.344,730
Alexandra_Vodjanikova_,154.614,1519
Ali_Abbas_,91.194,81
Ali_Khamenei_,122.155,659
Ali_Naimi_,112.321,403
Alice_Fisher_,141.139,1248
Alicia_Silverstone_,129.92,932
Alimzhan_Tokhtakhounov_,129.607,918
Alison_Lohman_,114.428,456
Allen_Iverson_,151.964,1478
Allison_Janney_,131.432,976
Allyson_Felix_,173.747,1649
Alvaro_Noboa_,111.076,376
Alvaro_Silva_Calderon_,131.941,991
Alvaro_Uribe_,115.837,502
Amanda_Beard_,112.785,416
Amanda_Bynes_,87.5034,51
Amanda_Coetzer_,140.537,1227
Amber_Tamblyn_,109.006,330
Amelia_Vega_,104.658,251
Amelie_Mauresmo_,145.082,1336
Amer_al-Saadi_,114.066,449
Amram_Mitzna_,126.967,815
Ana_Guevara_,147.615,1391
Ana_Palacio_,63.4112,3
Anastasia_Myskina_,144.258,1322
Anders_Ebbeson_,162.857,1601
Anders_Fogh_Rasmussen_,166.939,1625
Andre_Agassi_,124.801,746
Andrei_Mikhnevich_,144.293,1323
Andrew_Bunner_,111.795,391
Andrew_Cuomo_,98.5994,166
Andrew_Niccol_,128.956,889
Andrew_Weissmann_,160.889,1589
Andy_Hebb_,110.036,353
