Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.273,537
Aaron_Sorkin_,134.494,1070
Abdel_Nasser_Assidi_,158.8,1558
Abdoulaye_Wade_,177.808,1665
Abdullah_,139.137,1210
Abdullah_Gul_,106.011,288
Abdullah_al-Attiyah_,139.393,1216
Abdullatif_Sener_,131.017,964
Abel_Pacheco_,135.921,1120
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1663
Adam_Sandler_,154.722,1506
Adam_Scott_,160.235,1576
Adel_Al-Jubeir_,148.604,1412
Adolfo_Aguilar_Zinser_,135.511,1107
Adolfo_Rodriguez_Saa_,139.601,1219
Adrian_McPherson_,155.071,1509
Adrian_Nastase_,136.945,1144
Adrien_Brody_,110.811,373
Ahmad_Masood_,126.403,787
Ahmed_Chalabi_,110.718,371
Ahmet_Necdet_Sezer_,129.478,915
Ai_Sugiyama_,135.275,1098
Aicha_El_Ouafi_,151.218,1452
Aitor_Gonzalez_,174.411,1653
Akbar_Hashemi_Rafsanjani_,103.609,245
Akhmed_Zakayev_,128.842,885
Al_Davis_,149.332,1423
Al_Gore_,139.247,1213
Al_Pacino_,136.66,1138
Al_Sharpton_,144.187,1330
Alan_Ball_,123.327,693
Alan_Greenspan_,139.922,1227
Alan_Mulally_,128.864,887
Alastair_Campbell_,129.293,907
Albert_Costa_,168.734,1631
Alberto_Fujimori_,127.421,834
Alberto_Ruiz_Gallardon_,129.841,930
Albrecht_Mentz_,128.808,883
Aldo_Paredes_,113.545,439
Alec_Baldwin_,136.254,1127
Alejandro_Atchugarry_,120.508,623
Alejandro_Avila_,144.149,1326
Alejandro_Toledo_,130.807,956
Aleksander_Kwasniewski_,138.487,1192
Alex_Barros_,109.273,342
Alex_Penelas_,93.8935,106
Alex_Sink_,118.58,571
Alexander_Downer_,105.95,285
Alexander_Losyukov_,112.936,425
Alexander_Rumyantsev_,105.967,286
Alexandra_Stevenson_,160.32,1577
Alexandra_Vodjanikova_,155.263,1513
Ali_Abbas_,91.1922,79
Ali_Khamenei_,138.246,1185
Ali_Naimi_,112.316,408
Alice_Fisher_,141.136,1263
Alicia_Silverstone_,129.916,932
Alimzhan_Tokhtakhounov_,129.602,919
Alison_Lohman_,114.425,458
Allen_Iverson_,142.212,1284
Allison_Janney_,131.426,977
Allyson_Felix_,173.745,1649
Alvaro_Noboa_,111.073,379
Alvaro_Silva_Calderon_,126.786,806
Alvaro_Uribe_,115.829,501
Amanda_Beard_,116.51,515
Amanda_Bynes_,87.4984,52
Amanda_Coetzer_,140.535,1240
Amber_Tamblyn_,109.005,338
Amelia_Vega_,161.185,1583
Amelie_Mauresmo_,145.079,1342
Amer_al-Saadi_,118.976,581
Amram_Mitzna_,126.965,811
Ana_Guevara_,177.763,1664
Ana_Palacio_,101.274,204
Anastasia_Myskina_,156.062,1524
Anders_Ebbeson_,162.856,1593
Anders_Fogh_Rasmussen_,129.792,925
Andre_Agassi_,124.798,744
Andrei_Mikhnevich_,132.024,995
Andrew_Bunner_,111.79,395
Andrew_Cuomo_,98.5966,165
Andrew_Niccol_,100.519,189
Andrew_Weissmann_,160.888,1579
Andy_Hebb_,110.033,360
