Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,137,384
Aaron_Sorkin_,434,934
Abdel_Nasser_Assidi_,327,756
Abdoulaye_Wade_,1,1
Abdullah_,636,1227
Abdullah_Gul_,520,1068
Abdullah_al-Attiyah_,462,977
Abdullatif_Sener_,985,1546
Abel_Pacheco_,215,543
Abid_Hamid_Mahmud_Al-Tikriti_,1091,1588
Adam_Sandler_,10,28
Adam_Scott_,469,991
Adel_Al-Jubeir_,1206,1630
Adolfo_Aguilar_Zinser_,456,971
Adolfo_Rodriguez_Saa_,2,4
Adrian_McPherson_,381,855
Adrian_Nastase_,1006,1556
Adrien_Brody_,397,875
Ahmad_Masood_,3,7
Ahmed_Chalabi_,369,832
Ahmet_Necdet_Sezer_,132,373
Ai_Sugiyama_,441,944
Aicha_El_Ouafi_,4,10
Aitor_Gonzalez_,1133,1609
Akbar_Hashemi_Rafsanjani_,601,1183
Akhmed_Zakayev_,424,919
Al_Davis_,1046,1569
Al_Gore_,678,1276
Al_Pacino_,19,54
Al_Sharpton_,921,1493
Alan_Ball_,627,1215
Alan_Greenspan_,263,644
Alan_Mulally_,384,861
Alastair_Campbell_,1000,1550
Albert_Costa_,735,1330
Alberto_Fujimori_,421,912
Alberto_Ruiz_Gallardon_,300,716
Albrecht_Mentz_,5,13
Aldo_Paredes_,6,16
Alec_Baldwin_,881,1466
Alejandro_Atchugarry_,649,1243
Alejandro_Avila_,453,966
Alejandro_Toledo_,318,740
Aleksander_Kwasniewski_,479,1008
Alex_Barros_,739,1336
Alex_Penelas_,26,75
Alex_Sink_,609,1191
Alexander_Downer_,167,454
Alexander_Losyukov_,270,657
Alexander_Rumyantsev_,422,914
Alexandra_Stevenson_,236,588
Alexandra_Vodjanikova_,829,1419
Ali_Abbas_,372,838
Ali_Khamenei_,965,1529
Ali_Naimi_,286,688
Alice_Fisher_,7,19
Alicia_Silverstone_,432,931
Alimzhan_Tokhtakhounov_,191,503
Alison_Lohman_,487,1020
Allen_Iverson_,8,22
Allison_Janney_,293,703
Allyson_Felix_,943,1510
Alvaro_Noboa_,404,883
Alvaro_Silva_Calderon_,552,1116
Alvaro_Uribe_,183,488
Amanda_Beard_,547,1109
Amanda_Bynes_,49,141
Amanda_Coetzer_,9,25
Amber_Tamblyn_,54,154
Amelia_Vega_,121,343
Amelie_Mauresmo_,345,791
Amer_al-Saadi_,319,741
Amram_Mitzna_,238,594
Ana_Guevara_,1020,1563
Ana_Palacio_,3,8
Anastasia_Myskina_,10,29
Anders_Ebbeson_,1178,1621
Anders_Fogh_Rasmussen_,1344,1666
Andre_Agassi_,784,1380
Andrei_Mikhnevich_,219,552
Andrew_Bunner_,228,569
Andrew_Cuomo_,169,458
Andrew_Niccol_,147,410
Andrew_Weissmann_,356,814
Andy_Hebb_,11,31
Andy_Roddick_,870,1455
Angela_Bassett_,253,625
Angela_Lansbury_,169,459
Angela_Merkel_,132,374
Angelina_Jolie_,232,580
Angelo_Reyes_,240,600
Anibal_Ibarra_,834,1422
Ann_Veneman_,312,732
Anna_Kournikova_,588,1165
Anna_Nicole_Smith_,489,1023
Anne_Krueger_,235,585
Anne_McLellan_,687,1285
