Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.948,1025
Aaron_Sorkin_,134.509,1092
Abdel_Nasser_Assidi_,173.095,1644
Abdoulaye_Wade_,196.952,1679
Abdullah_,139.147,1224
Abdullah_Gul_,106.048,308
Abdullah_al-Attiyah_,139.418,1229
Abdullatif_Sener_,131.051,994
Abel_Pacheco_,135.932,1133
Abid_Hamid_Mahmud_Al-Tikriti_,116.793,566
Adam_Sandler_,115.317,525
Adam_Scott_,160.238,1580
Adel_Al-Jubeir_,148.607,1425
Adolfo_Aguilar_Zinser_,135.544,1124
Adolfo_Rodriguez_Saa_,139.639,1237
Adrian_McPherson_,196.338,1678
Adrian_Nastase_,136.95,1158
Adrien_Brody_,116.106,545
Ahmad_Masood_,149.206,1431
Ahmed_Chalabi_,110.768,397
Ahmet_Necdet_Sezer_,129.496,959
Ai_Sugiyama_,135.284,1116
Aicha_El_Ouafi_,151.244,1461
Aitor_Gonzalez_,174.42,1652
Akbar_Hashemi_Rafsanjani_,103.624,257
Akhmed_Zakayev_,115.166,520
Al_Davis_,140.245,1256
Al_Gore_,139.255,1225
Al_Pacino_,136.663,1151
Al_Sharpton_,144.212,1351
Alan_Ball_,123.37,749
Alan_Greenspan_,147.628,1410
Alan_Mulally_,110.283,386
Alastair_Campbell_,103.879,263
Albert_Costa_,162.326,1594
Alberto_Fujimori_,127.452,889
Alberto_Ruiz_Gallardon_,106.349,319
Albrecht_Mentz_,117.718,592
Aldo_Paredes_,113.567,473
Alec_Baldwin_,136.307,1141
Alejandro_Atchugarry_,120.521,663
Alejandro_Avila_,144.167,1350
Alejandro_Toledo_,130.863,988
Aleksander_Kwasniewski_,138.503,1206
Alex_Barros_,109.346,373
Alex_Penelas_,106.872,331
Alex_Sink_,118.621,610
Alexander_Downer_,106.016,307
Alexander_Losyukov_,140.582,1270
Alexander_Rumyantsev_,112.097,425
Alexandra_Stevenson_,103.069,244
Alexandra_Vodjanikova_,154.624,1517
Ali_Abbas_,91.2098,88
Ali_Khamenei_,122.208,710
Ali_Naimi_,112.357,435
Alice_Fisher_,139.635,1236
Alicia_Silverstone_,159.533,1571
Alimzhan_Tokhtakhounov_,117.497,586
Alison_Lohman_,114.455,495
Allen_Iverson_,142.222,1321
Allison_Janney_,131.472,1006
Allyson_Felix_,173.759,1646
Alvaro_Noboa_,111.123,405
Alvaro_Silva_Calderon_,106.68,329
Alvaro_Uribe_,115.888,540
Amanda_Beard_,116.534,561
Amanda_Bynes_,87.5434,64
Amanda_Coetzer_,140.552,1267
Amber_Tamblyn_,109.017,367
Amelia_Vega_,104.671,278
Amelie_Mauresmo_,145.113,1363
Amer_al-Saadi_,98.9641,177
Amram_Mitzna_,126.988,866
Ana_Guevara_,177.767,1657
Ana_Palacio_,101.313,220
Anastasia_Myskina_,156.083,1537
Anders_Ebbeson_,151.78,1468
Anders_Fogh_Rasmussen_,166.949,1621
Andre_Agassi_,124.823,800
Andrei_Mikhnevich_,144.313,1352
Andrew_Bunner_,111.832,418
Andrew_Cuomo_,98.6242,174
Andrew_Niccol_,100.563,203
Andrew_Weissmann_,160.901,1586
Andy_Hebb_,110.067,384
