Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.267,534
Aaron_Sorkin_,117.372,537
Abdel_Nasser_Assidi_,158.798,1568
Abdoulaye_Wade_,195.726,1678
Abdullah_,139.135,1226
Abdullah_Gul_,106.003,303
Abdullah_al-Attiyah_,145.205,1347
Abdullatif_Sener_,131.012,992
Abel_Pacheco_,135.92,1130
Abid_Hamid_Mahmud_Al-Tikriti_,177.237,1662
Adam_Sandler_,133.491,1068
Adam_Scott_,160.234,1582
Adel_Al-Jubeir_,148.603,1422
Adolfo_Aguilar_Zinser_,150.086,1453
Adolfo_Rodriguez_Saa_,139.596,1236
Adrian_McPherson_,196.328,1679
Adrian_Nastase_,141.549,1279
Adrien_Brody_,119.656,616
Ahmad_Masood_,149.196,1433
Ahmed_Chalabi_,111.077,394
Ahmet_Necdet_Sezer_,129.476,941
Ai_Sugiyama_,136.832,1156
Aicha_El_Ouafi_,151.214,1472
Aitor_Gonzalez_,170.28,1637
Akbar_Hashemi_Rafsanjani_,118.58,577
Akhmed_Zakayev_,125.147,774
Al_Davis_,149.324,1437
Al_Gore_,139.246,1230
Al_Pacino_,121.656,669
Al_Sharpton_,164.886,1606
Alan_Ball_,123.321,715
Alan_Greenspan_,127.066,837
Alan_Mulally_,128.858,914
Alastair_Campbell_,129.284,931
Albert_Costa_,168.82,1627
Alberto_Fujimori_,127.414,853
Alberto_Ruiz_Gallardon_,106.268,312
Albrecht_Mentz_,128.807,911
Aldo_Paredes_,148.926,1428
Alec_Baldwin_,136.251,1143
Alejandro_Atchugarry_,120.326,638
Alejandro_Avila_,160.744,1585
Alejandro_Toledo_,130.798,985
Aleksander_Kwasniewski_,138.484,1207
Alex_Barros_,109.258,363
Alex_Penelas_,93.8843,109
Alex_Sink_,149.188,1432
Alexander_Downer_,105.945,298
Alexander_Losyukov_,112.93,434
Alexander_Rumyantsev_,105.963,299
Alexandra_Stevenson_,160.313,1583
Alexandra_Vodjanikova_,155.259,1524
Ali_Abbas_,109.469,370
Ali_Khamenei_,131.918,1025
Ali_Naimi_,133.624,1074
Alice_Fisher_,141.131,1273
Alicia_Silverstone_,129.913,957
Alimzhan_Tokhtakhounov_,117.418,541
Alison_Lohman_,114.419,470
Allen_Iverson_,142.209,1293
Allison_Janney_,129.496,943
Allyson_Felix_,155.005,1520
Alvaro_Noboa_,125.614,793
Alvaro_Silva_Calderon_,126.775,828
Alvaro_Uribe_,149.56,1444
Amanda_Beard_,116.506,517
Amanda_Bynes_,87.4906,57
Amanda_Coetzer_,124.802,762
Amber_Tamblyn_,131.552,1007
Amelia_Vega_,104.654,266
Amelie_Mauresmo_,145.071,1342
Amer_al-Saadi_,114.056,464
Amram_Mitzna_,126.961,833
Ana_Guevara_,177.762,1664
Ana_Palacio_,101.266,206
Anastasia_Myskina_,156.058,1534
Anders_Ebbeson_,151.752,1481
Anders_Fogh_Rasmussen_,124.878,766
Andre_Agassi_,124.795,761
Andrei_Mikhnevich_,132.011,1029
Andrew_Bunner_,111.782,410
Andrew_Cuomo_,98.5918,164
Andrew_Niccol_,128.944,918
Andrew_Weissmann_,147.814,1404
Andy_Hebb_,110.025,379
