Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,565,1150
Aaron_Sorkin_,969,1515
Abdel_Nasser_Assidi_,191,490
Abdoulaye_Wade_,709,1319
Abdullah_,73,210
Abdullah_Gul_,298,719
Abdullah_al-Attiyah_,772,1378
Abdullatif_Sener_,1,1
Abel_Pacheco_,1106,1589
Abid_Hamid_Mahmud_Al-Tikriti_,824,1425
Adam_Sandler_,214,541
Adam_Scott_,1093,1582
Adel_Al-Jubeir_,405,921
Adolfo_Aguilar_Zinser_,965,1510
Adolfo_Rodriguez_Saa_,77,220
Adrian_McPherson_,1311,1654
Adrian_Nastase_,7,19
Adrien_Brody_,390,893
Ahmad_Masood_,414,938
Ahmed_Chalabi_,113,312
Ahmet_Necdet_Sezer_,439,978
Ai_Sugiyama_,245,614
Aicha_El_Ouafi_,161,427
Aitor_Gonzalez_,1601,1679
Akbar_Hashemi_Rafsanjani_,241,605
Akhmed_Zakayev_,43,125
Al_Davis_,317,756
Al_Gore_,974,1520
Al_Pacino_,239,599
Al_Sharpton_,418,944
Alan_Ball_,459,1009
Alan_Greenspan_,211,532
Alan_Mulally_,508,1075
Alastair_Campbell_,245,615
Albert_Costa_,736,1341
Alberto_Fujimori_,215,543
Alberto_Ruiz_Gallardon_,305,732
Albrecht_Mentz_,841,1437
Aldo_Paredes_,1004,1538
Alec_Baldwin_,289,699
Alejandro_Atchugarry_,10,28
Alejandro_Avila_,522,1092
Alejandro_Toledo_,122,334
Aleksander_Kwasniewski_,2,4
Alex_Barros_,361,842
Alex_Penelas_,152,409
Alex_Sink_,454,1002
Alexander_Downer_,92,260
Alexander_Losyukov_,378,873
Alexander_Rumyantsev_,295,711
Alexandra_Stevenson_,872,1458
Alexandra_Vodjanikova_,15,43
Ali_Abbas_,369,855
Ali_Khamenei_,1166,1615
Ali_Naimi_,427,958
Alice_Fisher_,643,1254
Alicia_Silverstone_,1029,1555
Alimzhan_Tokhtakhounov_,314,750
Alison_Lohman_,482,1040
Allen_Iverson_,1068,1572
Allison_Janney_,916,1488
Allyson_Felix_,487,1045
Alvaro_Noboa_,40,117
Alvaro_Silva_Calderon_,290,701
Alvaro_Uribe_,527,1097
Amanda_Beard_,2,5
Amanda_Bynes_,55,159
Amanda_Coetzer_,499,1065
Amber_Tamblyn_,341,804
Amelia_Vega_,173,452
Amelie_Mauresmo_,1226,1628
Amer_al-Saadi_,478,1034
Amram_Mitzna_,828,1427
Ana_Guevara_,903,1481
Ana_Palacio_,204,519
Anastasia_Myskina_,451,997
Anders_Ebbeson_,328,778
Anders_Fogh_Rasmussen_,295,712
Andre_Agassi_,212,535
Andrei_Mikhnevich_,1147,1606
Andrew_Bunner_,658,1272
Andrew_Cuomo_,159,423
Andrew_Niccol_,189,486
Andrew_Weissmann_,220,555
Andy_Hebb_,377,871
Andy_Roddick_,643,1255
Angela_Bassett_,342,807
Angela_Lansbury_,502,1068
Angela_Merkel_,45,130
Angelina_Jolie_,112,309
Angelo_Reyes_,756,1365
Anibal_Ibarra_,627,1234
Ann_Veneman_,206,523
Anna_Kournikova_,552,1131
Anna_Nicole_Smith_,54,156
Anne_Krueger_,24,69
