Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.28,556
Aaron_Sorkin_,134.499,1070
Abdel_Nasser_Assidi_,158.803,1560
Abdoulaye_Wade_,177.814,1660
Abdullah_,139.14,1200
Abdullah_Gul_,106.022,290
Abdullah_al-Attiyah_,163.38,1594
Abdullatif_Sener_,124.879,760
Abel_Pacheco_,135.924,1118
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1658
Adam_Sandler_,115.315,504
Adam_Scott_,145.65,1351
Adel_Al-Jubeir_,148.605,1412
Adolfo_Aguilar_Zinser_,135.521,1104
Adolfo_Rodriguez_Saa_,139.615,1212
Adrian_McPherson_,196.332,1679
Adrian_Nastase_,136.947,1141
Adrien_Brody_,110.826,379
Ahmad_Masood_,149.2,1418
Ahmed_Chalabi_,111.093,387
Ahmet_Necdet_Sezer_,129.484,935
Ai_Sugiyama_,135.278,1095
Aicha_El_Ouafi_,151.226,1451
Aitor_Gonzalez_,170.286,1638
Akbar_Hashemi_Rafsanjani_,103.612,240
Akhmed_Zakayev_,128.851,902
Al_Davis_,149.339,1422
Al_Gore_,139.249,1201
Al_Pacino_,136.661,1134
Al_Sharpton_,144.194,1328
Alan_Ball_,123.341,711
Alan_Greenspan_,147.62,1389
Alan_Mulally_,128.875,905
Alastair_Campbell_,103.847,243
Albert_Costa_,168.74,1630
Alberto_Fujimori_,127.429,853
Alberto_Ruiz_Gallardon_,129.842,949
Albrecht_Mentz_,128.809,900
Aldo_Paredes_,113.551,451
Alec_Baldwin_,136.271,1124
Alejandro_Atchugarry_,120.344,638
Alejandro_Avila_,144.154,1323
Alejandro_Toledo_,130.825,971
Aleksander_Kwasniewski_,138.493,1182
Alex_Barros_,109.298,347
Alex_Penelas_,106.851,307
Alex_Sink_,118.592,585
Alexander_Downer_,98.3881,165
Alexander_Losyukov_,140.568,1240
Alexander_Rumyantsev_,112.07,407
Alexandra_Stevenson_,160.327,1575
Alexandra_Vodjanikova_,154.616,1508
Ali_Abbas_,109.481,354
Ali_Khamenei_,131.929,1004
Ali_Naimi_,112.331,413
Alice_Fisher_,141.144,1255
Alicia_Silverstone_,129.924,951
Alimzhan_Tokhtakhounov_,129.619,939
Alison_Lohman_,114.435,472
Allen_Iverson_,151.966,1462
Allison_Janney_,129.512,936
Allyson_Felix_,173.749,1648
Alvaro_Noboa_,125.619,783
Alvaro_Silva_Calderon_,126.819,827
Alvaro_Uribe_,115.85,520
Amanda_Beard_,116.518,537
Amanda_Bynes_,87.5133,58
Amanda_Coetzer_,124.806,756
Amber_Tamblyn_,109.009,342
Amelia_Vega_,104.661,258
Amelie_Mauresmo_,123.646,719
Amer_al-Saadi_,114.072,468
Amram_Mitzna_,126.972,831
Ana_Guevara_,177.764,1659
Ana_Palacio_,101.286,204
Anastasia_Myskina_,156.069,1528
Anders_Ebbeson_,162.858,1589
Anders_Fogh_Rasmussen_,166.941,1621
Andre_Agassi_,124.806,757
Andrei_Mikhnevich_,132.035,1008
Andrew_Bunner_,111.804,399
Andrew_Cuomo_,119.449,610
Andrew_Niccol_,128.965,909
Andrew_Weissmann_,160.891,1578
Andy_Hebb_,110.044,365
Andy_Roddick_,131.039,979
