Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.946,1022
Aaron_Sorkin_,134.507,1088
Abdel_Nasser_Assidi_,158.809,1555
Abdoulaye_Wade_,177.824,1664
Abdullah_,160.615,1574
Abdullah_Gul_,106.041,286
Abdullah_al-Attiyah_,139.414,1225
Abdullatif_Sener_,131.048,992
Abel_Pacheco_,124.736,783
Abid_Hamid_Mahmud_Al-Tikriti_,156.628,1531
Adam_Sandler_,115.317,506
Adam_Scott_,160.238,1569
Adel_Al-Jubeir_,148.606,1406
Adolfo_Aguilar_Zinser_,135.539,1120
Adolfo_Rodriguez_Saa_,139.636,1233
Adrian_McPherson_,155.09,1512
Adrian_Nastase_,136.949,1153
Adrien_Brody_,110.852,393
Ahmad_Masood_,126.427,840
Ahmed_Chalabi_,110.762,391
Ahmet_Necdet_Sezer_,135.114,1108
Ai_Sugiyama_,130.584,976
Aicha_El_Ouafi_,122.084,700
Aitor_Gonzalez_,170.294,1634
Akbar_Hashemi_Rafsanjani_,118.606,606
Akhmed_Zakayev_,128.867,926
Al_Davis_,149.351,1416
Al_Gore_,139.253,1220
Al_Pacino_,136.663,1147
Al_Sharpton_,144.208,1325
Alan_Ball_,123.63,743
Alan_Greenspan_,139.93,1240
Alan_Mulally_,110.278,378
Alastair_Campbell_,129.334,939
Albert_Costa_,168.752,1626
Alberto_Fujimori_,127.447,877
Alberto_Ruiz_Gallardon_,106.344,294
Albrecht_Mentz_,117.712,589
Aldo_Paredes_,148.944,1411
Alec_Baldwin_,136.307,1140
Alejandro_Atchugarry_,120.52,662
Alejandro_Avila_,160.757,1575
Alejandro_Toledo_,130.859,983
Aleksander_Kwasniewski_,117.054,566
Alex_Barros_,109.336,358
Alex_Penelas_,106.866,301
Alex_Sink_,138.304,1199
Alexander_Downer_,98.3953,172
Alexander_Losyukov_,112.965,442
Alexander_Rumyantsev_,112.09,419
Alexandra_Stevenson_,160.339,1571
Alexandra_Vodjanikova_,154.623,1505
Ali_Abbas_,109.494,364
Ali_Khamenei_,122.204,705
Ali_Naimi_,112.352,426
Alice_Fisher_,139.628,1232
Alicia_Silverstone_,129.939,958
Alimzhan_Tokhtakhounov_,117.49,581
Alison_Lohman_,114.451,482
Allen_Iverson_,142.22,1287
Allison_Janney_,131.468,999
Allyson_Felix_,139.312,1224
Alvaro_Noboa_,111.111,396
Alvaro_Silva_Calderon_,130.856,982
Alvaro_Uribe_,115.886,523
Amanda_Beard_,112.839,438
Amanda_Bynes_,117.313,575
Amanda_Coetzer_,124.809,790
Amber_Tamblyn_,109.015,350
Amelia_Vega_,104.67,258
Amelie_Mauresmo_,123.655,744
Amer_al-Saadi_,114.089,473
Amram_Mitzna_,150.636,1435
Ana_Guevara_,177.766,1663
Ana_Palacio_,101.308,210
Anastasia_Myskina_,156.079,1525
Anders_Ebbeson_,162.863,1588
Anders_Fogh_Rasmussen_,124.888,791
Andre_Agassi_,156.506,1529
Andrei_Mikhnevich_,144.31,1326
Andrew_Bunner_,121.127,679
Andrew_Cuomo_,98.6214,177
Andrew_Niccol_,100.562,196
Andrew_Weissmann_,160.898,1577
Andy_Hebb_,110.062,375
Andy_Roddick_,131.051,993
