Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,128056.000000,0.931931,117.268024
Aaron_Sorkin_,108130.800000,0.566231,134.491974
Abdel_Nasser_Assidi_,115207.000000,0.560309,158.798347
Abdoulaye_Wade_,123259.000000,0.945827,177.804567
Abdullah_,123503.000000,0.766212,101.787128
Abdullah_Gul_,96271.000000,0.757355,106.004459
Abdullah_al-Attiyah_,116480.500000,0.804463,139.389204
Abdullatif_Sener_,138732.000000,0.560634,124.871683
Abel_Pacheco_,143087.000000,0.986858,135.920137
Abid_Hamid_Mahmud_Al-Tikriti_,147185.000000,0.637962,177.237541
Adam_Sandler_,158735.000000,0.734051,115.313032
Adam_Scott_,98873.000000,0.630318,145.644493
Adel_Al-Jubeir_,130993.000000,0.780066,148.603111
Adolfo_Aguilar_Zinser_,134595.000000,0.633872,135.505020
Adolfo_Rodriguez_Saa_,128948.500000,0.415883,139.596910
Adrian_McPherson_,127892.500000,0.826812,155.067688
Adrian_Nastase_,126645.000000,0.584061,136.944599
Adrien_Brody_,87974.500000,0.456773,110.803587
Ahmad_Masood_,136549.000000,0.505941,149.195934
Ahmed_Chalabi_,136752.000000,0.589005,111.077307
Ahmet_Necdet_Sezer_,119908.000000,0.661832,135.087599
Ai_Sugiyama_,104808.000000,0.893158,135.273329
Aicha_El_Ouafi_,120598.000000,1.094826,151.214695
Aitor_Gonzalez_,0.000000,0.603250,170.280046
Akbar_Hashemi_Rafsanjani_,118653.000000,0.924801,118.580503
Akhmed_Zakayev_,115305.000000,0.603347,128.838604
Al_Davis_,113448.000000,0.914450,149.325785
Al_Gore_,84065.000000,0.938964,104.258575
Al_Pacino_,134833.500000,0.718158,136.659670
Al_Sharpton_,62461.000000,0.480766,144.181946
Alan_Ball_,110773.000000,0.791966,123.321390
Alan_Greenspan_,103386.000000,0.591950,139.920015
Alan_Mulally_,141516.500000,1.160323,110.240026
Alastair_Campbell_,115618.250000,0.729708,103.824999
Albert_Costa_,150282.000000,0.910071,114.945541
Alberto_Fujimori_,123805.000000,0.742468,136.552908
Alberto_Ruiz_Gallardon_,116050.000000,0.432194,106.269299
Albrecht_Mentz_,117256.000000,0.970144,128.806751
Aldo_Paredes_,118920.666667,0.426298,113.541092
Alec_Baldwin_,119836.000000,0.691033,136.250723
Alejandro_Atchugarry_,141544.000000,0.671064,120.506134
Alejandro_Avila_,77034.000000,0.984709,160.744202
Alejandro_Toledo_,103627.000000,0.692824,130.799490
Aleksander_Kwasniewski_,160691.000000,1.070642,138.484879
Alex_Barros_,177050.000000,1.070642,109.252092
Alex_Penelas_,121864.500000,0.587919,93.886059
Alex_Sink_,119398.000000,0.820697,118.573246
Alexander_Downer_,143467.000000,0.437365,98.382654
Alexander_Losyukov_,136002.000000,0.603968,112.930967
Alexander_Rumyantsev_,122571.666667,0.707318,105.963638
Alexandra_Stevenson_,151408.000000,0.788178,124.331396
Alexandra_Vodjanikova_,125118.000000,0.492834,154.612118
Ali_Abbas_,137776.000000,1.035496,109.469572
Ali_Khamenei_,137302.000000,0.691601,131.917892
Ali_Naimi_,105277.000000,0.923633,112.309952
