Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,119329.000000,0.741909,131.934078
Aaron_Sorkin_,51480.000000,0.582769,134.501192
Abdel_Nasser_Assidi_,154263.500000,1.018985,158.804930
Abdoulaye_Wade_,128360.500000,1.056269,177.817122
Abdullah_,132465.000000,0.937105,139.141605
Abdullah_Gul_,140335.666667,0.689041,128.532141
Abdullah_al-Attiyah_,134160.750000,0.737605,139.404345
Abdullatif_Sener_,121609.000000,0.790442,131.032104
Abel_Pacheco_,115763.000000,0.850069,135.925138
Abid_Hamid_Mahmud_Al-Tikriti_,147359.333333,0.749983,177.240000
Adam_Sandler_,107418.500000,0.947323,115.315382
Adam_Scott_,116538.000000,1.150536,160.235998
Adel_Al-Jubeir_,153503.000000,1.096797,135.186472
Adolfo_Aguilar_Zinser_,137226.000000,0.636215,135.526554
Adolfo_Rodriguez_Saa_,130806.600000,0.898074,139.618921
Adrian_McPherson_,153096.000000,0.838090,155.080645
Adrian_Nastase_,145825.500000,1.006731,136.947086
Adrien_Brody_,129000.750000,0.821155,110.831419
Ahmad_Masood_,140177.500000,0.882367,149.201550
Ahmed_Chalabi_,119142.500000,0.977121,111.096016
Ahmet_Necdet_Sezer_,151506.000000,0.677502,129.485773
Ai_Sugiyama_,132538.000000,1.025204,130.562693
Aicha_El_Ouafi_,0.000000,0.662122,122.071444
Aitor_Gonzalez_,123024.333333,0.504751,174.415291
Akbar_Hashemi_Rafsanjani_,114183.500000,0.858909,103.613636
Akhmed_Zakayev_,79993.000000,0.983127,128.854156
Al_Davis_,151576.000000,1.271000,149.343658
Al_Gore_,126423.000000,0.856978,139.250706
Al_Pacino_,118438.000000,1.031611,136.660931
Al_Sharpton_,125181.000000,0.963683,144.198311
Alan_Ball_,104400.500000,0.866449,123.345507
Alan_Greenspan_,110086.000000,1.032442,139.925871
Alan_Mulally_,147681.000000,0.945925,128.879320
Alastair_Campbell_,137159.000000,0.634288,129.313873
Albert_Costa_,133314.000000,0.788239,159.908838
Alberto_Fujimori_,122717.000000,0.974331,136.573078
Alberto_Ruiz_Gallardon_,133165.000000,0.768842,106.308231
Albrecht_Mentz_,146288.000000,1.081505,128.809763
Aldo_Paredes_,0.000000,0.943575,148.937399
Alec_Baldwin_,144404.000000,0.914081,103.864466
Alejandro_Atchugarry_,109157.000000,1.198095,120.513493
Alejandro_Avila_,86683.000000,0.795831,160.751520
Alejandro_Toledo_,111761.000000,0.956241,130.831442
Aleksander_Kwasniewski_,135106.000000,1.078514,117.052404
Alex_Barros_,144416.000000,0.687432,109.308233
Alex_Penelas_,120646.750000,0.833177,106.856010
Alex_Sink_,130537.000000,0.929929,149.201693
Alexander_Downer_,111684.666667,1.016424,98.389671
Alexander_Losyukov_,131854.000000,0.948561,140.571220
Alexander_Rumyantsev_,158029.000000,1.151276,105.975380
Alexandra_Stevenson_,138592.500000,0.910782,160.331190
Alexandra_Vodjanikova_,0.000000,1.028419,155.272264
Ali_Abbas_,141476.000000,0.785310,91.200224
Ali_Khamenei_,104795.000000,1.032452,131.937803
Ali_Naimi_,106278.000000,0.861834,112.336599
Alice_Fisher_,134582.000000,0.725310,141.147488
