Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,148937.500000,0.589403,136.713177
Aaron_Sorkin_,133198.000000,0.963524,134.502840
Abdel_Nasser_Assidi_,149293.000000,0.627427,158.806017
Abdoulaye_Wade_,138833.000000,1.295226,186.114599
Abdullah_,124731.000000,0.748107,101.825384
Abdullah_Gul_,109403.000000,0.501209,128.534821
Abdullah_al-Attiyah_,149324.000000,0.923601,163.383944
Abdullatif_Sener_,103878.000000,0.461222,124.885582
Abel_Pacheco_,161428.000000,0.973947,135.928602
Abid_Hamid_Mahmud_Al-Tikriti_,86758.000000,0.867191,177.240101
Adam_Sandler_,164549.000000,1.001098,133.497110
Adam_Scott_,94413.000000,1.012854,160.236748
Adel_Al-Jubeir_,148677.000000,0.996804,168.611115
Adolfo_Aguilar_Zinser_,157339.666667,0.660636,135.528843
Adolfo_Rodriguez_Saa_,136638.000000,0.516136,139.624937
Adrian_McPherson_,138362.000000,1.230821,196.334078
Adrian_Nastase_,117412.000000,0.590843,136.947779
Adrien_Brody_,161403.000000,0.636192,124.418785
Ahmad_Masood_,0.000000,0.606281,126.418831
Ahmed_Chalabi_,0.000000,0.834878,135.706511
Ahmet_Necdet_Sezer_,95949.000000,0.946977,129.488718
Ai_Sugiyama_,135423.000000,0.778496,135.279783
Aicha_El_Ouafi_,123599.500000,1.106385,151.233408
Aitor_Gonzalez_,0.000000,0.856929,170.290010
Akbar_Hashemi_Rafsanjani_,112355.000000,0.688570,103.618479
Akhmed_Zakayev_,90028.000000,0.535561,115.154667
Al_Davis_,97838.000000,1.015310,140.231430
Al_Gore_,143258.000000,0.823370,83.002071
Al_Pacino_,119760.000000,0.756129,136.661674
Al_Sharpton_,91442.000000,0.477792,164.901867
Alan_Ball_,139386.000000,1.078259,123.353855
Alan_Greenspan_,174151.000000,0.753903,147.621939
Alan_Mulally_,0.000000,0.879406,110.267218
Alastair_Campbell_,154903.000000,0.630209,103.858360
Albert_Costa_,136043.000000,1.055600,168.745893
Alberto_Fujimori_,106847.000000,0.689340,127.437511
Alberto_Ruiz_Gallardon_,129542.500000,0.639398,106.322102
Albrecht_Mentz_,140287.500000,0.819573,128.810339
Aldo_Paredes_,153215.000000,0.838253,148.938890
Alec_Baldwin_,162292.000000,0.611002,136.290476
Alejandro_Atchugarry_,117198.000000,0.538043,120.515688
Alejandro_Avila_,151546.000000,1.026192,144.158632
Alejandro_Toledo_,105359.000000,0.668191,94.091909
Aleksander_Kwasniewski_,149041.000000,0.868626,116.654442
Alex_Barros_,0.000000,0.831687,146.779463
Alex_Penelas_,73058.000000,0.736156,106.857773
Alex_Sink_,0.000000,1.067996,138.297392
Alexander_Downer_,118425.000000,0.373699,98.391495
Alexander_Losyukov_,165514.000000,0.783729,118.363821
Alexander_Rumyantsev_,100739.000000,0.574124,105.977835
Alexandra_Stevenson_,129906.000000,0.854489,160.331753
Alexandra_Vodjanikova_,82078.333333,0.489918,154.619375
Ali_Abbas_,119624.000000,1.046855,109.487062
Ali_Khamenei_,134379.000000,1.007115,131.941448
Ali_Naimi_,158111.000000,1.025938,112.340034
Alice_Fisher_,121551.000000,0.543046,141.149330
