Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,81221.666667,0.609395,117.279051
Aaron_Sorkin_,95900.500000,0.802022,134.498531
Abdel_Nasser_Assidi_,162192.000000,0.670931,173.088604
Abdoulaye_Wade_,81293.000000,0.714501,177.813665
Abdullah_,149984.500000,0.650954,139.139709
Abdullah_Gul_,141207.000000,0.916940,128.523497
Abdullah_al-Attiyah_,125587.000000,1.061279,139.399582
Abdullatif_Sener_,143688.333333,0.709475,124.878132
Abel_Pacheco_,156603.500000,0.809901,135.923580
Abid_Hamid_Mahmud_Al-Tikriti_,127744.750000,0.924725,177.239323
Adam_Sandler_,120644.000000,0.632680,133.494555
Adam_Scott_,88136.000000,0.827430,145.649445
Adel_Al-Jubeir_,81250.000000,0.668237,148.604561
Adolfo_Aguilar_Zinser_,98220.750000,0.632773,135.520287
Adolfo_Rodriguez_Saa_,80172.000000,0.987336,139.613071
Adrian_McPherson_,123314.500000,0.599551,196.331522
Adrian_Nastase_,124358.800000,0.690358,136.946350
Adrien_Brody_,129220.000000,0.933498,110.823200
Ahmad_Masood_,101626.000000,0.791895,149.199953
Ahmed_Chalabi_,155412.000000,0.853677,111.090321
Ahmet_Necdet_Sezer_,112113.666667,0.668222,129.482874
Ai_Sugiyama_,134381.000000,0.890069,118.312071
Aicha_El_Ouafi_,71037.000000,0.482539,151.225134
Aitor_Gonzalez_,144574.000000,1.123231,174.413761
Akbar_Hashemi_Rafsanjani_,109756.500000,0.701683,103.611643
Akhmed_Zakayev_,72308.666667,0.716249,128.849783
Al_Davis_,138839.000000,0.726708,149.338120
Al_Gore_,110488.333333,0.752453,139.249113
Al_Pacino_,114148.000000,0.390318,136.660452
Al_Sharpton_,146686.000000,0.743160,144.193419
Alan_Ball_,112540.000000,0.678683,123.338551
Alan_Greenspan_,134878.500000,0.723646,147.619383
Alan_Mulally_,100148.500000,0.456837,128.873426
Alastair_Campbell_,94660.500000,0.801488,129.305229
Albert_Costa_,158473.000000,0.751870,162.317423
Alberto_Fujimori_,105051.000000,0.600141,127.427858
Alberto_Ruiz_Gallardon_,128277.500000,0.822798,106.297050
Albrecht_Mentz_,100868.500000,0.612653,128.808874
Aldo_Paredes_,132178.500000,0.693907,113.550570
Alec_Baldwin_,142493.000000,0.668025,136.267914
Alejandro_Atchugarry_,140791.250000,0.768668,120.511229
Alejandro_Avila_,117397.250000,0.479289,144.153563
Alejandro_Toledo_,108519.500000,0.536968,130.822435
Aleksander_Kwasniewski_,113187.000000,0.553927,138.491810
Alex_Barros_,90383.000000,0.874015,109.295853
Alex_Penelas_,110215.500000,0.477468,106.850061
Alex_Sink_,159147.500000,0.863237,118.590281
Alexander_Downer_,119946.000000,0.814575,98.387688
Alexander_Losyukov_,123395.666667,0.654293,112.946344
Alexander_Rumyantsev_,117963.000000,0.865105,112.067873
Alexandra_Stevenson_,140525.000000,0.629447,160.326395
Alexandra_Vodjanikova_,125119.333333,0.914706,154.615736
Ali_Abbas_,157459.000000,1.027650,91.196943
Ali_Khamenei_,101052.000000,1.020982,138.255621
Ali_Naimi_,70280.125000,0.304043,112.329536
