Names,SIFT Scores,Coreleation Scores,EMD Scores
,,,
,,,
Aaron_Peirsol_,130173.000000,0.809382,117.277695
Aaron_Sorkin_,97528.000000,0.597363,134.497684
Abdel_Nasser_Assidi_,0.000000,0.879434,173.088354
Abdoulaye_Wade_,154779.000000,0.909234,177.811861
Abdullah_,162623.333333,0.707890,139.139143
Abdullah_Gul_,103500.000000,0.688152,106.017971
Abdullah_al-Attiyah_,115779.000000,0.871863,163.376879
Abdullatif_Sener_,168275.000000,0.839271,131.026144
Abel_Pacheco_,138252.000000,0.798826,135.924477
Abid_Hamid_Mahmud_Al-Tikriti_,136502.000000,0.812378,116.787552
Adam_Sandler_,70352.000000,0.725337,115.314535
Adam_Scott_,113467.000000,0.976676,160.235437
Adel_Al-Jubeir_,117179.000000,0.569540,148.604500
Adolfo_Aguilar_Zinser_,129083.333333,0.613755,135.516960
Adolfo_Rodriguez_Saa_,125789.000000,0.747442,139.612253
Adrian_McPherson_,132797.666667,0.745754,155.076292
Adrian_Nastase_,107270.000000,0.566429,136.946333
Adrien_Brody_,135276.500000,0.498898,124.411579
Ahmad_Masood_,151883.500000,0.682833,149.199554
Ahmed_Chalabi_,113261.000000,0.767890,111.093035
Ahmet_Necdet_Sezer_,119432.500000,0.644149,129.482609
Ai_Sugiyama_,76544.000000,0.839515,130.558199
Aicha_El_Ouafi_,142265.000000,0.841741,151.224686
Aitor_Gonzalez_,0.000000,0.689572,170.285461
Akbar_Hashemi_Rafsanjani_,143285.000000,0.670975,103.612198
Akhmed_Zakayev_,105351.000000,0.714836,128.848768
Al_Davis_,113330.000000,1.033092,149.334204
Al_Gore_,113945.000000,0.824477,121.409771
Al_Pacino_,112808.400000,0.755869,136.660450
Al_Sharpton_,160263.000000,0.779116,144.191668
Alan_Ball_,94107.666667,0.788554,123.338785
Alan_Greenspan_,120949.500000,0.824277,147.618000
Alan_Mulally_,113492.500000,0.667981,128.871700
Alastair_Campbell_,127086.000000,0.740245,103.842089
Albert_Costa_,101737.500000,0.936125,168.738934
Alberto_Fujimori_,122631.333333,0.841061,127.426067
Alberto_Ruiz_Gallardon_,122195.666667,0.566249,106.297390
Albrecht_Mentz_,130361.000000,0.856282,128.808586
Aldo_Paredes_,0.000000,0.939874,148.933035
Alec_Baldwin_,128256.000000,0.747404,136.272423
Alejandro_Atchugarry_,163059.000000,0.849441,120.511181
Alejandro_Avila_,155701.000000,0.775927,160.748842
Alejandro_Toledo_,138354.500000,0.814063,130.821352
Aleksander_Kwasniewski_,129547.000000,0.761997,117.051655
Alex_Barros_,126092.000000,0.492669,109.288864
Alex_Penelas_,85187.000000,0.663953,106.847471
Alex_Sink_,139850.000000,0.722590,118.589241
Alexander_Downer_,117249.600000,0.682027,105.972420
Alexander_Losyukov_,84585.000000,0.805791,112.944229
Alexander_Rumyantsev_,102436.500000,0.778011,105.971123
Alexandra_Stevenson_,124726.000000,0.607615,160.322910
Alexandra_Vodjanikova_,108189.500000,0.629527,154.615547
Ali_Abbas_,105456.000000,0.965850,109.478838
Ali_Khamenei_,140935.000000,0.540093,138.251268
Ali_Naimi_,110905.666667,0.785146,112.326283
Alice_Fisher_,102508.000000,0.603514,141.140749
